imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR
0.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, -0.0, 0.0], [0.0, 0.17364817766693041, 0.9848077530122079], [-0.0, -0.9848077530122079, 0.17364817766693041]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.645936918426754e-05, -5.5995421820719835e-05, 0.1256530397499726]","[-1.398811458488644, -0.0004944119559734827, -0.00039793781474795883]"
1.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.20135422527825558, 0.9795184918941519], [-0.0, -0.9795184918941519, 0.20135422527825558]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.618396662532214e-05, -8.514785915902997e-05, 0.1251962031487741]","[-1.368262964569146, -0.000500111304894713, -0.00038722351797081827]"
2.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.22890007519462802, 0.9734499245343304], [-0.0, -0.9734499245343304, 0.22890007519462802]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.632803324238738e-05, -7.931800307546229e-05, 0.12544830282299838]","[-1.3416904724811827, -0.0005052272896318092, -0.00037818600863003774]"
3.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.25626381190046255, 0.9666068790931732], [-0.0, -0.9666068790931732, 0.25626381190046255]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.616385184548466e-05, -2.0803835060491462e-05, 0.12517545329007498]","[-1.3136744962216051, -0.0005114076246696986, -0.00036883841234808306]"
4.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.28342366476969283, 0.9589947999069217], [-0.0, -0.9589947999069217, 0.28342366476969283]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.349678054761812e-05, -0.0001153835514528707, 0.12554279069108898]","[-1.284276699277414, -0.001777517523204904, 0.0006617663293503109]"
5.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.3103580253865087, 0.9506197431561094], [-0.0, -0.9506197431561094, 0.3103580253865087]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.619275773363137e-05, -7.864748110797477e-05, 0.125246084153121]","[-1.2570337819403639, -0.0005209465149013841, -0.00034979205450929554]"
6.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.3370454647370418, 0.9414883720472556], [-0.0, -0.9414883720472556, 0.3370454647370418]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.630430613227003e-05, -5.8406407323656395e-05, 0.12544668616820662]","[-1.2294401874688035, -0.0005255399904664559, -0.0003405315485176982]"
7.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.36346475025831904, 0.9316079515116097], [-0.0, -0.9316079515116097, 0.36346475025831904]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.261736169483141e-05, -6.725961181119883e-05, 0.12548932649331304]","[-1.2028401856958029, -0.0018278875011271713, 0.0006595695408624597]"
8.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.38959486273091826, 0.9209863424251615], [-0.0, -0.9209863424251615, 0.38959486273091826]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.628223389778925e-05, -8.951906123621325e-05, 0.12543435093555358]","[-1.1711968809687268, -0.0005340237334341496, -0.00032115952555984565]"
9.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.4154150130018865, 0.9096319953545183], [-0.0, -0.9096319953545183, 0.4154150130018865]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.197126906114723e-05, -8.897956973497335e-05, 0.12545017086084856]","[-1.143975546390886, -0.0018641610651362536, 0.000661375261456411]"
