imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.2689280275926285, 0.0, 0.0]",apriltag,"[-0.1993727636746352, -0.0005567313373585638, 0.7980644038425234]","[2.2682930661939227, 0.0002845116826175057, -0.0005465293202741818]",True,"[0.0006272363253648217, -0.0005567313373585638, -0.0019355961574766267]","[-0.0006349059783435082, 0.0004918301677898658, 2.1478398580467063e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.462853500036443, 0.0, 0.0]",apriltag,"[-0.19926427779612954, -0.0008401277408574444, 0.796994428102856]","[2.4698593476457864, 0.0007162385328931693, -0.0018723914589950303]",True,"[0.0007357222038704703, -0.0008401277408574444, -0.0030055718971440104]","[0.0070064548145157305, 0.0015321182170298737, 3.9817842622284523e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[2.6567789724802573, 0.0, 0.0]",apriltag,"[-0.20018760459312365, -0.0004263479376394169, 0.8016540670693102]","[2.6515372992253265, 0.00032804652977168775, 0.000240591459888226]",True,"[-0.00018760459312364142, -0.0004263479376394169, 0.00165406706931015]","[-0.005241647547892503, -0.00011328452977581414, 0.0002752895971529498]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[2.8507044449240717, 0.0, 0.0]",apriltag,"[-0.19898338890172193, -0.0007535812978991502, 0.7969879426534612]","[2.8511955930036894, 0.0006216824268045586, -0.0063461390069810796]",True,"[0.0010166110982780807, -0.0007535812978991502, -0.0030120573465388656]","[0.0004975615457940267, 0.004420746387251946, -0.00021144339731638266]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.0446299173678857, 0.0, 0.0]",apriltag,"[-0.19954940157497947, -0.0004122218566905655, 0.7990063966450742]","[3.045378945239578, -0.0015514472223087847, -0.002239886145194443]",True,"[0.00045059842502054304, -0.0004122218566905655, -0.0009936033549258205]","[0.0007502081310108026, 0.0014182574525626426, -0.0010877173634566996]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[-3.044629917367886, -0.0, -0.0]",apriltag,"[-0.19977411215762142, -0.0006667176518197699, 0.7987109548531918]","[-3.046705794992238, -0.0006967689599714128, -0.004311829692082817]",True,"[0.0002258878423785915, -0.0006667176518197699, -0.0012890451468082764]","[-0.002078909662727333, -0.0028461195424841976, 0.00031932230440119395]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[-2.850704444924072, -0.0, -0.0]",apriltag,"[-0.19889236128898394, -0.00048666492977253163, 0.7965237240820849]","[-2.849030263245469, 0.0006899915996525277, 0.005188784154100106]",True,"[0.0011076387110160735, -0.00048666492977253163, -0.003476275917915106]","[0.0016698580285641172, 0.0036349899076112972, 4.8138062051392506e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[-2.6567789724802573, -0.0, -0.0]",apriltag,"[-0.19970896896342386, -0.0007552782613511449, 0.8003292536890619]","[-2.651566549440922, 0.0006546922010331222, 0.003238700319549331]",True,"[0.0002910310365761559, -0.0007552782613511449, 0.00032925368906189245]","[0.005210727178674353, 0.0024156086276624954, 0.0001038096690693734]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[-2.462853500036443, -0.0, -0.0]",apriltag,"[-0.19907508509398167, -0.0003597182953464019, 0.7971599750336721]","[-2.468302072334102, 0.0011591251166877077, 0.004866875355361299]",True,"[0.0009249149060183426, -0.0003597182953464019, -0.0028400249663279586]","[-0.005452355048608852, 0.003804959178716306, 0.0004031471793317919]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[-2.268928027592629, -0.0, -0.0]",apriltag,"[-0.19956159428023945, -0.0006318843218793431, 0.7984912266088652]","[-2.2668524858964365, 0.0005007333615079522, -0.000886488154825997]",True,"[0.00043840571976055953, -0.0006318843218793431, -0.0015087733911348655]","[0.0020753903397926227, -0.00047299426546993506, -0.0006621342279007936]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 0.8]","[2.2689280275926285, 0.0, 0.0]",apriltag,"[-0.17113640464044746, -0.0004967955841567798, 0.7995426555883404]","[2.2715694783613354, 0.0009227576787599005, 0.0004203025357278906]",True,"[0.00029216678812396535, -0.0004967955841567798, -0.000457344411659677]","[0.002641600781835719, 7.22658411317999e-06, 0.0008095706918759142]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 0.8]","[2.462853500036443, 0.0, 0.0]",apriltag,"[-0.17071072344589075, -0.0006424890550115341, 0.7968535256987268]","[2.465111965596769, 8.027946788399138e-05, -0.001246988747308895]",True,"[0.0007178479826806805, -0.0006424890550115341, -0.003146474301273239]","[0.0022587016610167384, 0.0009204062882518783, -0.0002597704933053525]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 0.8]","[2.6567789724802573, 0.0, 0.0]",apriltag,"[-0.1710187899476838, -0.0005468568664227695, 0.7987120207349815]","[2.654281723389458, -4.5550982541119364e-05, 0.0006532499190033663]",True,"[0.0004097814808876332, -0.0005468568664227695, -0.0012879792650185573]","[-0.002497182516168026, -0.00047171401095385455, 8.232831239078474e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 0.8]","[2.8507044449240717, 0.0, 0.0]",apriltag,"[-0.17097595586170722, -0.0008659067281920423, 0.7994490328963413]","[2.8500909777199483, 0.00032412623659420093, -0.005303596164265873]",True,"[0.0004526155668642118, -0.0008659067281920423, -0.0005509671036587616]","[-0.0006090129183830555, 0.003675976194238861, -0.00031101188985149466]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
