imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",apriltag,"[-0.1989781217366346, -0.0007441925432648648, 1.9979604957505752]","[2.251274991249433, -0.0008626848508288578, -0.005635518225104517]",True,"[0.0010218782633654167, -0.0007441925432648648, -0.002039504249424784]","[-0.01764827911302707, 0.0038029523026092654, -0.0025365677042984125]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.462853500036443, 0.0, 0.0]",apriltag,"[-0.19865160298214507, -0.0022600841493981873, 1.9967901406327875]","[2.4625283707316776, 0.006580838581973847, -0.006684524665126212]",True,"[0.001348397017854941, -0.0022600841493981873, -0.0032098593672125197]","[-0.00031181872587580727, 0.006504738727368489, 0.003048111599824314]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[2.6567789724802573, 0.0, 0.0]",apriltag,"[-0.19810920430076004, -0.002658763317905233, 1.995641567974518]","[2.676165618972717, 0.0006491814501369507, -0.015146836883064766]",True,"[0.0018907956992399721, -0.002658763317905233, -0.0043584320254819175]","[0.019422191833683954, 0.010806059568060718, -0.002185702852388816]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[2.8507044449240717, 0.0, 0.0]",apriltag,"[-0.19896642893075533, -0.001782990242977513, 1.999379093943467]","[2.84856751646359, 0.0005184238248836627, -0.012154388558808528]",True,"[0.0010335710692446765, -0.001782990242977513, -0.0006209060565329771]","[-0.002113572333079, 0.008405274767513285, -0.000867260966730893]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.0446299173678857, 0.0, 0.0]",apriltag,"[-0.2058022580152467, -0.018154206776671858, 1.9778151382040339]","[-2.961030755126186, -0.025290543688007167, -0.21140314163705015]",True,"[-0.005802258015246697, -0.018154206776671858, -0.022184861795966127]","[0.26986203314609425, -0.14145107932628487, 0.023924036795632025]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[-3.044629917367886, -0.0, -0.0]",apriltag,"[-0.2048594869016617, 0.014799049159027636, 1.9778215860963277]","[2.9636220036429903, -0.02306346124973512, 0.18942604518311612]",True,"[-0.004859486901661686, 0.014799049159027636, -0.022178413903672256]","[-0.2687811107571108, -0.1266680624602726, -0.02169642592167401]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[-2.850704444924072, -0.0, -0.0]",apriltag,"[-0.19886550315557272, -0.0016012013857328988, 1.998573681908362]","[-2.8433483190382853, 0.002089136289862252, 0.011943368138837038]",True,"[0.0011344968444272907, -0.0016012013857328988, -0.001426318091638068]","[0.007332902567805271, 0.008430564051439429, -0.0002337899387696229]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[-2.6567789724802573, -0.0, -0.0]",apriltag,"[-0.1982366907927485, -0.00013169076855479994, 1.9955507131789658]","[-2.677253876705379, 0.0027373004862985785, 0.011218999012653857]",True,"[0.0017633092072515122, -0.00013169076855479994, -0.004449286821034182]","[-0.020495523763604237, 0.00839544540685144, 2.5980120769312724e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[-2.462853500036443, -0.0, -0.0]",apriltag,"[-0.19897812173665244, -0.0007441925432567567, 1.9979604957507444]","[-2.4611038779178784, 0.00480934775594788, 0.0035323942957312155]",True,"[0.0010218782633475698, -0.0007441925432567567, -0.002039504249255586]","[0.001744234361905276, 0.0037781301098491027, -0.0025732892831598904]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[-2.268928027592629, -0.0, -0.0]",apriltag,"[-0.19865160298214124, -0.0022600841493977328, 1.9967901406327884]","[-2.2498356388842287, 7.000467457567742e-05, 0.008956239920021224]",True,"[0.0013483970178587712, -0.0022600841493977328, -0.0032098593672116316]","[0.01908064512525692, 0.00653408690370489, 0.002984942842879584]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",apriltag,"[-0.17029768080287683, -0.0007344849622780147, 1.9962910838883343]","[2.2510999347494836, 0.0027522490024723865, -0.0010666573286954504]",True,"[0.0011308906256946027, -0.0007344849622780147, -0.0037089161116656832]","[-0.017826817615089655, 0.0017078256192164256, 0.0016386467027516465]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 2.0]","[2.462853500036443, 0.0, 0.0]",apriltag,"[-0.1701893523437133, -0.0021719095127415815, 1.9958930526498544]","[2.4595806546559795, -0.0003248578869039605, -0.005598888401193373]",True,"[0.0012392190848581341, -0.0021719095127415815, -0.004106947350145607]","[-0.0032680850409758998, 0.003962979281444667, -0.00166304568128794]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 2.0]","[2.6567789724802573, 0.0, 0.0]",apriltag,"[-0.17036284897835824, -0.0027919675278860693, 1.9973331065187523]","[2.6751891623260917, 0.004066454092221559, -0.00381391177245365]",True,"[0.0010657224502131912, -0.0027919675278860693, -0.002666893481247712]","[0.018414997424460695, 0.00340307570105379, 0.0022054802260840023]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 2.0]","[2.8507044449240717, 0.0, 0.0]",apriltag,"[-0.17586923683172084, -0.02095442979651393, 1.9971137569821586]","[-3.1186230078011827, -0.020464764637191223, -0.13875668012544123]",True,"[-0.004440665403149413, -0.02095442979651393, -0.00288624301784135]","[0.31051558593010026, -0.08642905126957073, 0.02596813297232571]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.17142857142857143, 0.0, 2.0]","[3.0446299173678857, 0.0, 0.0]",apriltag,"[-0.16768323016006298, 0.00041388317354249145, 1.989032782214216]","[3.0146146523111867, -0.0007027336831060156, -0.05722833692663253]",True,"[0.003745341268508451, 0.00041388317354249145, -0.010967217785784023]","[-0.029491225302586476, 0.037821170842908605, -0.0023008548548905006]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 2.0]","[-3.044629917367886, -0.0, -0.0]",apriltag,"[-0.16774112649116518, -0.0037755059687399426, 1.9891560329963585]","[-3.013581653357426, -0.0008860728113555819, 0.056118951525231185]",True,"[0.003687444937406248, -0.0037755059687399426, -0.010843967003641541]","[0.03054418706406669, 0.037093412995942786, 0.0023872534930923185]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 2.0]","[-2.850704444924072, -0.0, -0.0]",apriltag,"[-0.1726699065659921, 0.0015967629182800213, 2.0118212261099613]","[-2.8928561590827195, 0.0045338352973507325, -0.020920668271657523]",True,"[-0.0012413351374206683, 0.0015967629182800213, 0.01182122610996128]","[-0.04222341683372393, -0.013750485410117617, -0.005157825147892245]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 2.0]","[-2.6567789724802573, -0.0, -0.0]",apriltag,"[-0.1704607227106505, -0.00040383928422072467, 1.9979413352867121]","[-2.6733283977896827, 0.0009616613017943873, 0.003692549843165503]",True,"[0.0009678487179209383, -0.00040383928422072467, -0.002058664713287861]","[-0.016551678071212553, 0.0027765903931956737, -3.433879722981118e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 2.0]","[-2.462853500036443, -0.0, -0.0]",apriltag,"[-0.17019214472937563, -0.0007180709431849307, 1.9959112134244466]","[-2.461466457029264, -0.0004785595531741158, 0.005208676028837146]",True,"[0.0012364266991957973, -0.0007180709431849307, -0.004088786575553449]","[0.0013829035434664663, 0.0036402202424963455, 0.0016738441945557808]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, 0.0, 2.0]","[-2.268928027592629, -0.0, -0.0]",apriltag,"[-0.1703469662275762, -0.0021427635054728396, 1.9969095797040588]","[-2.253088204837427, 0.0022778043439035463, 0.0012017776239578268]",True,"[0.0010816052009952337, -0.0021427635054728396, -0.0030904202959411986]","[0.015838852258548915, 0.0016445655375140688, -0.0012475564961181784]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.14285714285714285, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",apriltag,"[-0.14199188106373797, -0.000895097591923584, 1.9964364469526221]","[2.2530190738199254, -0.004202849876805781, 0.0024446646744661752]",True,"[0.0008652617934048756, -0.000895097591923584, -0.0035635530473778765]","[-0.015905494662814105, -0.0031995468618153436, -0.00222496824475409]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
