imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",apriltag,"[-0.19983300670845247, -0.0006439206555101468, 0.8001913715811416]","[-2.8471120984919858, -9.348374301339362e-05, -1.3247393716536444]",True,"[0.00016699329154754028, -0.0006439206555101468, 0.00019137158114157504]","[0.001218874943073432, 0.0016686458950432787, 0.0006340654125532907]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",apriltag,"[-0.19970848610993516, -0.0005377313623303884, 0.798616345941036]","[2.960356176529191, -0.00041445455093230507, 1.0505700898000248]",True,"[0.0002915138900648484, -0.0005377313623303884, -0.0013836540589640123]","[-0.00024204888346586012, -0.003291431982271862, -0.0003652901989621546]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",apriltag,"[-0.19917356310991136, -0.0005401821431796619, 0.7989402677602466]","[3.051349054575724, -0.000723411059650345, 0.7429665337605609]",True,"[0.0008264368900886554, -0.0005401821431796619, -0.0010597322397534192]","[-0.0009515772268131213, 0.007133106338969685, -0.0007098700034345987]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",apriltag,"[-0.19911293432754562, 0.00024584172693107795, 0.7998660712880582]","[3.0989898942055056, -0.0017236131876546498, 0.42950862415530844]",True,"[0.0008870656724543902, 0.00024584172693107795, -0.0001339287119418442]","[-0.012683096305740113, 0.01545001132891114, -0.0029713918599507927]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",apriltag,"[-0.19740384259703114, 0.00020808350199601547, 0.7962165878360148]","[3.1269501716305963, -0.002054257212395301, 0.11343113629884946]",True,"[0.0025961574029688683, 0.00020808350199601547, -0.003783412163985256]","[-0.012507000930004376, 0.024443556448369718, -0.001921432883025408]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",apriltag,"[-0.19950952498321933, -0.0006200191184143659, 0.7993795779143844]","[-3.136417151163431, -0.0004057931904960431, 0.1581802042237871]",True,"[0.0004904750167806782, -0.0006200191184143659, -0.0006204220856156351]","[0.0012003537537828, 0.0038186893408296285, 0.00020049750921629205]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",apriltag,"[-0.1993194156215034, -0.0005875707734648479, 0.7990150672936547]","[-3.106538002390637, -0.00022399086151682294, 0.4622393559047889]",True,"[0.000680584378496607, -0.0005875707734648479, -0.000984932706345365]","[0.0008649723519629002, 0.004535583456436329, 1.7458145424030688e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",apriltag,"[-0.199768066641472, -0.0006390303579953439, 0.7993573413222317]","[-3.0489137727910958, -0.0007284093932193396, 0.7519735723868878]",True,"[0.00023193335852800256, -0.0006390303579953439, -0.0006426586777683596]","[0.0013884930533348023, -0.0011925490458069266, 0.00013455443799630212]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",apriltag,"[-0.19970034733711764, -0.0006854132780140315, 0.7987741713581588]","[-2.96344480131841, -0.0013241768375015308, 1.0379877485933922]",True,"[0.00029965266288237147, -0.0006854132780140315, -0.0012258286418412867]","[0.0018088057888381534, -0.004919342615850254, 0.0002558893924968392]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",apriltag,"[-0.1994352357188897, -0.0006132712429652212, 0.7993199240187248]","[-2.844286220534531, -0.0020884494451975447, 1.3322950865062264]",True,"[0.0005647642811103248, -0.0006132712429652212, -0.0006800759812752855]","[0.0012293339056430206, 0.0034526354249444593, 0.0008940909936981607]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
