imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",apriltag,"[-0.19943090534922409, -0.0013425483007414585, 1.9941191767626671]","[2.850418546589105, 0.0019191894222527386, 1.3197183362871872]",True,"[0.0005690946507759254, -0.0013425483007414585, -0.005880823237332855]","[-0.0009576131066831398, 0.005455363731704193, 0.0009017687709759275]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",apriltag,"[-0.19939869004912966, -0.0014285259216034137, 1.9955968278667244]","[-2.964461607044393, -0.0018707740552272637, -1.0377821152627174]",True,"[0.000601309950870349, -0.0014285259216034137, -0.004403172133275568]","[0.0002903613625968785, 0.0052569576448376265, 0.0013658077768598947]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",apriltag,"[-0.1990428852337236, -0.0013471020822494403, 1.9933026256391022]","[-3.048699925502667, -0.0020572164484708886, -0.7560894283271249]",True,"[0.0009571147662764123, -0.0013471020822494403, -0.00669737436089779]","[0.00020439100839057713, -0.0013844924282655415, 0.0013998778024855473]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",apriltag,"[-0.20333431035867836, -0.0016422537977038149, 1.9815835465586906]","[-3.0851900172410676, 0.0006853189812261824, -0.5924396011801257]",True,"[-0.003334310358678344, -0.0016422537977038149, -0.018416453441309377]","[9.819405223865125e-05, -0.08854685987288408, -0.0004267089857422196]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",apriltag,"[-0.19163130066474254, 0.00013985905512805034, 1.984288934489268]","[3.1129361720883595, -0.0015237739064807197, 0.00015622722281498399]",True,"[0.008368699335257468, 0.00013985905512805034, -0.01571106551073198]","[-0.028586167213881894, 0.09685572502350989, -0.002367445713128794]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",apriltag,"[-0.21155604401193667, -0.0017859943702408809, 1.9852629866878702]","[-3.1316898742668133, -0.002107395029104208, -0.18250685953568022]",True,"[-0.011556044011936661, -0.0017859943702408809, -0.014737013312129843]","[0.004657115123068471, -0.2133855212453939, 0.0011217451021327356]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",apriltag,"[-0.19883865560706412, -0.0015520060315854, 1.995104566019854]","[-3.110202155549622, 0.00030255922133219036, 0.44172396081206183]",True,"[0.0011613443929358869, -0.0015520060315854, -0.0048954339801459135]","[0.00014953073514186244, -0.008726865113468318, -0.0002165853437427395]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",apriltag,"[-0.19807875165713817, -0.0013244358662725159, 1.9923018797135987]","[3.0419071088332346, 0.002295249574403264, -0.7798767635201691]",True,"[0.0019212483428618365, -0.0013244358662725159, -0.0076981202864012666]","[-0.0009151386922307424, 0.017130352922841312, 0.0017321380231972846]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",apriltag,"[-0.19960658243762452, -0.0013625498611610208, 1.9938261025323314]","[2.962401272185582, 0.0013751996908494693, -1.0432062904322381]",True,"[0.00039341756237548653, -0.0013625498611610208, -0.00617389746766861]","[-0.0005342968439970494, -0.0015633432840726604, 0.0011173132922073846]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",apriltag,"[-0.19952577747351902, -0.001366009626863205, 1.994534146352029]","[2.8482840002056147, 0.0007555650171934846, -1.3240562308507546]",True,"[0.00047422252648099406, -0.001366009626863205, -0.005465853647971031]","[-0.0003386789258188304, -0.0023778209576813423, 0.000688762937263129]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
