imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",apriltag,"[-0.19999805211230542, -0.0005903397774487563, 0.7997491787574561]","[-2.846367819119661, 1.3288855813220994, -0.005355114260524615]",True,"[1.9478876945866475e-06, -0.0005903397774487563, -0.00025082124254394156]","[-0.0011770683165267435, -0.003213079254715957, -0.0009246684351454213]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",apriltag,"[-0.1990099716962047, -0.00010597725939411891, 0.7972518706136185]","[2.953284145640408, -1.0447955680053662, -0.004868249686870462]",True,"[0.0009900283037952984, -0.00010597725939411891, -0.0027481293863815814]","[-0.007396052084152883, 0.005907052081965943, -0.0013270771482318778]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",apriltag,"[-0.20017722202294486, -0.0010427117610577522, 0.7996570119151408]","[-3.041326835699388, 0.7494907861597618, -0.006323513573831786]",True,"[-0.00017722202294484513, -0.0010427117610577522, -0.0003429880848592193]","[0.008029783205058958, -0.006144681048736884, 0.0015716656494199313]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",apriltag,"[-0.19980236101225202, -0.0005995688060190173, 0.7988197637568799]","[-3.107821653629064, 0.45515721295264655, -0.0034992039307073495]",True,"[0.0001976389877479945, -0.0005995688060190173, -0.0011802362431201363]","[0.000286349076348396, -0.0022938196032417694, 4.512740787564955e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",apriltag,"[-0.19975512473592816, -0.0008431879600778175, 0.7990363040526882]","[-3.133716742936893, 0.15061922624646498, -0.002557094724063099]",True,"[0.0002448752640718532, -0.0008431879600778175, -0.0009636959473118267]","[0.004173268715510056, -0.001834505898139329, 0.0009084869638165416]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",apriltag,"[-0.19986325990335693, -0.00039381124089399354, 0.799233071866217]","[3.1354945544412014, 0.15112192457752552, 0.004476310621507769]",True,"[0.00013674009664307873, -0.00039381124089399354, -0.0007669281337830958]","[-0.0023141009455422672, -0.0029675699627697847, -0.0006429570348856404]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",apriltag,"[-0.1998669820483759, -0.0005931095566311074, 0.7987307561547522]","[-3.1078974252866405, -0.4554692296151029, -0.005221471804968485]",True,"[0.00013301795162409813, -0.0005931095566311074, -0.0012692438452478472]","[0.0009698179720752045, -0.0032180352294783067, 0.00014445170725776028]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",apriltag,"[-0.20002676754694124, -0.0002721496761750127, 0.7996102658835216]","[3.045510118188272, 0.7510117731632762, 0.00419542059809198]",True,"[-2.6767546941225406e-05, -0.0002721496761750127, -0.00038973411647846845]","[-0.004063974942077618, -0.0037604717043319582, -0.0012682770748077454]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",apriltag,"[-0.19903187716573156, -0.0011400075197477823, 0.7968948097743985]","[-2.9532694780058253, -1.0455404651683387, 0.00019685757891311654]",True,"[0.0009681228342684478, -0.0011400075197477823, -0.0031051902256015174]","[0.008171119159728612, 0.003017903916234449, 0.0017785060073559882]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",apriltag,"[-0.20073707673404248, -0.00048587823472756266, 0.8026629051102852]","[2.8467935780578486, 1.3275832078615895, 0.009093489526992087]",True,"[-0.0007370767340424689, -0.00048587823472756266, 0.0026629051102851076]","[0.002041451914606709, -0.005436533788461498, 5.8606559138621485e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 0.8]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",apriltag,"[-0.17074913533774033, 0.0008271312992372559, 0.7990549681818229]","[2.8264413447012835, -1.3197409390703274, 0.010586445878290019]",True,"[0.0006794360908310981, 0.0008271312992372559, -0.0009450318181771777]","[-0.02299017518663421, 0.0032316005929235695, -0.00101667281945372]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 0.8]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",apriltag,"[-0.1713164192912109, -0.00045462327146427356, 0.8001856709727537]","[2.9598101283248357, -1.0463627967842446, 0.001520623276609197]",True,"[0.00011215213736054386, -0.00045462327146427356, 0.00018567097275368205]","[-0.002462018248645574, -0.0001581928518744949, -0.0008817423407670422]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 0.8]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",apriltag,"[-0.17075901745930838, -0.0007242847253895682, 0.7983562750099473]","[-3.0486712452545115, 0.7546475820921775, 0.006696529982978482]",True,"[0.0006695539692630481, -0.0007242847253895682, -0.0016437249900527195]","[0.0018998046601625402, 0.003923040551724767, -0.0004977118137900891]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 0.8]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",apriltag,"[-0.17080136910696125, -0.000610371442103834, 0.7987269447337226]","[3.107841352776747, -0.4542680824009072, -0.00631827399394415]",True,"[0.0006272023216101763, -0.000610371442103834, -0.001273055266277412]","[-0.00012988861082327438, 0.0040852218254415545, 0.0006071374337568324]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
