imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",apriltag,"[-0.21619116453176074, -9.380392348053808e-06, 1.9769058798482313]","[-2.7185370458553373, 1.2698493290208657, -0.438877208828398]",True,"[-0.016191164531760727, -9.380392348053808e-06, -0.023094120151768704]","[-0.02334653319337056, -0.30929980323451095, -0.001303190310790763]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",apriltag,"[-0.19705606694146463, -0.0032676119465696505, 1.9919864215874767]","[-2.9428410744137135, 1.0359209990972928, 0.05193841032629525]",True,"[0.0029439330585353807, -0.0032676119465696505, -0.008013578412523259]","[0.0311809631577808, 0.024297026324952963, 0.0018032736151974698]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",apriltag,"[-0.20757068605049783, 0.0032534480059513617, 1.9979536895642578]","[3.001495587445895, -0.7506297781626958, 0.2313442485513308]",True,"[-0.007570686050497821, 0.0032534480059513617, -0.0020463104357422157]","[-0.07374297623345032, -0.13551116072751376, -0.005293590333894791]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",apriltag,"[-0.200843044785687, -0.012263108103740221, 1.9846033620542678]","[-2.9320623526419762, 0.415702396926126, -0.034637145058958714]",True,"[-0.0008430447856870027, -0.012263108103740221, -0.015396637945732206]","[0.17472869745146244, -0.04917127744952444, 0.00918393100286601]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",apriltag,"[-0.19268577794047256, 0.0003239655460052107, 1.9856908143285044]","[3.104170802266041, -0.15418467605919023, -0.12780421213911072]",True,"[0.007314222059527448, 0.0003239655460052107, -0.014309185671495639]","[-0.026957646708606252, 0.08359394796253526, -0.002294543287498167]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",apriltag,"[-0.19492897916970445, -0.003358940956645293, 1.990847865450861]","[-3.1030970716374826, -0.15496357780841977, 0.08475370243094528]",True,"[0.005071020830295564, -0.003358940956645293, -0.00915213454913899]","[0.03079466334162898, 0.05609694275264081, 0.002830115501931526]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",apriltag,"[-0.2011114424803983, 0.009417286510266588, 1.9863412537538412]","[2.9325747476307837, 0.41666049198741023, 0.03582147883655345]",True,"[-0.0011114424803982947, 0.009417286510266588, -0.013658746246158815]","[-0.17396491879308698, -0.04986067772932562, -0.008593752501804457]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",apriltag,"[-0.20900318174447546, -0.002900701091979691, 1.9998544505571925]","[3.024017388833535, 0.7537364386610927, 0.24336189422055426]",True,"[-0.009003181744475452, -0.002900701091979691, -0.00014554944280753546]","[0.022282476497827376, -0.15503944688216456, 0.003724064072724499]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",apriltag,"[-0.21073531828599484, -0.004743568836838548, 1.9922168504326807]","[2.931532589216719, 1.0391530856299056, 0.31181256468082214]",True,"[-0.010735318285994833, -0.004743568836838548, -0.007783149567319292]","[0.05165546688262383, -0.19368509883752735, 0.0025628219438708854]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",apriltag,"[-0.2137655663007462, -0.0023644320907041314, 1.989254374878784]","[2.744491332842186, 1.284399489692631, 0.3551138108254185]",True,"[-0.013765566300746185, -0.0023644320907041314, -0.010745625121215907]","[0.01616047947245718, -0.24972914554057332, 0.0027504876395961966]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
