imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, -0.2, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19973857937767783, -0.20059356089574046, 0.7978942586490755]","[-3.1383271415190213, 0.0014586103421928916, -0.002998242047543289]",True,"[0.0002614206223221782, -0.000593560895740447, -0.0021057413509245615]","[0.0032637415187997533, -0.001910723849254829, -0.0009295452213010384]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, -0.17142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1991849058696135, -0.1722094762595908, 0.7975423695795764]","[-3.1364757873632283, -0.0012111693003689298, 0.00934342824382881]",True,"[0.0008150941303865233, -0.0007809048310193634, -0.0024576304204236843]","[0.00510272324403319, 0.005957884263180437, 0.0007723082284579394]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, -0.14285714285714285, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1990121280870194, -0.14350088041413603, 0.7969951646162056]","[-3.1381712552525696, -0.002525202289451973, 0.014841036657380183]",True,"[0.000987871912980609, -0.0006437375569931791, -0.0030048353837944797]","[0.0033853024391136887, 0.009458316601453326, 0.0016093325074077198]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, -0.1142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1991166568065241, -0.11508051848363415, 0.7987075369696444]","[-3.1370820226939227, -0.002746078596076145, 0.014406848090017304]",True,"[0.0008833431934759106, -0.0007948041979198572, -0.0012924630303556839]","[0.004476364221440643, 0.009184789539094174, 0.0017507059007755728]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, -0.08571428571428572, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19873727136698355, -0.08611367255620403, 0.7964594469408793]","[-3.137786925289434, -0.0002487538529194187, 0.012704539790031878]",True,"[0.0012627286330164633, -0.0003993868419183144, -0.00354055305912071]","[0.0037800092643014405, 0.008097716967727238, 0.00015855263778649962]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, -0.057142857142857134, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20025863418589124, -0.05763249358997634, 0.8004894096502301]","[3.1405219805016484, -0.0003918264993707719, 0.002643918125215129]",True,"[-0.00025863418589122666, -0.0004896364471192044, 0.0004894096502300327]","[-0.001069535853818213, -0.0016837438179094883, -0.0002495294539254962]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, -0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19899502991658263, -0.029186146978474093, 0.7982614730566983]","[3.1406287858223045, 0.0006736093687619009, -0.014227823734309013]",True,"[0.001004970083417378, -0.0006147184070455121, -0.001738526943301788]","[-0.0009315711114992116, 0.009060430968123888, 0.0004289616809372927]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1989480003444974, -0.00048477718181037365, 0.7981942586231426]","[3.139274181667358, 0.0005813156445426548, -0.015349943819176618]",True,"[0.0010519996555026223, -0.00048477718181037365, -0.001805741376857406]","[-0.002280899520130373, 0.009779212499637374, 0.00037034723281815986]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19900875034735482, 0.02830550106511686, 0.7984231370914798]","[3.137378748955577, -0.0008053263341804508, -0.01530484013388688]",True,"[0.0009912496526451875, -0.00026592750631172085, -0.0015768629085202157]","[-0.004176487880585169, 0.009756358650946893, -0.0005133704421988883]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.05714285714285716, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20035295896187372, 0.05703650414874163, 0.8007205743452901]","[3.134362882484168, -0.001070887172735813, 0.004105458570319314]",True,"[-0.0003529589618737061, -0.00010635299411553001, 0.0007205743452900482]","[-0.007226901663496336, -0.002619631707188389, -0.0006833170873532582]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.2, 0.08571428571428574, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1990686553418346, 0.08540418058984914, 0.797948429705102]","[3.1339599931081397, -0.003025346591461893, -0.011683271328395967]",True,"[0.0009313446581654117, -0.0003101051244366049, -0.0020515702948979975]","[-0.00760944175368206, 0.007455843231640569, -0.0019306672997052511]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.2, 0.11428571428571432, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19933324974079147, 0.11415314464974392, 0.7992510028522083]","[3.132793948479791, -0.002090551503234083, -0.011299405466916594]",True,"[0.0006667502592085373, -0.0001325696359704004, -0.0007489971477917523]","[-0.008777649910772818, 0.007213549584840546, -0.0013346097697259775]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.2, 0.14285714285714285, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19871597579492498, 0.14236595276290034, 0.7959541617402631]","[3.1362494118218978, -0.003983838871462634, -0.013044968362941773]",True,"[0.001284024205075035, -0.0004911900942425051, -0.0040458382597369225]","[-0.005313598681238604, 0.008318761496794039, -0.0025404895198903525]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.2, 0.17142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19943576845619415, 0.1711473564116219, 0.7984035588164988]","[3.1368553773911123, -0.0015213917775148136, -0.007795259253908242]",True,"[0.0005642315438058598, -0.00028121501694952644, -0.0015964411835012182]","[-0.004727226498607685, 0.0049700908342315536, -0.0009700069083540239]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.2, 0.2, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19997609080449041, 0.19980031444641574, 0.798852124849676]","[3.1368056058110794, -0.0006043557176808497, 0.00691984623192381]",True,"[2.3909195509597136e-05, -0.00019968555358426676, -0.001147875150323996]","[-0.0047793608258411705, -0.004412018224069952, -0.0003853305912966044]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, -0.2, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17135758021063222, -0.20021806394597652, 0.798027488469179]","[3.137760731796901, -0.0022023624073121443, 0.006357639079477124]",True,"[7.09912179392147e-05, -0.0002180639459765099, -0.0019725115308210084]","[-0.0038247109930411188, -0.004052330390099926, -0.0014037758359033228]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, -0.17142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17104610069307105, -0.17198001699317259, 0.798603415624696]","[3.13959367150432, -0.0012275533790743942, -0.004064069766485381]",True,"[0.0003824707355003787, -0.0005514455646011551, -0.0013965843753040996]","[-0.0019961123315651395, 0.002588912047380759, -0.0007819815885289358]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, -0.14285714285714285, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17045811037143466, -0.14294468248511974, 0.7957638701094152]","[3.1386075193486054, -0.0006918958651240773, -0.007081027330106981]",True,"[0.0009704610571367733, -8.75396279768903e-05, -0.004236129890584861]","[-0.002977072768407411, 0.00451219843687406, -0.0004408924433632036]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, -0.1142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1709396743216714, -0.11451465786131473, 0.7980070884805672]","[3.1387341499626444, -0.00048085099053181055, -0.0033067803256349153]",True,"[0.0004888971069000325, -0.00022894357560043765, -0.001992911519432816]","[-0.0028567254225423566, 0.0021070767191318047, -0.0003063977125019666]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, -0.08571428571428572, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17105506781924903, -0.0858582596629399, 0.7984893657230039]","[3.137061753215077, -0.001962918913900804, -0.0015693503368959321]",True,"[0.00037350360932239535, -0.00014397394865418855, -0.001510634276996159]","[-0.004529894199098848, 0.0010005205131697029, -0.0012514354461675454]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.17142857142857143, -0.057142857142857134, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17163193678990984, -0.05748540148506552, 0.7986120628816376]","[3.1383844970873533, -0.0004005445215764644, 0.008265220398104034]",True,"[-0.00020336536133841454, -0.0003425443422083868, -0.0013879371183624922]","[-0.003197251061688733, -0.0052671648177511415, -0.00025525441674543455]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
