imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, -0.2, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1994361900044139, -0.19812720887774227, 1.9848451933099964]","[3.1154992165168633, -0.003448068085752039, 0.05012824370660341]",True,"[0.000563809995586112, 0.0018727911222577442, -0.015154806690003575]","[-0.02568938817231656, -0.032175351761961186, -0.00221317954420273]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, -0.17142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20056048610358618, -0.1680412031827249, 1.9958091777339642]","[3.0635342032757524, -0.008155195608834083, 0.04927870999445513]",True,"[-0.0005604861035861664, 0.0033873682458465393, -0.004190822266035843]","[-0.07765472299838179, -0.03215213424756337, -0.005320897078269222]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, -0.14285714285714285, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19900218240036788, -0.14165916225677627, 1.9830563370721601]","[3.106459258712366, -0.005036967790738319, 0.044008888369810574]",True,"[0.0009978175996321337, 0.0011979806003665772, -0.016943662927839886]","[-0.03481877232326278, -0.028329011594613644, -0.003242352266352767]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, -0.1142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19905778274003466, -0.11269357564662041, 1.9837101686414713]","[3.1034396120223633, -0.004407497810615581, 0.04365848785221884]",True,"[0.00094221725996535, 0.0015921386390938819, -0.016289831358528684]","[-0.03784409909540804, -0.028130316130572947, -0.0028398671794841643]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, -0.08571428571428572, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19724770337088246, -0.08374807235932448, 1.9823888899406479]","[3.1027806661803634, -0.0028133009509944676, 0.0019343386585814212]",True,"[0.002752296629117551, 0.0019662133549612354, -0.01761111005935212]","[-0.038810116872782206, -0.0012466850120928157, -0.0018131779120226042]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, -0.057142857142857134, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.2027479360352801, -0.0537462867666772, 2.0017384649196073]","[3.057728156285205, -0.006785438886344632, 0.0879263492179204]",True,"[-0.0027479360352800908, 0.003396570376179936, 0.0017384649196072743]","[-0.08260449166685445, -0.05746227079378123, -0.0044344696465837205]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, -0.02857142857142858, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20006416880685934, -0.027706449926377275, 1.986660241076055]","[3.0962099815615938, -0.00287776409458801, 0.06094781584024808]",True,"[-6.416880685933268e-05, 0.0008649786450513064, -0.013339758923945011]","[-0.04478442222365884, -0.03935762980526442, -0.0018583434425041682]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19744810873503413, 0.0010979284361460572, 1.9838784813056491]","[3.0975411657241643, -0.003181779168746689, 0.003089772533786491]",True,"[0.002551891264965883, 0.0010979284361460572, -0.016121518694350856]","[-0.04404832775030407, -0.001994660062610803, -0.0020540566551571844]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.02857142857142858, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19752528650475878, 0.03001112857319533, 1.9844994100787456]","[3.09645299512171, -0.0032409503456692903, 0.003416669498209035]",True,"[0.0024747134952412264, 0.0014397000017667486, -0.01550058992125436]","[-0.04513609477216336, -0.0022064515719395347, -0.0020929738707616955]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.05714285714285716, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.2019870022197338, 0.05959280556083873, 2.006040113479047]","[3.0786482219039932, -0.0037229129165598975, 0.058849886513185096]",True,"[-0.001987002219733802, 0.0024499484179815664, 0.006040113479047093]","[-0.06238357249082453, -0.038213919973428524, -0.0024174574445371064]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.2, 0.08571428571428574, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19767608956761407, 0.08588710932233717, 1.9857816272074063]","[3.095625754295806, -0.0032446132637819333, 0.003884852189423]",True,"[0.002323910432385945, 0.00017282360805143115, -0.014218372792593748]","[-0.045962781742671474, -0.002509453720650264, -0.002095885874123333]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.2, 0.11428571428571432, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19918200674844327, 0.11511271320373763, 1.9879372737296994]","[3.0919338027270706, -0.0030715208220645825, 0.035727963619417484]",True,"[0.0008179932515567367, 0.0008269989180233056, -0.012062726270300583]","[-0.0494520184044926, -0.02310468675232442, -0.0019863020238991497]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.2, 0.14285714285714285, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19904405587000892, 0.14379720737784552, 1.988939599969737]","[3.0964775748998083, -0.0013653598971986437, 0.029783547372561295]",True,"[0.0009559441299910876, 0.0009400645207026659, -0.011060400030262985]","[-0.044972238856136305, -0.019233213606564412, -0.0008817035198718843]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.2, 0.17142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.2089825022580131, 0.18302770384576486, 2.0014808278965566]","[2.9250516569316947, -0.005685745415049997, 0.23082236197142358]",True,"[-0.008982502258013086, 0.01159913241719343, 0.001480827896556569]","[-0.20765634104022096, -0.1569322281567972, -0.003865642345461111]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.2, 0.2, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19800129313110718, 0.19941607852602838, 1.988524372050588]","[3.099986522985337, -0.002727840302324951, 0.004982192599485883]",True,"[0.0019987068688928356, -0.000583921473971627, -0.011475627949411926]","[-0.04160095009419192, -0.003213864599817472, -0.0017596488306177117]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, -0.2, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.18394413894347098, -0.21139618027719026, 2.0022630988980437]","[-2.969110025182451, 0.004692831889212929, -0.3060442004897311]",True,"[-0.012515567514899545, -0.011396180277190249, 0.0022630988980436584]","[0.15702326278700982, -0.20500512258211523, -0.0031435151365909724]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, -0.17142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1728116958237584, -0.17520165107077704, 2.0217782608709247]","[-3.141261509841228, -4.598450168434352e-05, 0.000515040316791768]",True,"[-0.0013831243951869798, -0.0037730796422056068, 0.021778260870924715]","[0.0003311011905505517, 0.0003279194080600655, 2.927772852074329e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
