imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.6000000000000001]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19999894961472459, -0.0003666627172816204, 0.5997566863432988]","[3.139907386361841, 0.00018208160449853224, 0.0008092675662725165]",True,"[1.0503852754251142e-06, -0.0003666627172816204, -0.0002433136567012717]","[-0.0016851576794023103, -0.0005154721183502951, 0.00011597893489762429]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.6285714285714286]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.200528516957503, -0.0003952087738640905, 0.629418813873662]","[3.1406415220384734, -0.00041048872595324595, 0.007882781697036859]",True,"[-0.0005285169575030002, -0.0003952087738640905, 0.0008473853022334943]","[-0.000941213127762702, -0.005019843533125534, -0.00026140381093794776]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.6571428571428573]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20008066470765165, -0.00040619817188066425, 0.6572871508297635]","[3.140249427714316, -9.005769424340649e-05, -0.0024386059749104266]",True,"[-8.06647076516398e-05, -0.00040619817188066425, 0.00014429368690627165]","[-0.001342277852037496, 0.0015531282938097476, -5.735701234384114e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.6857142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20060991977331913, -0.00040823048682167985, 0.6863211236168822]","[3.1400367992126554, -0.00044201972692969123, 0.0077730770614724805]",True,"[-0.0006099197733191175, -0.00040823048682167985, 0.0006068379025965243]","[-0.00154620384280364, -0.0049509353430499, -0.0002815372948286342]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.7142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19925209299419977, -0.0004283126270441873, 0.713231377505488]","[3.1401392517204108, -0.001071102094140552, -0.007648240356888276]",True,"[0.0007479070058002413, -0.0004283126270441873, -0.0010543367802262615]","[-0.0014439064929645505, 0.004871263975557466, -0.0006821988852157164]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.7428571428571429]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19871299895967426, -0.00046554451139901474, 0.7404658469941303]","[3.1395220331695466, 0.000970157850036336, -0.01654595406638461]",True,"[0.0012870010403257526, -0.00046554451139901474, -0.002391295863012566]","[-0.0020268798812761255, 0.010540327167110475, 0.0006180230588152397]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.7714285714285715]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1987239369351063, -0.0004337266039623878, 0.7694042863570127]","[3.1398087551163805, -0.0010592037026904936, -0.015018277883090174]",True,"[0.0012760630648937232, -0.0004337266039623878, -0.002024285071558718]","[-0.0017478091382090964, 0.00956628898736992, -0.0006746877901252828]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1989480003444974, -0.00048477718181037365, 0.7981942586231426]","[3.139274181667358, 0.0005813156445426548, -0.015349943819176618]",True,"[0.0010519996555026223, -0.00048477718181037365, -0.001805741376857406]","[-0.002280899520130373, 0.009779212499637374, 0.00037034723281815986]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8285714285714286]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20097100657531008, -0.00036442646447966415, 0.830276880452757]","[3.1378903957158713, -0.0015425388895256016, 0.01879999053493674]",True,"[-0.0009710065753100738, -0.00036442646447966415, 0.0017054518813284236]","[-0.0036455831628140656, -0.011982409127636724, -0.0009831564561289482]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8571428571428572]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19965654630338114, -0.0006635328764309791, 0.8565992502003876]","[3.1412589646890234, -0.00010326966770220638, -0.002095237231249937]",True,"[0.00034345369661886727, -0.0006635328764309791, -0.0005436069424695766]","[-0.0003329884606371196, 0.0013340109325378111, -6.575048574910367e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
