imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 1.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19771908724703707, -0.00033257030370506535, 1.785651093847519]","[3.1232141664668953, -0.0018159754972314596, 0.0015792359546781577]",True,"[0.002280912752962938, -0.00033257030370506535, -0.014348906152481078]","[-0.018377561731235604, -0.0010112602663819605, -0.0011628559111976746]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 1.8285714285714285]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20284584041527307, -0.0014903313928415847, 1.834352512140883]","[3.1406811492916495, -6.0200413684138126e-05, 0.05632529956342051]",True,"[-0.0028458404152730543, -0.0014903313928415847, 0.005781083569454504]","[-0.00040649424683538956, -0.03586436100646961, -3.833178670759839e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 1.8571428571428572]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19659237281840605, -0.001550908817211158, 1.8572465581150088]","[-3.1404061684854883, -5.4924422128897156e-05, 0.07659017361705564]",True,"[0.0034076271815939585, -0.001550908817211158, 0.00010370097215162133]","[0.0002526841720804751, 0.04876757279771559, 3.4972250721556665e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 1.8857142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20281817176257344, 0.0025946710020934454, 1.8969703219601466]","[3.0740642785306265, -0.006005421622657454, 0.06147865987174309]",True,"[-0.0028181717625734293, 0.0025946710020934454, 0.011256036245860912]","[-0.06691231168082828, -0.03997798802330727, -0.003905170903308159]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 1.9142857142857144]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1993581159385135, -0.0008268832866255411, 1.913451081387671]","[3.1294324909146596, -0.0007081815344280802, -0.0003941389020873645]",True,"[0.0006418840614865196, -0.0008268832866255411, -0.0008346328980433082]","[-0.012160057861279817, 0.0002518885054906938, -0.000452588636591004]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 1.9428571428571428]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.21616905693122312, -0.002302365109191582, 1.9123743415144487]","[-3.0909732441026385, -0.0015433999639238442, -0.4932128390052167]",True,"[-0.016169056931223114, -0.002302365109191582, -0.0304828013426941]","[0.011564672809251659, -0.31645971621781305, 0.0009902903492517684]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 1.9714285714285715]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20132385641181078, -0.0007187197146683293, 1.9841736278443087]","[3.1267321044839647, -0.0016406064482975488, 0.0024262426534989744]",True,"[-0.0013238564118107643, -0.0007187197146683293, 0.0127450564157372]","[-0.01485917952056035, -0.001551906092851577, -0.0010493868531297867]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19744810873503413, 0.0010979284361460572, 1.9838784813056491]","[3.0975411657241643, -0.003181779168746689, 0.003089772533786491]",True,"[0.002551891264965883, 0.0010979284361460572, -0.016121518694350856]","[-0.04404832775030407, -0.001994660062610803, -0.0020540566551571844]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0285714285714285]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20277886727447567, 0.001668680815225629, 2.042579155288252]","[3.0870847139496917, -0.004545841523298791, 0.05929265945574341]",True,"[-0.002778867274475655, 0.001668680815225629, 0.014007726716823488]","[-0.05393857238317133, -0.03839930520913642, -0.002943992691301135]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.057142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19942972993392735, -6.399360176578914e-07, 2.06079817332413]","[3.114162511993902, -0.0028612707095540084, 0.004299168892642424]",True,"[0.000570270066072659, -6.399360176578914e-07, 0.003655316181272905]","[-0.027425872162768084, -0.0027608677797985284, -0.0018374691268371087]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.2, 0.0, 2.085714285714286]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1971991795220284, 0.0022665052226035665, 2.060036156091494]","[3.0777440490153176, -0.003269156183535364, 0.0010098419146450115]",True,"[0.002800820477971616, 0.0022665052226035665, -0.0256781296227917]","[-0.06384671581643393, -0.0006559989498154343, -0.0021236621218438012]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.2, 0.0, 2.1142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20700296003649782, -0.009880698939762185, 2.117050664499881]","[-3.0059232264212206, -0.00789059656264976, -0.17579142172996323]",True,"[-0.007002960036497807, -0.009880698939762185, 0.0027649502141668947]","[0.13059751328041957, -0.1166640254182257, 0.005236596580713766]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.2, 0.0, 2.142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19927192176051675, -0.0005040160064773763, 2.144581314779672]","[3.121110381843443, -0.0010735752679745714, -0.00024631486663921224]",True,"[0.0007280782394832597, -0.0005040160064773763, 0.0017241719225293828]","[-0.02048207781200727, 0.0001578324475231944, -0.000687920361676704]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.2, 0.0, 2.1714285714285713]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1972281682863669, -0.0017809228826820317, 2.1445362341965564]","[3.1415899362664588, -3.9865892267776533e-07, 0.00046904620390832386]",True,"[0.0027718317136330994, -0.0017809228826820317, -0.026892337232014896]","[-2.682308510610839e-06, -0.0002986043436211631, -2.5379437024112966e-07]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.2, 0.0, 2.2]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20648283701861905, -0.011568580299404498, 2.2010814860066796]","[-2.9801214871072004, -0.010434885935467379, -0.17159449703937177]",True,"[-0.006482837018619042, -0.011568580299404498, 0.0010814860066794552]","[0.15660334223093222, -0.11479688081692442, 0.006980948560356213]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 1.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17023760832421123, 0.0003167773020163096, 1.7849502391697238]","[3.1127622705052636, -0.003096793882100308, 0.006279066080403735]",True,"[0.0011909631043602042, 0.0003167773020163096, -0.015049760830276204]","[-0.02882253387280357, -0.004034115202624917, -0.0019895989497809865]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 1.8285714285714285]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17265178128706432, -0.0006960207167954359, 1.8469966171570178]","[3.128232184634019, -0.0014045210584813846, 0.002059289506317755]",True,"[-0.0012232098584928908, -0.0006960207167954359, 0.01842518858558928]","[-0.013359477260388022, -0.0013165636826866249, -0.0008979511678625724]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 1.8571428571428572]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1882122876338535, -0.0016111665767621942, 1.846523880663188]","[-3.1060965498432087, 9.56657848916522e-05, -0.4617895299535144]",True,"[-0.016783716205282073, -0.0016111665767621942, -0.01061897647966914]","[0.0013610768559502446, -0.29518175458940143, -6.115078928126506e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 1.8857142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17494614833184788, -0.0015426361343893929, 1.8984653935263218]","[3.140750163140167, -5.439477756243381e-05, 0.049816139370753854]",True,"[-0.003517576903276448, -0.0015426361343893929, 0.012751107812036144]","[-0.00044746112911627916, -0.03171978605293841, -3.463517503506953e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, 0.0, 1.9142857142857144]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1716578199584129, 0.0007266638369250297, 1.9127674109475594]","[3.1044584193839397, -0.002854208176517214, 0.0035523356630965015]",True,"[-0.0002292485298414637, 0.0007266638369250297, -0.0015183033381549471]","[-0.037130903061138774, -0.0022882735009442483, -0.001838567510483966]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.17142857142857143, 0.0, 1.9428571428571428]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1866096473229763, -0.0022549974482985536, 1.9137234528866147]","[-3.098736820171853, -5.486792116402561e-05, -0.4463621813045979]",True,"[-0.015181075894404872, -0.0022549974482985536, -0.02913368997052812]","[0.010909611925309577, -0.28612202611857956, 3.517081291808717e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
21.png,"[-0.17142857142857143, 0.0, 1.9714285714285715]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17248132035383218, 0.0018652345707728926, 1.9833096614552537]","[3.0852064152921836, -0.0036741330834055524, 0.0049971075612834735]",True,"[-0.0010527489252607491, 0.0018652345707728926, 0.01188109002668214]","[-0.05638004162800378, -0.003238536676931636, -0.002381140409849548]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
22.png,"[-0.17142857142857143, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.18773156915654962, -0.0017275583732132478, 1.9835742374122254]","[-3.10645304240747, 0.00010330991420296607, -0.45949470095433276]",True,"[-0.01630299772797819, -0.0017275583732132478, -0.016425762587774617]","[0.0013449614821028353, -0.293702699916465, -6.603427779803021e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
23.png,"[-0.17142857142857143, 0.0, 2.0285714285714285]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1746583644585379, 0.0020769035186795374, 2.041704268154237]","[3.0806664150309016, -0.004061599762901655, 0.051285626292024586]",True,"[-0.0032297930299664823, 0.0020769035186795374, 0.013132839582808309]","[-0.06049951117021485, -0.03328190145355089, -0.002635782632017499]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
24.png,"[-0.17142857142857143, 0.0, 2.057142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17135247673289766, 0.0005934237548452944, 2.0606653775793706]","[3.1046253887063147, -0.0024612827807994446, 0.0029001975567793177]",True,"[7.609469567376737e-05, 0.0005934237548452944, 0.0035225204365136875]","[-0.03696494388947719, -0.0018680938907032403, -0.0015853772841635384]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
25.png,"[-0.17142857142857143, 0.0, 2.085714285714286]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.16934546332136433, 7.428296255117066e-05, 2.0609244603650625]","[3.112958873409986, -0.00208387772077811, 0.0021927036862593617]",True,"[0.0020831081072071045, 7.428296255117066e-05, -0.02478982534922336]","[-0.0286323149435451, -0.0014086618444660755, -0.0013387486198834409]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
26.png,"[-0.17142857142857143, 0.0, 2.1142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17354064769068778, 0.0010735354275751678, 2.123330747148406]","[3.095695555029825, -0.003529469009816593, 0.05179427969709352]",True,"[-0.002112076262116347, 0.0010735354275751678, 0.009045032862691649]","[-0.045463960686952895, -0.033453228099003356, -0.002279636526355315]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
27.png,"[-0.17142857142857143, 0.0, 2.142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17022851215198154, 0.0002544535172769684, 2.143787020758884]","[3.108951959978025, -0.0028338195151612474, 0.004511162179565328]",True,"[0.0012000592765898932, 0.0002544535172769684, 0.0009298779017412606]","[-0.03263614516682216, -0.0029017864578040164, -0.0018228427100681157]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
