imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.2026023631864224, -2.728093839893985e-05, 0.8096346620974062]","[2.256953044595927, -0.00556692090753544, 0.0041286586822398014]",True,"[-0.0026023631864224017, -2.728093839893985e-05, 0.009634662097406155]","[-0.011967958424128698, -0.004880931232679292, -0.0026432771317773194]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.462853500036443, 0.0, 0.0]",aruco,"[-0.2026266441738552, -0.0005965845039651907, 0.8104586600434054]","[2.4705174881655196, -0.0005783667461172708, 0.0034599751413372003]",True,"[-0.0026266441738551916, -0.0005965845039651907, 0.010458660043405343]","[0.007665847222469147, -0.002641141185819779, 0.00046355003164339355]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[2.6567789724802573, 0.0, 0.0]",aruco,"[-0.2027780676857438, -0.00021334173966158939, 0.8110104677845561]","[2.6611246025475523, 0.002107473268597916, 0.004069206529640942]",True,"[-0.0027780676857437903, -0.00021334173966158939, 0.011010467784556055]","[0.004348886392875282, -0.002514309008733453, 0.0022064555154421585]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[2.8507044449240717, 0.0, 0.0]",aruco,"[-0.20182479108659512, -0.0005802538978292448, 0.8066509691962412]","[2.85400343006813, 0.0024984706829870454, 0.003970797884715136]",True,"[-0.0018247910865951122, -0.0005802538978292448, 0.0066509691962411965]","[0.0033024549337180627, -0.0024736850674330246, 0.0021136151651926305]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.0446299173678857, 0.0, 0.0]",aruco,"[-0.20164244530736944, 0.00015737930283656938, 0.8053342526244607]","[3.038498455154941, -0.0032697504101516376, 0.006396276373394312]",True,"[-0.0016424453073694278, 0.00015737930283656938, 0.005334252624460634]","[-0.006123246796332502, -0.004303786120029243, -0.0019430671271205506]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[-3.044629917367886, -0.0, -0.0]",aruco,"[-0.20162565838949037, -0.0011673905016551616, 0.8053039181519838]","[-3.036985919097643, -0.003474983835077639, -0.006168380763739705]",True,"[-0.0016256583894903587, -0.0011673905016551616, 0.005303918151983722]","[0.007636015858866467, -0.0041626063943869035, 0.0020860362098242503]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[-2.850704444924072, -0.0, -0.0]",aruco,"[-0.20181586293869846, -0.00042188299421946186, 0.8066306062030502]","[-2.8527009895820052, 0.002258346759174369, -0.0037788191066161275]",True,"[-0.0018158629386984537, -0.00042188299421946186, 0.006630606203050116]","[-0.001999600598452111, -0.0023669386526983843, -0.001930239797733372]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[-2.6567789724802573, -0.0, -0.0]",aruco,"[-0.20277246356301346, -0.0007909877829760178, 0.8109980240997209]","[-2.6598752467491362, 0.001885473235206746, -0.00391690337068027]",True,"[-0.002772463563013444, -0.0007909877829760178, 0.010998024099720838]","[-0.0030992051905456256, -0.002446054046090957, -0.0020230902373922052]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[-2.462853500036443, -0.0, -0.0]",aruco,"[-0.2031866893733416, -0.00034262402904626255, 0.8116471897320973]","[-2.474803140900363, -0.002462198691836786, -0.0036193837735745654]",True,"[-0.0031866893733416, -0.00034262402904626255, 0.011647189732097218]","[-0.011952533721864543, -0.003232225559839887, 0.0008529210729394649]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[-2.268928027592629, -0.0, -0.0]",aruco,"[-0.20253448586095513, -0.0007670811661636211, 0.8090171124315332]","[-2.258167337375537, -0.004977173182761786, -0.0062528515916991925]",True,"[-0.0025344858609551157, -0.0007670811661636211, 0.009017112431533136]","[0.010751351910245868, -0.006221572808641279, 0.001495878115316565]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 0.8]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.17320258635607963, -0.0003979132095551646, 0.8045942385627515]","[2.2672742247444693, -0.00040097113572383773, 0.00637026068339618]",True,"[-0.0017740149275081996, -0.0003979132095551646, 0.004594238562751429]","[-0.0016478545144077174, -0.004749307526055935, 0.0018610719571670827]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
