imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.20575261804769487, -0.0004192648274272785, 2.045977543496657]","[2.2487120961516234, -0.0021313750994314527, 0.004878660914757306]",True,"[-0.005752618047694863, -0.0004192648274272785, 0.04597754349665717]","[-0.020211781327514788, -0.0042697889466873805, 0.00010439510815461355]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.462853500036443, 0.0, 0.0]",aruco,"[-0.2057535857549906, -0.0020526032795435065, 2.0459788349472974]","[2.464890382162164, -0.0019189402947279682, 0.00526096804288916]",True,"[-0.0057535857549905756, -0.0020526032795435065, 0.045978834947297376]","[0.002041624213101695, -0.004285967842561027, -4.4511465037067015e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[2.6567789724802573, 0.0, 0.0]",aruco,"[-0.20515604770444706, -0.0021510910602802, 2.0429055739740565]","[2.6803562421349536, 0.0013957249371732375, -0.005211024131511762]",True,"[-0.005156047704447053, -0.0021510910602802, 0.04290557397405648]","[0.023581766955011775, 0.003918150982504181, 7.559609249438231e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[2.8507044449240717, 0.0, 0.0]",aruco,"[-0.20524631579966215, -0.000837813378517141, 2.040885478124663]","[2.8512057233347043, -0.0010532840608165545, 0.008238525821441444]",True,"[-0.0052463157996621435, -0.000837813378517141, 0.04088547812466281]","[0.0005121593185272854, -0.00576373806786584, 0.00010540352278549124]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.0446299173678857, 0.0, 0.0]",aruco,"[-0.1986432161230161, -0.00479982701533625, 2.023305710857969]","[3.1031957468580678, 0.004931510021120576, -0.11597056569091739]",True,"[0.0013567838769839025, -0.00479982701533625, 0.023305710857969064]","[0.06068236306411925, 0.07477322311233968, -0.0004473858191248113]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[-3.044629917367886, -0.0, -0.0]",aruco,"[-0.22008397661337356, 0.009032593944334096, 2.021007571622604]","[3.0436398942480016, -0.012439678270266293, 0.4190573278573464]",True,"[-0.02008397661337355, 0.009032593944334096, 0.021007571622603916]","[-0.16578726259503118, -0.2730792801754509, -0.021386776148835347]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[-2.850704444924072, -0.0, -0.0]",aruco,"[-0.2052393391581145, -0.0016295614614415081, 2.040867013902126]","[-2.8499586690861105, -0.001172291384803534, -0.00805981994874882]",True,"[-0.0052393391581144755, -0.0016295614614415081, 0.040867013902126104]","[0.0007353100580657898, -0.005654941040561908, -5.700875830381577e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[-2.6567789724802573, -0.0, -0.0]",aruco,"[-0.20515231263150965, -0.00031774533435803554, 2.0428953020957037]","[-2.679124027937521, 0.0012710766246186722, 0.005321814355384585]",True,"[-0.005152312631509642, -0.00031774533435803554, 0.04289530209570369]","[-0.022349682736196478, 0.003975786782283362, 3.163360332910423e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[-2.462853500036443, -0.0, -0.0]",aruco,"[-0.20575261804703626, -0.0004192648273441575, 2.04597754349724]","[-2.463668056788409, -0.002035546407590827, -0.00519394577881133]",True,"[-0.005752618047036251, -0.0004192648273441575, 0.045977543497239814]","[-0.0008192635639582697, -0.004268503454854373, 0.00014578812238696481]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[-2.268928027592629, -0.0, -0.0]",aruco,"[-0.20575358575321767, -0.0020526032798077985, 2.0459788349495804]","[-2.2474897074173055, -0.002254093722158237, -0.004842624805973566]",True,"[-0.00575358575321766, -0.0020526032798077985, 0.04597883494958044]","[0.021434141772331685, -0.004286279232587615, -2.952179676788207e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.1760208964648156, -0.0008833115160230241, 2.0374284887143626]","[2.254150065729756, -0.005877447927293141, 0.012379255499293309]",True,"[-0.0045923250362441825, -0.0008833115160230241, 0.03742848871436255]","[-0.01475048868242461, -0.010980967989169397, -7.618889110832848e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 2.0]","[2.462853500036443, 0.0, 0.0]",aruco,"[-0.17602161494270752, -0.00157519793147844, 2.0374295408530507]","[2.4594016359277275, -0.004712231506553297, 0.013552061806115675]",True,"[-0.004593043514136086, -0.00157519793147844, 0.037429540853050725]","[-0.0034207063003018783, -0.01099546720772623, 5.2046316852751816e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 2.0]","[2.6567789724802573, 0.0, 0.0]",aruco,"[-0.17604114593003722, -0.0026538004621696146, 2.0355288046886177]","[2.684964808431448, -0.0030078413321353056, 0.012230020308785935]",True,"[-0.004612574501465794, -0.0026538004621696146, 0.03552880468861774]","[0.028210327628599107, -0.00913827723664377, 1.1457116660731359e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 2.0]","[2.8507044449240717, 0.0, 0.0]",aruco,"[-0.17635352755108458, -0.0003797561146808952, 2.0500004198861816]","[2.8479980279835386, 0.0008590001888309247, -0.004437767447291862]",True,"[-0.004924956122513147, -0.0003797561146808952, 0.050000419886181646]","[-0.0027031921850048527, 0.0031368295339798367, 0.0001436327268116617]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.17142857142857143, 0.0, 2.0]","[3.0446299173678857, 0.0, 0.0]",aruco,"[-0.16966005844687895, -0.0029482559367703986, 2.0215109271990173]","[3.073104275729573, 0.00322905434949176, -0.12540738177939342]",True,"[0.0017685129816924772, -0.0029482559367703986, 0.02151092719901726]","[0.03096176234780505, 0.08153566024302816, -0.0018543212394398637]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 2.0]","[-3.044629917367886, -0.0, -0.0]",aruco,"[-0.16964817811005742, 0.0004889215752421228, 2.0214668971315444]","[-3.0715527119635824, 0.003046441370935502, 0.1255462414290422]",True,"[0.001780393318514012, 0.0004889215752421228, 0.02146689713154437]","[-0.029416317703885787, 0.08165873941230303, 0.0019782135019369256]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 2.0]","[-2.850704444924072, -0.0, -0.0]",aruco,"[-0.17634795779607537, -0.002095304035430545, 2.0499849921226434]","[-2.846756001683432, 0.000749894487530303, 0.004585918339497733]",True,"[-0.004919386367503942, -0.002095304035430545, 0.0499849921226434]","[0.0039450343761920125, 0.003228789453722862, -5.374004330333566e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 2.0]","[-2.6567789724802573, -0.0, -0.0]",aruco,"[-0.17642991906885674, 8.568142242880265e-05, 2.035639374064555]","[-2.688988172782173, -0.010653152790296092, -0.014067470805340808]",True,"[-0.005001347640285314, 8.568142242880265e-05, 0.035639374064555085]","[-0.03225724468158101, -0.011752021211268239, 0.005048432206899468]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 2.0]","[-2.462853500036443, -0.0, -0.0]",aruco,"[-0.1760208964840444, -0.0008833115245234537, 2.037428488926273]","[-2.4581805713910536, -0.00480595252052098, -0.013494839514240789]",True,"[-0.004592325055472968, -0.0008833115245234537, 0.03742848892627304]","[0.004641863768207165, -0.010981100834147068, 3.028724934625265e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
