imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",aruco,"[-0.2020575715886575, -0.0004991043589536908, 0.8074835382866565]","[-2.8486344261124894, 0.0003568268848008618, -1.3234038988838883]",True,"[-0.002057571588657492, -0.0004991043589536908, 0.007483538286656488]","[0.0005992290990957787, 0.0028485314551793288, 2.8734039603191335e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",aruco,"[-0.2024187994275497, -0.0005062789613222384, 0.806086203915194]","[-2.960419833618086, 0.0002766452428424068, -1.0495017331233438]",True,"[-0.0024187994275496894, -0.0005062789613222384, 0.006086203915193988]","[0.0006687452590335511, -0.0026367719286807265, 4.9276768312940945e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",aruco,"[-0.2007405631040862, -0.0005028247708209006, 0.8015189897433501]","[-3.0525819220498582, 0.0001735684099725682, -0.7398564092514299]",True,"[-0.0007405631040861838, -0.0005028247708209006, 0.0015189897433500743]","[0.0006384927794640678, 0.009242972921543777, 4.403136819853522e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",aruco,"[-0.20349996311281984, -0.00045216584639898414, 0.8062264868391653]","[3.1027113365896044, -0.00018007108844296906, 0.4916699719766386]",True,"[-0.0034999631128198316, -0.00045216584639898414, 0.006226486839165268]","[-0.0001483263169014122, -0.023427489158673282, -0.00013759551209197046]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",aruco,"[-0.20550986019597423, -0.0005391188712222409, 0.8085797722131068]","[-3.132108329317263, -0.00018528674410261644, -0.2275707281439696]",True,"[-0.005509860195974214, -0.0005391188712222409, 0.008579772213106795]","[0.001220812979837069, -0.04809707828543325, 0.00017738661345723886]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",aruco,"[-0.2014500502369435, 4.94865274710001e-05, 0.8085789881471277]","[-3.13840301468315, 0.013414471857542765, 0.13304503074387924]",True,"[-0.0014500502369435009, 4.94865274710001e-05, 0.008578988147127653]","[-7.211235519938506e-05, -0.012228218078744439, -0.00854747590209044]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",aruco,"[-0.20212295946310516, -0.0005983977802942258, 0.8063445686682791]","[3.10879979810079, 0.005468451028437952, -0.44681908340613974]",True,"[-0.002122959463105145, -0.0005983977802942258, 0.006344568668279038]","[-0.000328622969968153, -0.0053889941731811, 0.003567558861048415]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",aruco,"[-0.20256777248491092, -0.00045379964690056356, 0.8066285300586389]","[3.0520300642129623, 0.0022282199667775643, -0.7401794352736214]",True,"[-0.002567772484910913, -0.00045379964690056356, 0.006628530058638837]","[-0.0007173338542643629, -0.008960259793647963, 0.00163913793391603]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",aruco,"[-0.201408458564379, -0.0004973978816053025, 0.8043284473126691]","[-2.963235063021438, -0.000357778165225879, 1.0417864003465978]",True,"[-0.0014084585643789893, -0.0004973978816053025, 0.004328447312669015]","[0.0006046560319332521, -0.0025924470171193987, 2.8128098862311894e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",aruco,"[-0.2022433639123946, -0.0005066717021555921, 0.8067100419367712]","[-2.8454014049135754, -0.0005183933701746739, 1.3302674683879354]",True,"[-0.0022433639123946025, -0.0005066717021555921, 0.0067100419367711606]","[0.0006708597309725531, 0.0019822756270023727, 5.137718477081109e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 0.8]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",aruco,"[-0.17374684514382174, -0.0004961978165658626, 0.8075299683023924]","[-2.845281448494171, 0.00036808522215292234, -1.3305815997138462]",True,"[-0.002318273715250313, -0.0004961978165658626, 0.007529968302392387]","[0.0006083253600428444, -0.002195817926342927, 2.5065561188569723e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 0.8]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",aruco,"[-0.17288838527785738, -0.0004923273831119562, 0.8041187615363103]","[-2.9618464563341886, 0.00027029352979463786, -1.0457892036173158]",True,"[-0.0014598138492859514, -0.0004923273831119562, 0.0041187615363103]","[0.0005668248136554252, -0.00010523924317311992, 1.759136293661015e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 0.8]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",aruco,"[-0.17211545235158385, -0.0007426701366404911, 0.8016039553665836]","[-3.0511191547489784, 0.006200864825457767, -0.7420823476164088]",True,"[-0.0006868809230124173, -0.0007426701366404911, 0.0016039553665835315]","[0.0024241482980307955, 0.00764563147490011, -0.003469048523106842]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 0.8]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",aruco,"[-0.17513190739147222, -0.0004631261034065729, 0.8067179337124891]","[-3.1003812603183856, 0.000142025264731222, -0.5067858488240046]",True,"[-0.003703335962900789, -0.0004631261034065729, 0.006717933712489077]","[7.744094218936898e-05, -0.03316436678382932, -8.004357611019543e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
