imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",aruco,"[-0.2062904046660663, -0.0012352976674834372, 2.045799422811718]","[-2.848362304640026, 0.00038892184662156737, -1.3239829689673985]",True,"[-0.006290404666066285, -0.0012352976674834372, 0.04579942281171778]","[0.0006103512852075996, 0.002441139666623103, 1.1371659250789062e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",aruco,"[-0.20561532199165183, -0.001234582368508652, 2.0459994201993372]","[-2.9686851635805898, 0.00029043116773111124, -1.0261478796803798]",True,"[-0.005615321991651823, -0.001234582368508652, 0.045999420199337226]","[0.0005918732843161068, 0.01313740792901342, 1.2833605536845452e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",aruco,"[-0.20502281878074613, -0.0012291021099445584, 2.031085082427861]","[-3.0532070663439796, 0.0002084009185493364, -0.7373616446746692]",True,"[-0.005022818780746119, -0.0012291021099445584, 0.03108508242786101]","[0.0006234652584297445, 0.01088056234809259, 1.746866345236315e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",aruco,"[-0.17315266765912743, -0.0012293472384512854, 2.0249396463959966]","[-3.1254885973884523, -0.0001467693929926057, 0.31041621958550697]",True,"[0.02684733234087258, -0.0012293472384512854, 0.02493964639599655]","[0.0007128297154957639, 0.4888742358204898, 0.00019981659790727283]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",aruco,"[-0.19720114060124141, -0.0012458377960075076, 2.025193112399509]","[-3.140612966621029, -7.631299261039995e-05, -0.0028774368326415123]",True,"[0.0027988593987585964, -0.0012458377960075076, 0.025193112399509054]","[0.0009752308538274196, 0.09513032451948561, 9.59906148816745e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",aruco,"[-0.2019071120690678, -0.0005544391410603131, 2.006406133138014]","[-3.1397722637766203, 0.01613777594455776, 0.09591694111244806]",True,"[-0.0019071120690677956, -0.0005544391410603131, 0.006406133138014081]","[-0.00018411928903441758, -0.03588339165916864, -0.010278405391641095]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",aruco,"[-0.2021441316074097, -0.0012225718874543938, 2.0216693805798016]","[-3.108620418426232, -0.00016839398848437907, 0.449497700691721]",True,"[-0.0021441316074096994, -0.0012225718874543938, 0.02166938057980161]","[0.0006510600672440449, -0.003684489112920276, 1.3002864718487161e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",aruco,"[-0.20551273430938855, -0.0012346723627134812, 2.043513825508403]","[-3.0483575985189018, -0.00025636892553094684, 0.7571711052404745]",True,"[-0.005512734309388534, -0.0012346723627134812, 0.04351382550840288]","[0.0006282335417644215, 0.0021054599488956856, 1.2814696267405852e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",aruco,"[-0.20648167471219447, -0.0012353281282249209, 2.045674176617009]","[-2.9644737205434923, -0.00033401956065081214, 1.0382148034289327]",True,"[-0.006481674712194463, -0.0012353281282249209, 0.04567417661700901]","[0.0006126110859559462, -0.004999472136815147, 9.27799085579567e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",aruco,"[-0.2059325521735916, -0.0012346741591205764, 2.045907471555438]","[-2.844294654859708, -0.0004096543561325323, 1.332753822366685]",True,"[-0.005932552173591593, -0.0012346741591205764, 0.04590747155543795]","[0.0005948476309880133, 0.0037148679435019256, 1.0421549314867182e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 2.0]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",aruco,"[-0.17564442317770695, -0.0012339022029308842, 2.045914097010292]","[-2.8579221878563423, 0.0003847290000859409, -1.3032166612126126]",True,"[-0.004215851749135524, -0.0012339022029308842, 0.04591409701029203]","[0.0006100707386517858, 0.016997601292734036, 1.4183285949037982e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 2.0]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",aruco,"[-0.1763284648540271, -0.0012329671076059655, 2.04534023586987]","[-2.9672087862165393, 0.0002946790945502089, -1.0303994124572031]",True,"[-0.004899893425455659, -0.0012329671076059655, 0.045340235869869794]","[0.0005957950355743404, 0.010271735758262589, 1.1350026759172362e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 2.0]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",aruco,"[-0.17623970696218985, -0.0012275812370708497, 2.031503562336445]","[-3.050402367867368, 0.0002141187213007739, -0.7488900049554855]",True,"[-0.004811135533618421, -0.0012275812370708497, 0.0315035623364448]","[0.0006219777859963215, 0.0033258381557104573, 1.3351152125155407e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 2.0]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",aruco,"[-0.14309505479969212, -0.0012268375628160042, 2.0248837699311335]","[-3.1238599809770746, -0.00014189873920358593, 0.3265849308035792]",True,"[0.028333516628879313, -0.0012268375628160042, 0.024883769931133504]","[0.0006942203144220146, 0.49922200985905507, 0.0001939636155937056]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.17142857142857143, 0.0, 2.0]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",aruco,"[-0.1677942713606466, -0.0012433117260435464, 2.0251936601703617]","[-3.1406306262720944, -6.351368597578328e-05, -0.0031390311219423347]",True,"[0.0036343000679248394, -0.0012433117260435464, 0.02519366017036173]","[0.0009577291304141522, 0.09496374816023098, 8.697766191262264e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
