imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",aruco,"[-0.20350626992597834, -0.0010400635187873134, 0.8135737898244209]","[-2.838733669264182, 1.3260390687115857, -0.008736621922738858]",True,"[-0.003506269925978328, -0.0010400635187873134, 0.013573789824420812]","[0.00526068193940298, -0.008606415698098344, -0.0013397445675920555]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",aruco,"[-0.20438917826034342, -0.00022446735839583114, 0.8183983948229404]","[2.9583889060282202, -1.0434696929894616, -0.005047216941947351]",True,"[-0.004389178260343407, -0.00022446735839583114, 0.018398394822940367]","[-0.003236915252439738, 0.004555185207323157, 0.0005552659759500402]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",aruco,"[-0.2024087087619154, -0.0011588401574226708, 0.8105479650908702]","[3.050028108395498, -0.7494030699500631, -0.004388758632045949]",True,"[-0.0024087087619154013, -0.0011588401574226708, 0.010547965090870193]","[-0.0001494718688975486, 0.0029158538714435223, 0.0029517200836853196]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",aruco,"[-0.20255238191623787, -0.0016604774446938777, 0.8074129632014737]","[-3.099091648302776, 0.4404291793118426, -0.013569888626634058]",True,"[-0.002552381916237856, -0.0016604774446938777, 0.007412963201473666]","[0.009955961360906028, -0.010220946863191095, 0.008547585855516777]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",aruco,"[-0.20211848202567306, -0.00010759900726519701, 0.8115173765610056]","[-3.1372265792247416, 0.1595625079550636, -0.008322718112821578]",True,"[-0.002118482025673052, -0.00010759900726519701, 0.011517376561005599]","[4.276454624904165e-05, -0.0053072321774873185, -0.00467169291989605]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",aruco,"[-0.20212134824904682, -0.000882618301316202, 0.811533697862898]","[-3.1366400457170993, -0.15957362230140368, -0.008410116399321845]",True,"[-0.002121348249046806, -0.000882618301316202, 0.01153369786289793]","[0.0011433970020654223, -0.005306389083992165, 0.004697733182667412]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",aruco,"[-0.20261734089474112, 0.0009166578238064769, 0.8071228860700237]","[3.085887447979759, 0.4457563654488464, 0.005299294192483569]",True,"[-0.0026173408947411103, 0.0009166578238064769, 0.0071228860700236485]","[-0.022929617217843395, -0.006794060428020232, -0.003972657203763135]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",aruco,"[-0.20241434925875634, 0.0001382531006074444, 0.810583577006351]","[-3.0484829091598207, -0.7493029725727228, 0.0038115380491424225]",True,"[-0.002414349258756332, 0.0001382531006074444, 0.01058357700635093]","[0.001718021787625922, 0.002926281964745533, -0.002778753698816585]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",aruco,"[-0.2043901923476035, -0.0007988525330696921, 0.818398937564656]","[-2.956997176450595, -1.0432921058205686, 0.0042829738005067276]",True,"[-0.004390192347603489, -0.0007988525330696921, 0.018398937564655937]","[0.004693099083583056, 0.004553811282954526, -0.00036681552340604305]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",aruco,"[-0.20350788119042762, 2.2632127471614e-05, 0.8135779217963398]","[2.8397994454922926, 1.3268488213791438, 0.009735785107232484]",True,"[-0.0035078811904276086, 2.2632127471614e-05, 0.013577921796339765]","[-0.003803811592957217, -0.008627935199290981, 0.0015200565205297325]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
