imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",aruco,"[-0.20530386065410466, -0.0012593583656555116, 2.0466573670094625]","[-2.83843211899212, 1.3425633292035553, -0.0019023235259892236]",True,"[-0.005303860654104653, -0.0012593583656555116, 0.04665736700946255]","[0.0009924287569440012, -0.0017997433511003633, -0.010957200000286903]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",aruco,"[-0.20402845303708508, 0.0008134553148471204, 2.0407753756648734]","[2.923155573096818, -1.02625808018809, -0.0041299096786700336]",True,"[-0.004028453037085072, 0.0008134553148471204, 0.04077537566487344]","[-0.04014939498560857, 0.017000780289999205, 0.003467395426804331]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",aruco,"[-0.2216201552159302, -0.002924448086997446, 2.021706481146545]","[-2.92403647009941, 0.7257792315447397, -0.4271019191285275]",True,"[-0.021620155215930192, -0.002924448086997446, 0.02170648114654483]","[0.028584590305682844, -0.2969660854332048, -0.0017622951512401678]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",aruco,"[-0.21523007807874275, 0.0023804140292515087, 2.040057530446841]","[3.055984689494079, -0.4523565850393243, 0.2652123921851453]",True,"[-0.015230078078742743, 0.0023804140292515087, 0.04005753044684113]","[-0.06538398951617576, -0.16350462525883588, -0.003016119540981288]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",aruco,"[-0.20546306284711952, 0.007166233202478845, 2.036991169841392]","[3.0038054793577253, -0.15216192849573473, 0.027715779888853657]",True,"[-0.005463062847119504, 0.007166233202478845, 0.03699116984139206]","[-0.13454453626771326, -0.011895761817311522, -0.004257025704412711]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",aruco,"[-0.20542775055410128, -0.009640685595482071, 2.0369063976853714]","[-3.002343327107222, -0.1521909780294062, -0.027149755365169205]",True,"[-0.005427750554101274, -0.009640685595482071, 0.036906397685371406]","[0.1359888604441096, -0.011457609637308292, 0.004325299060518798]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",aruco,"[-0.20826670880819023, -0.0050277558635354914, 2.041002529325739]","[-3.0455956429193134, -0.45109253254572246, -0.09266483122600906]",True,"[-0.00826670880819022, -0.0050277558635354914, 0.041002529325739]","[0.06945766313660585, -0.050625877520947604, 0.0031978897069578484]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",aruco,"[-0.22162083034624835, 0.0005094769527184072, 2.0216852289228546]","[2.9247373845177904, 0.7257350832096773, 0.42754676873658454]",True,"[-0.021620830346248343, 0.0005094769527184072, 0.021685228922854627]","[-0.027823098296938017, -0.2970155735472478, 0.0016228368545174448]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",aruco,"[-0.20402355298355807, -0.0033171970195120916, 2.0407414587218904]","[-2.9214563689888586, -1.0258345549215373, 0.0032241728146863956]",True,"[-0.004023552983558054, -0.0033171970195120916, 0.04074145872189039]","[0.041988751588720986, 0.01703136034451244, -0.0033619154121906406]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",aruco,"[-0.2053038604934815, -0.0012593304175156494, 2.0466573669644186]","[-2.839759521590033, -1.3433658980117704, -0.0032227456583022707]",True,"[-0.005303860493481499, -0.0012593304175156494, 0.04665736696441858]","[0.0009721098554912725, -0.0018105534667657657, 0.011057750270857307]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
