imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, -0.2, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20290167895558076, -0.20297277210298148, 0.8089921592453838]","[-3.133389249339247, -2.884331744859018e-05, -0.012669234615437711]",True,"[-0.0029016789555807443, -0.002972772102981469, 0.008992159245383768]","[0.008177813742499377, -0.008086512055649791, 1.8410096691141464e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, -0.17142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20194930211692505, -0.17388759286162236, 0.8071418431677682]","[-3.1316087080015866, -0.0023211392612901317, -0.0007110439779069712]",True,"[-0.001949302116925039, -0.002459021433050934, 0.007141843167768114]","[0.009983005654695575, -0.0004541039424305253, 0.0014823815716501721]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, -0.14285714285714285, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20147352388026615, -0.14517445640361865, 0.8065522027249965]","[-3.132181489847648, -0.003301195414705326, 0.004518020345591995]",True,"[-0.0014735238802661421, -0.0023173135464757966, 0.006552202724996459]","[0.009406170571744834, 0.0028848789525462255, 0.002107903117217511]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, -0.1142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20130786140339502, -0.11608690624251554, 0.8060660826316682]","[-3.134622037894452, -0.0025685668624266496, 0.005928691933265722]",True,"[-0.0013078614033950053, -0.001801191956801243, 0.00606608263166819]","[0.006963961629277476, 0.0037826950139956276, 0.0016388277841017321]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, -0.08571428571428572, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2009624151542191, -0.08702738077137605, 0.8044889992319011]","[-3.135068440562341, -0.002306801230489043, 0.006891474521758803]",True,"[-0.0009624151542190762, -0.0013130950570903327, 0.0044889992319010474]","[0.006515795811901933, 0.004396355567378213, 0.0014716035589299626]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, -0.057142857142857134, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20219158266702908, -0.058239953252197205, 0.8066704059945844]","[-3.1410386381944218, -7.0274397212259675e-06, -0.009499572079003484]",True,"[-0.0021915826670290683, -0.0010970961093400705, 0.00667040599458435]","[0.0005396512701426561, -0.006048663502602078, 4.474582413293099e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, -0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20119956684279167, -0.029326212212602648, 0.8026364208068604]","[-3.1370797608954937, -0.001016361137296137, -0.01772269350636141]",True,"[-0.001199566842791655, -0.0007547836411740672, 0.002636420806860329]","[0.00446269076592701, -0.011298708532919413, 0.0006479584071334093]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20118366675571403, -0.0004896703590095197, 0.8025585499822216]","[-3.1409489391817695, -1.5974112058188273e-05, -0.017773229513179604]",True,"[-0.001183666755714019, -0.0004896703590095197, 0.002558549982221603]","[0.0005934325463187203, -0.011316987091584485, 1.0171410875440389e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20120386153509062, 0.02834710723713596, 0.8026914104074435]","[3.13826710936915, -0.000984697368314612, 0.017721039127627767]",True,"[-0.0012038615350906112, -0.0002243213342926209, 0.002691410407443473]","[-0.003275374375231023, -0.011293388191183272, -0.000627534850023331]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.05714285714285716, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20131815630048105, 0.057147651293965845, 0.8033759084373467]","[-3.1405773737123535, -0.00014494105707530303, -0.017534513474084478]",True,"[-0.0013181563004810437, 4.794151108683531e-06, 0.0033759084373466974]","[0.0009663324703225297, -0.011166309768700217, 9.230120606983123e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
