imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, -0.2, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20302859412691368, -0.20315476450937736, 2.0249385127048507]","[-3.1412671805972545, 6.650881326114878e-05, -0.0017945552714191454]",True,"[-0.0030285941269136696, -0.00315476450937735, 0.0249385127048507]","[0.00032495970595818816, -0.0011425676053388682, -4.2345207590974116e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, -0.17142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20729205172244153, -0.1689458832471759, 2.0332793749336897]","[3.0354343632710585, -0.012025715761170995, 0.08446993898050875]",True,"[-0.007292051722441517, 0.0024826881813955204, 0.03327937493368971]","[-0.10497319762170364, -0.05559016891008114, -0.007914195020105055]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, -0.14285714285714285, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2030462232157625, -0.14629917531651693, 2.025017788197238]","[-3.1412421235415864, 5.132377426128763e-05, -0.0021390278756695]",True,"[-0.003046223215762478, -0.003442032459374078, 0.02501778819723821]","[0.00034980137086574654, -0.0013618991716814422, -3.2677370149809416e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, -0.1142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2030564261162189, -0.1168930932825946, 2.0250610237520994]","[-3.1411881017373893, 3.674411610487176e-05, -0.0023348724486021736]",True,"[-0.0030564261162188966, -0.002607378996880308, 0.0250610237520994]","[0.0004036839092951703, -0.0014866171086570358, -2.3395038849631752e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, -0.08571428571428572, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2030664426577933, -0.08748879084748039, 2.0251034465802493]","[-3.1410958613016775, 1.600712612626742e-05, -0.002525453628003757]",True,"[-0.0030664426577932946, -0.0017745051331946732, 0.025103446580249322]","[0.000495777063503673, -0.001608007614920088, -1.0192062296693162e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, -0.057142857142857134, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20917349890708642, -0.05078123006835188, 2.0351697152127026]","[3.001217712758293, -0.012580035504963383, 0.12415596945008868]",True,"[-0.009173498907086408, 0.006361627074505251, 0.035169715212702624]","[-0.13782123507710758, -0.08255854567339452, -0.008365199356982683]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, -0.02857142857142858, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20308061336811706, -0.03064581926662495, 2.025171336730517]","[-3.14080288766804, -4.2294457145526314e-05, -0.002792082762495414]",True,"[-0.0030806133681170467, -0.002074390695196368, 0.02517133673051708]","[0.000788524700771343, -0.0017779414894967247, 2.693224969719939e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20308273224746398, -0.001246320086855586, 2.02519269565409]","[-3.1406102296132237, -7.8856663628612e-05, -0.0028305168542199595]",True,"[-0.0030827322474639707, -0.001246320086855586, 0.02519269565408999]","[0.0009811475992329186, -0.0018025260399925698, 5.021739736528791e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.02857142857142858, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20308045275197936, 0.028152879589888758, 2.025202450389552]","[-3.140416159212382, -0.00011551436308742954, -0.002785646491675661]",True,"[-0.003080452751979351, -0.00041854898153982287, 0.025202450389552045]","[0.0011752569301511325, -0.0017740613332465707, 7.35662495583716e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.05714285714285716, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20914239175827812, 0.048310403678569154, 2.035202998480048]","[-2.9998519205104257, -0.012598985002273822, -0.12340865307863547]",True,"[-0.009142391758278107, -0.008832453464288008, 0.03520299848004793]","[0.13921654048712953, -0.08209684015707402, 0.008381396539624922]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
