imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.6000000000000001]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20101271248946925, -0.00037204143487213866, 0.6026982728930479]","[-3.1409902319958896, -2.3234786188859075e-05, -0.009932344347855115]",True,"[-0.0010127124894692419, -0.00037204143487213866, 0.002698272893047804]","[0.000586718645517253, -0.006324318271491482, 1.479451151531368e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.6285714285714286]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2011074865503496, 3.687769095911858e-05, 0.6328558006410996]","[-3.1408220727552933, 0.010521351833032537, -0.014807257944908456]",True,"[-0.00110748655034959, 3.687769095911858e-05, 0.0042843720696710275]","[0.0007180586251245931, -0.009428800409184755, -0.006699668962178483]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.6571428571428573]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2011769234231376, 3.867255556395808e-05, 0.6615732367980893]","[-3.140812745856264, 0.010981860497866454, -0.016176105634797662]",True,"[-0.001176923423137577, 3.867255556395808e-05, 0.004430379655232075]","[0.0007190580729699569, -0.010300452338020488, -0.006992914932363341]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.6857142857142857]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2008608728147419, -0.00042236133906289766, 0.6885287412675055]","[-3.141002766736943, -2.333028653922796e-05, -0.0012469993059162666]",True,"[-0.0008608728147418976, -0.00042236133906289766, 0.002814455553219797]","[0.0005896392481379247, -0.0007940134389277538, 1.4855309829199073e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.7142857142857143]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20104994361774903, -0.00019878254173220493, 0.7175470797297293]","[-3.140820359648309, 0.005928729211632975, -0.025379167002439387]",True,"[-0.0010499436177490162, -0.00019878254173220493, 0.0032613654440150075]","[0.0006641705372530712, -0.016160480817753935, -0.003775187526408685]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.7428571428571429]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20147120724136644, -0.00020720175629365976, 0.7493204500422647]","[-3.1409078222931233, 0.006184779043008154, -0.013361384658938102]",True,"[-0.001471207241366429, -0.00020720175629365976, 0.0064633071851217805]","[0.0006503250404910922, -0.008507913685167916, -0.003938182127295385]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.7714285714285715]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20143875899825697, -0.00021501439070744884, 0.7782844073873029]","[-3.14089135970997, 0.006414800772497629, -0.01610308518571044]",True,"[-0.0014387589982569615, -0.00021501439070744884, 0.006855835958731404]","[0.0006534673454397312, -0.0102537269141191, -0.004084659217231174]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20118366675571403, -0.0004896703590095197, 0.8025585499822216]","[-3.1409489391817695, -1.5974112058188273e-05, -0.017773229513179604]",True,"[-0.001183666755714019, -0.0004896703590095197, 0.002558549982221603]","[0.0005934325463187203, -0.011316987091584485, 1.0171410875440389e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8285714285714286]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2013390502185613, -0.00023060258949687753, 0.8361435375129035]","[-3.140888922441401, 0.006875989310077, -0.016360035446459326]",True,"[-0.0013390502185612885, -0.00023060258949687753, 0.007572108941474864]","[0.0006536011312756429, -0.010417344377444768, -0.004378324778886905]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8571428571428572]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20148467151632743, -0.0005265532894202021, 0.8648044708801683]","[-3.140991520815855, -1.7893060428086186e-05, -0.006708753785436044]",True,"[-0.0014846715163274182, -0.0005265532894202021, 0.007661613737311113]","[0.0005939686652683763, -0.004271736069350636, 1.1393238456247816e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.2, 0.0, 0.8857142857142858]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20082935402890173, -0.0005400406845998361, 0.8876468604561263]","[-3.140933201114565, -1.3469571444881053e-05, -0.020137303039988196]",True,"[-0.0008293540289017187, -0.0005400406845998361, 0.0019325747418404982]","[0.0005949045588597349, -0.012822320791170783, 8.576678100483888e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.2, 0.0, 0.9142857142857144]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20119282602158, -0.0005594467222625706, 0.9202976974580045]","[-3.140995097135322, -1.7517349870996058e-05, -0.00426097172365883]",True,"[-0.0011928260215799957, -0.0005594467222625706, 0.006011983172290125]","[0.0005946664415656679, -0.0027131331648051296, 1.1154005700297014e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2, 0.0, 0.9428571428571428]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20185996735060358, -0.00026276662290933793, 0.954493583744346]","[-3.1409197736933994, 0.007818387167801331, -0.010629626518296818]",True,"[-0.001859967350603564, -0.00026276662290933793, 0.01163644088720317]","[0.0006451645358055755, -0.006768440062964577, -0.004978376694912679]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.2, 0.0, 0.9714285714285715]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20239386536544235, -0.0006250346375722074, 0.9813571757342201]","[-3.1406165282408445, -0.00016834803241925602, -0.0017168359180757963]",True,"[-0.002393865365442338, -0.0006250346375722074, 0.00992860430564857]","[0.0009756516269548865, -0.0010933111978432284, 0.0001072069771147004]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.2, 0.0, 1.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20636184001546518, -0.0006507885996518253, 1.0156120921890406]","[-3.1397826533365487, -0.0001577543463091458, -0.06852532181012648]",True,"[-0.006361840015465164, -0.0006507885996518253, 0.015612092189040583]","[0.0010623917966389824, -0.04364279052631386, 0.00010047147111052873]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
