imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 1.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20276471433035695, -0.0011228076569885794, 1.8186994185663914]","[-3.1406117791683825, -8.804182171964498e-05, -0.0026089555770129804]",True,"[-0.0027647143303569377, -0.0011228076569885794, 0.018699418566391346]","[0.0009797896501579184, -0.0016614309255186474, 5.606665235423057e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 1.8285714285714285]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2115651802325227, -0.00995876492075993, 1.8616861591513039]","[-2.994440782082606, -0.012152438673725147, -0.15926310184733]",True,"[-0.011565180232522676, -0.00995876492075993, 0.03311473057987535]","[0.14296249765399197, -0.10609084371078893, 0.00809517369111028]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 1.8571428571428572]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.19722838000209364, -0.0011502681065276373, 1.8828901291981672]","[-3.136462117037471, -0.00012018734119115952, 0.16476554184515177]",True,"[0.0027716199979063716, -0.0011502681065276373, 0.025747272055310022]","[0.0008061302169360043, 0.1049680898801202, 7.656841042929795e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 1.8857142857142857]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.21143272790467105, -0.01051623455562977, 1.9273443846697542]","[-2.986353273681925, -0.012379312722457106, -0.15487244401037625]",True,"[-0.011432727904671036, -0.01051623455562977, 0.04163009895546854]","[0.15126860882079365, -0.10342911384819989, 0.008267328336651694]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 1.9142857142857144]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20485530250653947, -0.0012021835692003437, 1.9511666563796932]","[-3.14060995888488, -8.276560075115675e-05, -0.0027368245653715045]",True,"[-0.004855302506539455, -0.0012021835692003437, 0.03688094209397885]","[0.0009815012621538144, -0.001742861220007868, 5.270668705805945e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 1.9428571428571428]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.19511498585564943, -0.001190585591698653, 1.9515048661721923]","[-3.135985165082885, -0.00011893174332664105, 0.17377742682645778]",True,"[0.00488501414435058, -0.001190585591698653, 0.008647723315049483]","[0.0007967340654254174, 0.11071472733433153, 7.57721861479412e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 1.9714285714285715]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20700383209079942, -0.0012466393250594645, 2.025192371379629]","[-3.1406085209892614, -8.054971792543072e-05, -0.0028001949456418797]",True,"[-0.007003832090799411, -0.0012466393250594645, 0.0537637999510574]","[0.0009828833585908555, -0.001783217461752356, 5.1295594175472505e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20308273224746398, -0.001246320086855586, 2.02519269565409]","[-3.1406102296132237, -7.8856663628612e-05, -0.0028305168542199595]",True,"[-0.0030827322474639707, -0.001246320086855586, 0.02519269565408999]","[0.0009811475992329186, -0.0018025260399925698, 5.021739736528791e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0285714285714285]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2111983233838322, 0.009095936359845704, 2.0745436338269267]","[2.9720285356460137, -0.012635277355868902, 0.14594311426766557]",True,"[-0.011198323383832198, 0.009095936359845704, 0.04597220525549828]","[-0.16602312368556502, -0.09790629553659425, -0.008476406750658307]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.057142857142857]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20524661195252009, -0.0012944100919437202, 2.1052613272049716]","[-3.1406087059789796, -7.664041487474442e-05, -0.0029002958457564907]",True,"[-0.005246611952520075, -0.0012944100919437202, 0.04811847006211467]","[0.0009826076301183884, -0.001846963476746797, 4.880607174039996e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
