imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.22960019633722667, -0.04919992576443322, 1.1249620083668777]","[-2.9377934297036994, 0.8824459763712748, 0.00038231760599081777]",0.0,apriltag,"[-0.22811123169081526, -0.046781749564796964, 1.1596465518344337]","[-2.9187688020343345, 0.9030596259400857, -0.0038252770895689427]",True,"[0.001488964646411406, 0.002418176199636253, 0.034684543467556006]","[0.011054434173688378, -0.005552686679172796, -0.016583050830001254]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.22605287773269384, -0.03268749012160532, 1.1306130627100512]","[-2.8512542760922215, 0.5634576273559597, -0.009794036408956586]",0.0666666666666667,apriltag,"[-0.22536633276304813, -0.03324655759417327, 1.1708496507970123]","[-2.84243644477301, 0.5770947930109819, -0.020735169093683857]",True,"[0.0006865449696457082, -0.0005590674725679465, 0.04023658808696107]","[0.004629569038955051, -0.007275466860166557, -0.011117236159573572]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.22587337082122644, -0.01643468176824897, 1.1388722708654888]","[-2.7357544260617814, 0.2520436374386949, -0.01942048396883152]",0.133333333333333,apriltag,"[-0.22466355774137106, -0.02054030587996214, 1.1806841889415107]","[-2.7139166826270835, 0.26550194461581605, -0.0038921596839577]",True,"[0.0012098130798553763, -0.004105624111713169, 0.041811918076021914]","[0.021711635213787207, 0.011047218755119432, -0.008535336344014195]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.22912363163020089, -0.0017984529487310441, 1.1492382446031337]","[-2.594603181273896, -0.042088190218730025, -0.028189440736091892]",0.2,apriltag,"[-0.22640378048001172, -0.007740646807908941, 1.1871960592266557]","[-2.569594334810171, -0.026280488808952653, -0.013866400241878869]",True,"[0.002719851150189162, -0.0059421938591778965, 0.03795781462352199]","[0.025219324368810806, 0.013614558042724172, -0.007966175111309712]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.23529697201977223, 0.01006555544969312, 1.1609272661270462]","[-2.433981808153061, -0.3111477828249748, -0.03589043190748074]",0.266666666666667,apriltag,"[-0.23140547517352253, 0.002911454588748136, 1.195240665952198]","[-2.4114430052364146, -0.2864111798558425, -0.02345066421283578]",True,"[0.0038914968462497035, -0.007154100860944984, 0.03431339982515169]","[0.02372638437251861, 0.017556769971932493, -0.012238646412013006]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2434331651133969, 0.01846771457351426, 1.1730264340341299]","[-2.262097068379848, -0.5495708595460137, -0.042412134068983864]",0.333333333333333,apriltag,"[-0.23781358260100605, 0.010365777839726593, 1.2049475039304098]","[-2.241502016384763, -0.5214700434338687, -0.031035772854088563]",True,"[0.005619582512390864, -0.008101936733787667, 0.03192106989627996]","[0.022689366739103337, 0.020927959588270966, -0.012449755323023424]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2523451260157939, 0.02331344754466047, 1.1846722820513835]","[-2.088297083987258, -0.7540622431606808, -0.047734743235475385]",0.4,apriltag,"[-0.24467197657960352, 0.014713231124413573, 1.2131503029838346]","[-2.069520496637021, -0.7249624076202755, -0.03380278331615851]",True,"[0.00767314943619038, -0.008600216420246897, 0.02847802093245111]","[0.020440400229848214, 0.02573348963850554, -0.009852563826207028]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2608727050546273, 0.02506479338829265, 1.1951952600321203]","[-1.9222375011852995, -0.9233956550836637, -0.051914322436093945]",0.466666666666667,apriltag,"[-0.25463006931251986, 0.017817792506157552, 1.2308060926501312]","[-1.9124459666089848, -0.8844648009212895, -0.033037361740749255]",True,"[0.0062426357421074274, -0.007247000882135098, 0.0356108326180109]","[0.012684022392941854, 0.03435777394972958, -0.014377239257794374]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.26807797196580413, 0.024569308100652998, 1.2041893489131121]","[-1.773153248189874, -1.0580116522328307, -0.055061163241949554]",0.533333333333333,apriltag,"[-0.2599193894632495, 0.01591425025862681, 1.2381757192267098]","[-1.7695077320663304, -1.0192866503476747, -0.035406911836099876]",True,"[0.008158582502554634, -0.008655057842026189, 0.033986370313597636]","[0.0064549410661689476, 0.03538763643587322, -0.0137360509394164]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.27333330093423364, 0.02283146578776518, 1.2114994927472713]","[-1.6492655717331743, -1.1594710907899997, -0.05731448323897103]",0.6,apriltag,"[-0.26089797638795237, 0.01352377785066396, 1.2361621856663156]","[-1.6440874577127462, -1.13128980999797, -0.04705298382097047]",True,"[0.012435324546281268, -0.009307687937101222, 0.024662692919044327]","[0.00797651132853705, 0.025052278119884915, -0.009366306279480591]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
