imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2820388552157448, -0.14797644550079309, 1.2095654824979098]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]",apriltag,"[-0.279007256632122, -0.13129654108363203, 1.2168561459252438]","[2.1682586874876, -0.003385416800892336, 0.002135718879077895]",True,"[0.0030315985836227854, 0.01667990441716105, 0.0072906634273339765]","[0.0011842712138098246, 0.015360795080569301, 0.00033847916930563053]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.281665192679071, -0.13173290154345568, 1.1907711692761418]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]",apriltag,"[-0.2794609021559201, -0.11696584165305843, 1.202780525071501]","[2.4006688876647764, -0.009579050221541182, 0.0077829914233116925]",True,"[0.0022042905231508536, 0.014767059890397255, 0.012009355795359111]","[0.0009274247075203911, 0.009862572300080271, -0.0027826662270032144]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28136129167788726, -0.11159209538074105, 1.176229019340158]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]",apriltag,"[-0.2761793571710433, -0.09776481823709017, 1.1791324081098145]","[2.6288290420376437, -0.009994900578434086, 0.005047956832775995]",True,"[0.005181934506843955, 0.013827277143650882, 0.0029033887696563454]","[-0.003610280245197702, 0.012749000906052172, -0.004264739029417396]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2811435355938293, -0.08863982308613455, 1.166723003757103]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]",apriltag,"[-0.2772143100457244, -0.07846487680600757, 1.1775393286013671]","[2.8593339333603223, -0.011958060266182211, -0.00151264775547626]",True,"[0.003929225548104931, 0.010174946280126981, 0.010816324844264091]","[-0.005787479195494956, 0.018095253415038263, -0.006448065150624983]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.28102366371375265, -0.06411344760001259, 1.1627655942875994]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]",apriltag,"[-0.2785781809560359, -0.05791335554921087, 1.1809513098893585]","[3.0946598385611335, -0.012948733552878594, 0.012950197415797981]",True,"[0.0024454827577167215, 0.006200092050801714, 0.018185715601759078]","[-0.0031514803293513087, 0.009648259716003735, -0.006258938233969526]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.28100813836173993, -0.03933519217324777, 1.1645701359004854]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]",apriltag,"[-0.27959998378962014, -0.03745235998456149, 1.1871915192460838]","[-2.9436908502649315, 0.009756198040826248, -0.027450802724364]",True,"[0.0014081545721197908, 0.0018828321886862759, 0.022621383345598378]","[0.008775887229814877, 0.00033059614395605715, -0.006287108733761614]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.28109779651353684, -0.015640858969509286, 1.172039345290322]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]",apriltag,"[-0.27930958948579127, -0.018678052513239046, 1.1958154837361978]","[-2.702294755536242, 0.0077544320232054, -0.010591757628001257]",True,"[0.0017882070277455697, -0.0030371935437297597, 0.023776138445875894]","[0.017569041090036066, 0.01186637657174588, -0.0049677635324061825]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.28128780467497266, 0.005692184375139797, 1.1847705554455707]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]",apriltag,"[-0.24825682353018488, -0.0005105285390257949, 1.2020755588317389]","[-2.4416068275746374, 0.15298584560592757, 0.38563179351383425]",True,"[0.03303098114478778, -0.006202712914165592, 0.01730500338616814]","[0.019652055209007407, 0.3357928289013655, -0.013929938354109059]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2815679194568828, 0.023513867972136948, 1.202077423531411]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]",apriltag,"[-0.27684577412501493, 0.014463019501985116, 1.210111619138587]","[-2.235232750183322, 0.003460672018902501, -0.01463340116422082]",True,"[0.0047221453318678774, -0.009050848470151833, 0.008034195607176109]","[0.01920514216030926, 0.008735809726024803, -0.005440998787302236]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.28192303979886946, 0.036863420245797085, 1.2230269318096192]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]",apriltag,"[-0.27660573272582734, 0.025679127354979746, 1.2299875764509833]","[-2.0147774021731886, 0.005956940904322238, -0.016834072908161524]",True,"[0.005317307073042121, -0.011184292890817338, 0.006960644641364144]","[0.006977734097219286, 0.008870943528960864, -0.009725168495767378]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
