imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.003310691528130176, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.28138917002269964, -0.05016290755174063, 1.1814151722377817]","[0.024490123389854346, 3.136639599645322, 0.11531018834961781]",True,"[-0.0012678493444455152, 0.0005256344743522212, 0.037571334676302914]","[0.002613381449306173, 0.019037848361478284, -0.017034582932575565]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.0691166255636158, -2.9471050274895143, -0.11604416471643803]",apriltag,"[-0.28235956449698424, -0.04929767458457316, 1.1799838991930869]","[-1.0865068871464865, -2.912073561773196, -0.10564327329123854]",True,"[-0.0022382438187301124, 0.0013908674415196928, 0.0361400616316081]","[0.003790351262468757, 0.02828163959389886, -0.01716165615067773]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9967594275480554, -2.3847823261347636, -0.10583885760270367]",apriltag,"[-0.28056482248841785, -0.04790429283264168, 1.180591079245802]","[-1.9843183080572118, -2.3456097775425993, -0.10094095764108298]",True,"[-0.0004435018101637267, 0.0027842491934511743, 0.036747241684323306]","[0.02277154365144719, 0.031077709400384672, -0.008812178417893883]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.673973211651046, -1.5476065425991443, -0.08322122513551965]",apriltag,"[-0.2803751621385501, -0.04818585141191157, 1.1844120945621865]","[-2.6534494561562156, -1.5160590710967388, -0.07692124699505495]",True,"[-0.0002538414602960004, 0.002502690614181284, 0.040568257000707764]","[0.02748218030290895, 0.0203057563406431, -0.010123928172736904]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0276000065986053, -0.5371623481705091, -0.05103084541226613]",apriltag,"[-0.2799240974346213, -0.04723849356468612, 1.185387190032489]","[-3.017360979768775, -0.5165108580595659, -0.052112368043710874]",True,"[0.00019722324363280475, 0.0034500484614067364, 0.041543352471010264]","[0.013680276863787482, 0.001967596573624527, -0.011898940619231014]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0218815660513467, 0.5295319716958208, -0.013050441458740347]",apriltag,"[-0.27782653670250035, -0.04857225747865256, 1.181309591245863]","[-3.0143242491525704, 0.5421929884072583, 0.00012702393235897546]",True,"[0.002294783975753778, 0.0021162845474402905, 0.03746575368438432]","[0.006751867935104314, 0.007861493071538004, -0.008644159665922023]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.6597834448111115, 1.5318640124554077, 0.026401036483152954]",apriltag,"[-0.2778045669422351, -0.049382771677367626, 1.1783155066047548]","[-2.6416272270325956, 1.550896354631607, 0.03925710890357818]",True,"[0.0023167537360190282, 0.001305770348725227, 0.03447166904327603]","[0.009571626844236283, 0.00489279545777337, -0.016407002832728893]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9816964689878476, 2.3566084190492136, 0.06287247917516989]",apriltag,"[-0.2785654832225237, -0.049928543925234596, 1.1825372235027491]","[-1.973137296237027, 2.385978132423495, 0.08367612515748636]",True,"[0.0015558374557304022, 0.0007599981008582571, 0.038693385941270364]","[-0.0010195438324019283, 0.022508407318525145, -0.015654213209373102]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.061997242592377, 2.908203231938114, 0.09218221367391113]",apriltag,"[-0.2799265834036131, -0.051477896811651505, 1.1780291571908525]","[-1.040482600517933, 2.9222069315216417, 0.10934595173212773]",True,"[0.00019473727464103252, -0.0007893547855586519, 0.03418531962937377]","[0.008244381098983287, 0.010353240369920262, -0.01567080273979895]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.0033106915281305577, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.2812651636080086, -0.05030744452481573, 1.1804905004527586]","[0.023917281931466625, 3.132604171462816, 0.12306035577769447]",True,"[-0.0011438429297544461, 0.0003810975012771209, 0.036646662891279824]","[0.007648810384996448, 0.015288851620660276, -0.016767348538429785]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
