imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2806682067123864, -0.1000874700283782, 1.1393707851882897]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.27999345327302055, -0.09650021653959473, 1.1609092918003696]","[-3.051869394411293, 0.009919711640192334, -0.04245850611907677]",True,"[0.0006747534393658494, 0.0035872534887834706, 0.0215385066120799]","[0.016766375388946143, -0.009364822987964837, -0.005395781043338906]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2808967758651647, -0.10099511652592136, 1.151835693289752]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2799977893306561, -0.09697631726722941, 1.17267718559172]","[-3.0637158879592516, 0.010251823708641448, -0.044368244607192006]",True,"[0.0008989865345085946, 0.004018799258691946, 0.020841492301967968]","[0.004895013018521808, -0.010489676351435379, -0.005738202153581496]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28112534501794295, -0.1019027630234644, 1.164300601391214]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.28013787935818024, -0.0973619640663144, 1.1851498584972158]","[-3.0780165118850915, 0.014579251818933013, -0.04356460414520227]",True,"[0.0009874656597627096, 0.004540798957150011, 0.020849257106001717]","[-0.009383646943137626, -0.009726245355179462, -0.008623570106393691]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.28135391417072125, -0.10281040952100756, 1.176765509492676]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.27951946116687254, -0.09874881639313834, 1.1970153001984882]","[-3.0678519603827805, 0.009730245099601534, -0.024054902225627516]",True,"[0.0018344530038487128, 0.0040615931278692174, 0.02024979070581212]","[0.0009876961022253063, 0.0027616582356775154, -0.004943923327211307]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.28158248332349956, -0.10371805601855072, 1.1892304175941382]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2802763053013953, -0.09982691337371218, 1.2100160909820237]","[-3.0650893797854124, 0.01191105297046946, -0.044123945476154315]",True,"[0.001306178022104254, 0.003891142644838544, 0.020785673387885506]","[0.0035292598728133085, -0.010277736014003046, -0.006822665873927612]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.25435682222855116, -0.10013882098231647, 1.1398495181478778]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.25341638882864365, -0.09644758738340636, 1.161831618269694]","[-3.0602585022619775, 0.006840967048691756, -0.045333292239462766]",True,"[0.0009404333999075143, 0.003691233598910104, 0.021982100121816117]","[0.008326715754357523, -0.011234176992808747, -0.0035124038451756403]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.25458539138132946, -0.10104646747985963, 1.1523144262493399]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.25327953811446025, -0.09715186245063528, 1.173932178616831]","[-3.0667667907599943, 0.0075622056238081, -0.033461993231113256]",True,"[0.0013058532668692169, 0.0038946050292243406, 0.021617752367491194]","[0.001975804099601017, -0.0034218199910106325, -0.0037478890638690562]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.25481396053410776, -0.10195411397740267, 1.1647793343508022]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2549829556794889, -0.0983934102831018, 1.1843877275234211]","[-3.0424763123246086, 0.023738565010751184, -0.06210127364345517]",True,"[-0.00016899514538115668, 0.003560703694300865, 0.019608393172618976]","[0.025829408516495563, -0.02200845524651876, -0.01486863002703057]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.255042529686886, -0.10286176047494583, 1.1772442424522642]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.25397992342282283, -0.09927939504376854, 1.1983697495306675]","[-3.0607799927215313, 0.00755076781166351, -0.04670242716045377]",True,"[0.0010626062640631817, 0.0035823654311772923, 0.021125507078403327]","[0.007787234608936857, -0.01210520770605831, -0.004011966604000537]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2552710988396643, -0.10376940697248899, 1.1897091505537263]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2535465264204053, -0.0999318081500653, 1.2105994090695835]","[-3.06630484940263, 0.00966800215353209, -0.029655681325509557]",True,"[0.0017245724192589962, 0.0038375988224236823, 0.02089025851585724]","[0.002484295337608845, -0.0008964769727825348, -0.005025602322918352]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.22804543774471603, -0.10019017193625473, 1.140328251107466]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22638179382767326, -0.09644611873059114, 1.161477924498677]","[-3.0627375075356973, 0.005171280780398724, -0.031491954791631964]",True,"[0.0016636439170427675, 0.0037440532056635945, 0.0211496733912111]","[0.006016553628714116, -0.00222482520264727, -0.002112506272093936]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.22827400689749433, -0.10109781843379789, 1.1527931592089282]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2272847937447085, -0.09812165699834977, 1.173939915733904]","[-3.0456073391844263, 0.005268225039827047, -0.04694154923148196]",True,"[0.0009892131527858283, 0.002976161435448127, 0.021146756524975885]","[0.022945074059280163, -0.012473139471995158, -0.002411871398942084]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.2285025760502726, -0.10200546493134094, 1.1652580673103903]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22630032693503946, -0.0979444625771343, 1.1844615337702893]","[-3.067337426588855, 0.009037638800410603, -0.024418090094679365]",True,"[0.002202249115233146, 0.004061002354206644, 0.01920346645989901]","[0.0014971949631103116, 0.002505840438275669, -0.004497981230146352]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.22873114520305088, -0.1029131114288841, 1.1777229754118523]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22733877547845033, -0.10010553673790087, 1.198165087567479]","[-3.045061248634878, 0.004260342081446022, -0.0428440535500803]",True,"[0.0013923697246005506, 0.002807574690983222, 0.020442112155626635]","[0.023547221730484545, -0.009817061257632917, -0.0016487919938245517]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.22895971435582918, -0.10382075792642725, 1.1901878835133144]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2278883095908345, -0.10072712894233768, 1.2074030424835422]","[-3.0335787607158693, 0.023068516922909222, -0.04268130522608194]",True,"[0.0010714047649946767, 0.0030936289840895748, 0.01721515897022785]","[0.03506109772390527, -0.00937057469510158, -0.01392723277434233]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.20173405326088084, -0.10024152289019289, 1.140806984067054]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.20148043497351234, -0.09665410238284596, 1.1591238570933062]","[-3.0404273912227873, 0.022514006027427022, -0.06599866695823159]",True,"[0.0002536182873685011, 0.003587420507346936, 0.01831687302625218]","[0.027798002115556872, -0.024622787517771652, -0.014150326948711248]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.20196262241365914, -0.10114916938773605, 1.153271892168516]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.20343806827404165, -0.09499682030232523, 1.1738691248766622]","[-3.1028870470745438, 0.03398284292794721, -0.1127728342555447]",True,"[-0.0014754458603825071, 0.006152349085410819, 0.020597232708146063]","[-0.03602093024603608, -0.05357698878256573, -0.022892000486676358]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.20219119156643742, -0.1020568158852791, 1.1657368002699782]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.20193792562792492, -0.10000393917381527, 1.1836083530522463]","[-3.0087598446836283, 0.018977360633371798, -0.06878379463530691]",True,"[0.00025326593851249246, 0.0020528767114638274, 0.017871552782268152]","[0.059398806664183824, -0.02700400398399578, -0.011744928146402878]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.2024197607192157, -0.10296446238282225, 1.1782017083714402]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.20064335959726912, -0.09877970290302483, 1.1947429711510285]","[-3.0575449417997755, 0.023413291852763456, -0.025438027135604075]",True,"[0.0017764011219465747, 0.00418475947979742, 0.01654126277958823]","[0.01129187120464671, 0.002124138272708329, -0.013841353845871427]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.202648329871994, -0.10387210888036541, 1.1906666164729025]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2017836837665539, -0.0999743099586753, 1.2083804279076122]","[-3.0556858119724972, 0.025943633313796042, -0.05508089300604881]",True,"[0.0008646461054400978, 0.003897798921690107, 0.017713811434709736]","[0.01275252286447139, -0.017194027672341506, -0.016193089640383077]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.17542266877704568, -0.10029287384413116, 1.141285717026642]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.17392526066961633, -0.09463259691118722, 1.158091813367507]","[-3.084489826433383, 0.026585188349150305, -0.03900401922858069]",True,"[0.0014974081074293488, 0.005660276932943936, 0.016806096340865162]","[-0.015801984917577984, -0.006428159546302188, -0.016329710206800584]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
21.png,"[-0.17565123792982398, -0.10120052034167432, 1.1537506251281042]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.17731796983507941, -0.10018997656269504, 1.172637739297419]","[-2.9851191763856106, 0.01907982955938205, -0.1298925857616397]",True,"[-0.0016667319052554308, 0.0010105437789792726, 0.018887114169314767]","[0.08103758676145387, -0.06811392054332356, -0.013196354223200035]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
22.png,"[-0.17587980708260226, -0.10210816683921736, 1.1662155332295663]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.17679010621188143, -0.09916090251344233, 1.1855912847701777]","[-3.0323600051122237, 0.023085094080736775, -0.10433269258789842]",True,"[-0.000910299129279174, 0.002947264325775037, 0.01937575154061144]","[0.034798881568310146, -0.049934226173194915, -0.015416089369734159]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
23.png,"[-0.17610837623538053, -0.10301581333676052, 1.1786804413310283]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.17473940647906572, -0.09926492831519207, 1.1955329878417063]","[-3.0508994484906036, 0.025278068610263136, -0.04578874503332447]",True,"[0.001368969756314814, 0.003750885021568451, 0.016852546510677913]","[0.017693274030786084, -0.011187308226972387, -0.015519057446107454]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
24.png,"[-0.17633694538815883, -0.10392345983430368, 1.1911453494324906]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.17638136401088267, -0.09945217156231799, 1.2097251960920088]","[-3.0708562074720724, 0.02742293618887009, -0.0867634015040179]",True,"[-4.441862272383523e-05, 0.004471288271985688, 0.018579846659518173]","[-0.0031467576676185586, -0.03757581063653747, -0.017960729875698887]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
25.png,"[-0.14911128429321052, -0.10034422479806943, 1.1417644499862303]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.14939707478618403, -0.09840465865749223, 1.1597250698963828]","[-3.002290446463104, 0.02165038312051678, -0.09992312812228518]",True,"[-0.00028579049297350334, 0.0019395661405771925, 0.01796061991015252]","[0.06500277175657654, -0.04770369818756167, -0.01424607299515913]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
26.png,"[-0.1493398534459888, -0.10125187129561258, 1.1542293580876923]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.14775938635966743, -0.09519619645410092, 1.1712444747006883]","[-3.099075556635607, 0.02643160146188712, -0.04296830873985342]",True,"[0.0015804670863213688, 0.006055674841511663, 0.01701511661299593]","[-0.03043880933142723, -0.00886341995866793, -0.01637505303066456]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
27.png,"[-0.14956842259876707, -0.10215951779315563, 1.1666942661891544]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.15072942829188526, -0.09867717631744417, 1.1851769258319815]","[-3.0433306248222567, 0.027327975483776357, -0.12710482750276508]",True,"[-0.0011610056931181945, 0.0034823414757114562, 0.018482659642827137]","[0.022972115926840914, -0.06451004738486137, -0.018785393633825462]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
28.png,"[-0.14979699175154537, -0.10306716429069879, 1.1791591742906165]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.1485037032679153, -0.09896932025124405, 1.1958016202695756]","[-3.0597362586790418, 0.022610819775414202, -0.051222776547926625]",True,"[0.001293288483630084, 0.004097844039454734, 0.01664244597895914]","[0.008775694104711483, -0.014707877345579745, -0.013940362981221586]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
29.png,"[-0.15002556090432365, -0.10397481078824194, 1.1916240823920785]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.14942474833310085, -0.100360679267257, 1.2092024895658322]","[-3.0524221089691554, 0.024944942105441778, -0.06907678558608005]",True,"[0.0006008125712227974, 0.0036141315209849423, 0.017578407173753696]","[0.01573438022596622, -0.026407977665114973, -0.0158627695845694]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
30.png,"[-0.12279989980937533, -0.10039557575200769, 1.1422431829458182]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.12228773397508015, -0.09676471640887906, 1.1588974512369241]","[-3.0382794169735106, 0.022425659196085287, -0.10192255960901776]",True,"[0.0005121658342951835, 0.003630859343128637, 0.016654268291105945]","[0.028963845538763234, -0.048238899114709445, -0.014946837539920472]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
31.png,"[-0.12302846896215364, -0.10130322224955085, 1.1547080910472804]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.12233017674987916, -0.09741286773586973, 1.172368974039547]","[-3.0498819631923224, 0.024157486759162208, -0.08057902868462612]",True,"[0.0006982922122744789, 0.003890354513681124, 0.017660882992266647]","[0.017995467739051085, -0.03398955272543025, -0.01561345727727407]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
32.png,"[-0.12325703811493191, -0.1022108687470939, 1.1671729991487425]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.12210727970559063, -0.09833299189657631, 1.1846080442655054]","[-3.05348552700895, 0.023120958846005464, -0.06793676275021496]",True,"[0.0011497584093412838, 0.0038778768505175892, 0.01743504511676286]","[0.014699738253329054, -0.02569068203276447, -0.014646830502084401]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
33.png,"[-0.12348560726771018, -0.10311851524463705, 1.1796379072502046]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.12243988346922839, -0.09786809393092993, 1.1960465983726591]","[-3.086227768941302, 0.02702448640543122, -0.06969461046086838]",True,"[0.001045723798481793, 0.005250421313707121, 0.016408691122454577]","[-0.018081862843386885, -0.02626443115045801, -0.017344971709198378]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
34.png,"[-0.12371417642048849, -0.10402616174218021, 1.1921028153516666]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.12185999834578329, -0.10079542619780105, 1.2081933307537502]","[-3.043238180341278, 0.023895420434027214, -0.041052972636517956]",True,"[0.0018541780747051984, 0.003230735544379165, 0.016090515402083616]","[0.02542405544304596, -0.008191386207380198, -0.01447066278446618]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
35.png,"[-0.09648851532554018, -0.10044692670594585, 1.1427219159054063]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.09435862694096585, -0.0942045991464922, 1.1581043282902481]","[-3.0934587013784673, 0.025373247388035133, -0.07746338641158691]",True,"[0.002129888384574327, 0.006242327559453656, 0.015382412384841837]","[-0.025491047530135803, -0.03121261541032302, -0.016485070833800138]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
