imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28094017988658493, 0.04806405199485392, 1.1702099251372617]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.27908583336436, 0.05246972645085478, 1.1929049771686508]","[-3.0672619005920794, 0.010802116761714905, -0.05500361837527035]",True,"[0.0018543465222249367, 0.00440567445600086, 0.022695052031389107]","[0.0011782517737265405, -0.017365443492109355, -0.006373361620186001]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28098704862170826, -0.0267378262147967, 1.1647622816439454]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.27885204593236995, -0.023192435680931614, 1.186632010680285]","[-3.05551780541361, 0.0011841294340886482, -0.049541063454538535]",True,"[0.0021350026893383056, 0.0035453905338650865, 0.021869729036339658]","[0.012974756795073384, -0.01416543636295861, 0.00011847130558465019]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.28101048298926995, -0.06413876531962198, 1.1620384598972873]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2796099540241779, -0.059856772303289466, 1.1839784637790278]","[-3.06820033367173, 0.01366865120244219, -0.053007713824049764]",True,"[0.0014005289650920738, 0.0042819930163325165, 0.021940003881740555]","[0.0002809930912094959, -0.01598748839328358, -0.008197803493071282]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.28103391735683164, -0.10153970442444721, 1.1593146381506292]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.278333268645942, -0.09682361669448263, 1.1783908114259518]","[-3.0751405507288108, 0.01178263896917065, -0.023598273545414408]",True,"[0.0027006487108896526, 0.004716087729964583, 0.019076173275322628]","[-0.00629165157424794, 0.0031483671616635454, -0.00631711385629177]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.25462879540274974, 0.048012701040915706, 1.1706886580968496]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2524711052950983, 0.0524357260077447, 1.1931165468478304]","[-3.077763024810117, 0.012353585340119244, -0.048038110157780776]",True,"[0.002157690107651433, 0.004423024966828996, 0.022427888750980784]","[-0.009200755625528925, -0.012684143361387467, -0.007283646749836461]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.25465222977031143, 0.010611761936090425, 1.1679648363501915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2542919356666969, 0.01631873515596567, 1.189024750715515]","[-3.085362214554897, 0.027834132798168768, -0.08159447384063938]",True,"[0.0003602941036145446, 0.005706973219875244, 0.021059914365323396]","[-0.01750888426153028, -0.03395896928070786, -0.018147842492830052]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2546756641378731, -0.026789177168734912, 1.1652410146035335]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.25263019427983774, -0.022659983866751957, 1.1876179140003988]","[-3.068471319758413, 0.009481493717173576, -0.043404149368638185]",True,"[0.002045469858035387, 0.004129193301982956, 0.02237689939686538]","[0.00015189499796644434, -0.009833912547800847, -0.005245854373252281]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.25469909850543476, -0.06419011627356025, 1.1625171928568754]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2530962426372248, -0.06112097848206207, 1.1837691062793207]","[-3.045536635846327, 0.004732641327340096, -0.057891411591236425]",True,"[0.0016028558682099625, 0.003069137791498179, 0.021251913422445368]","[0.02282507770598791, -0.0196624147464422, -0.0023228104626572712]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.25472253287299645, -0.10159105537838548, 1.1597933711102173]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.25694923822126287, -0.09862316552906455, 1.1818466402016712]","[-3.0283224333742713, 0.023828844630757802, -0.13379591864333484]",True,"[-0.002226705348266411, 0.0029678898493209205, 0.022053269091453886]","[0.03769463928236382, -0.06939223918244634, -0.016602751140425635]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.22831741091891464, 0.047961350086977494, 1.1711673910564377]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22639000415982458, 0.05234693753239967, 1.1891064151813358]","[-3.0589545010581043, 0.021785497444476866, -0.06298878083589503]",True,"[0.0019274067590900612, 0.004385587445422175, 0.017939024124898006]","[0.009339018065644767, -0.022414622154080327, -0.013678811508142336]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.2283408452864763, 0.010560410982152213, 1.1684435693097797]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22570056947668635, 0.013899522636315113, 1.1894181402373247]","[-3.0498815245687028, 0.005805166914169783, -0.05059355535093277]",True,"[0.002640275809789955, 0.0033391116541628997, 0.020974570927545066]","[0.018615284019695512, -0.014805987919866698, -0.0028835966642587205]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.22836427965403797, -0.026840528122673124, 1.1657197475631216]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2261639600819041, -0.023313769722844865, 1.1817799688681592]","[-3.039764078567401, 0.020021578887088498, -0.05398688392596073]",True,"[0.002200319572133874, 0.0035267583998282587, 0.016060221305037592]","[0.028699237770672268, -0.016806946071065733, -0.012223057635306062]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.22838771402159963, -0.06424146722749852, 1.1629959258164635]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22577206086354212, -0.060067180749478005, 1.1833605032690757]","[-3.071989530068149, 0.0068403665596072855, -0.04011484359150726]",True,"[0.002615653158057507, 0.004174286478020511, 0.02036457745261222]","[-0.0033296696031447958, -0.007724261617412041, -0.003474809850672768]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.2284111483891613, -0.10164240633232374, 1.1602721040698052]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22788228575146283, -0.09655170438348344, 1.1796382459157457]","[-3.0774679201214137, 0.02823559050675031, -0.07367133800710769]",True,"[0.0005288626376984684, 0.005090701948840301, 0.019366141845940543]","[-0.009419716859971668, -0.028944262452969584, -0.01819728565907563]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
