imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2820388552157448, -0.14797644550079309, 1.2095654824979098]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]",aruco,"[-0.2805820336088435, -0.13434251680851994, 1.2393249134523239]","[2.16714188843589, -0.01948441376521448, 0.01969047989295141]",True,"[0.001456821606901304, 0.013633928692273145, 0.029759430954414023]","[0.0002008789956635496, -0.0034349636969788497, -0.004568815308517222]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.281665192679071, -0.13173290154345568, 1.1907711692761418]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]",aruco,"[-0.2809767966678164, -0.11987260653553895, 1.2235617270870804]","[2.405057305575429, -0.020370921473983342, 0.029269894386490993]",True,"[0.0006883960112545884, 0.01186029500791673, 0.03279055781093865]","[0.005480768343771757, -0.008704353227913032, -0.004497555092087154]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28136129167788726, -0.11159209538074105, 1.176229019340158]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]",aruco,"[-0.28186823159646435, -0.10136661157628554, 1.2146606883509272]","[2.624969791601335, -0.028918865263617335, 0.027698984825472384]",True,"[-0.0005069399185770873, 0.01022548380445551, 0.03843166901076911]","[-0.007174715281829752, -0.006910146073614214, -0.013591955127615511]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2811435355938293, -0.08863982308613455, 1.166723003757103]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]",aruco,"[-0.28044555750707406, -0.08121253095020689, 1.202221812497866]","[2.8665240663575124, -0.018003411448618264, 0.017172036973750162]",True,"[0.0006979780867552576, 0.00742729213592766, 0.035498808740763055]","[0.0014854206871315716, 0.004722822631488343, -0.008724323538549537]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.28100813836173993, -0.03933519217324777, 1.1645701359004854]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]",aruco,"[-0.277101298892057, -0.03776250977010579, 1.1908560025109818]","[-2.96682787937721, 0.05083838279908256, 0.027063319635829607]",True,"[0.0039068394696829545, 0.001572682403141977, 0.026285866610496367]","[-0.014494176382486896, 0.03951872567208279, -0.030453155697682976]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.28109779651353684, -0.015640858969509286, 1.172039345290322]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]",aruco,"[-0.2803341670741748, -0.01960312057487208, 1.2074902705001767]","[-2.706793249390505, 0.02602311438401161, -0.025664413202081758]",True,"[0.0007636294393620346, -0.003962261605362793, 0.03545092520985471]","[0.013018610733446675, 0.0040033973301526445, -0.02016560668994969]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.28128780467497266, 0.005692184375139797, 1.1847705554455707]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]",aruco,"[-0.28212807477922736, -0.00046594613800175934, 1.2268128138599252]","[-2.5112278391846203, 0.016955528219202345, -0.028951999588317717]",True,"[-0.0008402701042546923, -0.0061581305131415565, 0.042042258414354494]","[-0.0241155831164087, 0.0015828819548105617, -0.017472179061392628]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2815679194568828, 0.023513867972136948, 1.202077423531411]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]",aruco,"[-0.28032778292710053, 0.014908669150950767, 1.2328917683303526]","[-2.232622494444584, 0.012630118534088696, -0.027506747982063866]",True,"[0.0012401365297822764, -0.008605198821186181, 0.03081434479894174]","[0.021809365831753323, 0.002536716073709454, -0.016534478370853044]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.2264925990832039, -0.1480848530702183, 1.2105761409681515]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]",aruco,"[-0.223723606247349, -0.13401463107627504, 1.2283770867865393]","[2.176500808406879, -0.030493567950017657, 0.021733557090018837]",True,"[0.002768992835854911, 0.014070221993943255, 0.01780094581838787]","[0.00970874213408456, -0.009069541862258761, -0.011609920428767156]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.22611893654653012, -0.1318413091128809, 1.1917818277463832]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]",aruco,"[-0.22468749326821041, -0.11891409482937648, 1.222840945542068]","[2.3921384402361756, -0.030881174760951983, 0.030380915083798667]",True,"[0.001431443278319705, 0.012927214283504407, 0.03105911779568471]","[-0.007283195069148233, -0.012538529472568853, -0.011940222467667646]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
