imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[0.002013126436268952, 3.1212773635927946, 0.11349837916541859]",aruco,"[-0.28192107605026306, -0.048884256722646124, 1.190465409112481]","[-0.051948994627338124, -3.139525037258256, -0.09714067629794172]",True,"[-0.0009184045168469934, 0.002787528895367375, 0.027519008632974407]","[-0.01052765253227775, 0.019538904823290536, -0.031194320218307568]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-1.073005819593132, -2.9421535995641084, -0.1167915951918939]",aruco,"[-0.28699058620613943, -0.04792513661068296, 1.2026048294815979]","[1.0891772498883514, 2.9036856344480944, 0.11709752803939387]",True,"[-0.00598791467272336, 0.0037466490073305367, 0.039658429002091156]","[-0.014654782288263559, -0.04269708172503119, -0.019982517427686912]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-1.9987348673259293, -2.378881824306817, -0.10478840460866541]",aruco,"[-0.2811475041784165, -0.04827068604040491, 1.1996267805099603]","[-2.0054408315093655, -2.3417294852923476, -0.10406240158746699]",True,"[-0.00014483264500042559, 0.0034010995776085906, 0.036680380030453597]","[0.015650239695255582, 0.019017122749745635, -0.017995075786132988]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-2.674175877525079, -1.54163733885096, -0.08053287589222263]",aruco,"[-0.27668605308558075, -0.04863539086605484, 1.1882226733870014]","[-2.638287146663023, -1.503110560962361, -0.04320989630570735]",True,"[0.004316618447835319, 0.00303639475195866, 0.02527627290749468]","[0.03246314494612074, 0.04635210421625669, -0.008189654711573813]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-3.026478724592773, -0.5316374107361862, -0.04703796653393182]",aruco,"[-0.27871624409919704, -0.04902742086455997, 1.1899702520693056]","[-3.016485641518742, -0.49963813156599457, -0.0653026952962129]",True,"[0.0022864274342190294, 0.002644364753453532, 0.02702385158979892]","[0.016948948291905297, -0.008611589888702427, -0.01963537122487491]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-3.0198884065577967, 0.534496324336233, -0.008216317761106175]",aruco,"[-0.2805489772411259, -0.05078737400719014, 1.195824761898919]","[-2.9952485685108536, 0.5679054232819869, -0.0391985349210352]",True,"[0.00045369429229019653, 0.0008844116108233588, 0.03287836141941236]","[0.014390485444479816, -0.022259051584908842, -0.025067130415911014]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-2.6571458855675734, 1.536389778344748, 0.031530547362882806]",aruco,"[-0.2815197435594491, -0.053561564345579404, 1.1945031205307775]","[-2.5939289907031773, 1.5338975968643875, 0.022605089956235655]",True,"[-0.0005170720260330164, -0.001889778727565905, 0.03155672005127075]","[0.04581084057954382, -0.03206027036697986, -0.02029149073133441]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-1.978355692568244, 2.3608030984867177, 0.06771839785330407]",aruco,"[-0.2822307398104558, -0.05286530436412409, 1.1941764639333208]","[-1.9355083412586702, 2.3604254677323553, 0.07272043477195204]",True,"[-0.001228068277039751, -0.0011935187461105876, 0.031230063453814072]","[0.020680888236019716, -0.017955554179550616, -0.02181101141870247]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-1.0577312534107117, 2.9119349952011704, 0.09618472670715462]",aruco,"[-0.2832469112932682, -0.052098357975567874, 1.197865772770184]","[-1.0088605599601561, 2.930595905748442, 0.11943974965453583]",True,"[-0.002244239759852107, -0.00042657235755437506, 0.03491937229067732]","[0.013662490970741039, 0.008295104051379057, -0.033319231549428036]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[0.00201312643626857, 3.1212773635927946, 0.11349837916541859]",aruco,"[-0.2817342047532595, -0.05176887249140713, 1.1920007784150375]","[0.025139270419281892, 3.115220377310362, 0.13227992712903314]",True,"[-0.0007315332198434277, -9.708687339363142e-05, 0.029054377935530784]","[0.012310769993634549, -0.004682361560828318, -0.014903019290865887]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[0.002013126436268952, 3.1212773635927946, 0.11349837916541859]",aruco,"[-0.22374907220240162, -0.05077366699278552, 1.189490407723921]","[-0.03362630086104049, -3.1039599700627805, -0.15272226330388838]",True,"[0.001707343198473571, 0.0010065261946531276, 0.025533348774172904]","[0.025848238678061516, 0.0526275648062985, -0.018215532270404525]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[-1.073005819593132, -2.9421535995641084, -0.1167915951918939]",aruco,"[-0.22635367973072187, -0.047669405667592354, 1.1936736309152949]","[1.1025836261413422, 2.930883609783598, 0.085024223579464]",True,"[-0.0008972643298466865, 0.004110787519846296, 0.02971657196554678]","[-0.024574824312703015, -0.008031596412120754, -0.020738268175217466]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[-1.9987348673259293, -2.378881824306817, -0.10478840460866541]",aruco,"[-0.2284241133120095, -0.05116594171962722, 1.1910254708071033]","[-2.0204026617892055, -2.355288242626469, -0.2908248643598208]",True,"[-0.002967697911134326, 0.0006142514678114316, 0.0270684118573552]","[0.08665918503222511, -0.08202673424339382, -0.02259883536545732]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[-2.674175877525079, -1.54163733885096, -0.08053287589222263]",aruco,"[-0.22207935452520444, -0.049525260894497554, 1.188968813614974]","[-2.6494104910115293, -1.496515218974798, -0.0869341202415701]",True,"[0.0033770608756707454, 0.002254932292941096, 0.025011754665225983]","[0.04047014075771325, 0.01816070343714685, -0.016519325303054683]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[-3.026478724592773, -0.5316374107361862, -0.04703796653393182]",aruco,"[-0.22220579980423272, -0.048050451518568446, 1.1946547480896301]","[-3.0589403161379987, -0.48576553163431674, -0.024428863576497817]",True,"[0.00325061559664247, 0.003729741668870204, 0.030697689139882023]","[-0.026083622168662703, 0.011607438468983483, -0.03263411547089286]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[-3.0198884065577967, 0.534496324336233, -0.008216317761106175]",aruco,"[-0.23763795551539238, -0.047635758558377136, 1.1953368645721827]","[-2.9638010188684207, 0.5843358270911081, -0.5331912188589732]",True,"[-0.012181540114517192, 0.004144434629061514, 0.03137980562243459]","[-0.05909775130409535, -0.3370121028749179, -0.05135708332967681]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[-2.6571458855675734, 1.536389778344748, 0.031530547362882806]",aruco,"[-0.2254019519061602, -0.055296804135465, 1.1976220986427937]","[-2.5661938862778113, 1.5352768291122727, 0.05207280427019029]",True,"[5.4463494714995786e-05, -0.0035166109480263483, 0.03366503969304557]","[0.07551580409046328, -0.025983292570036946, -0.02999840044073395]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[-1.978355692568244, 2.3608030984867177, 0.06771839785330407]",aruco,"[-0.22155539276931965, -0.05083643001587465, 1.187030572768176]","[-1.9790149598329418, 2.4254913321859957, 0.09053880803007]",True,"[0.003901022631555534, 0.0009437631715639994, 0.023073513818427926]","[-0.02177024463748106, 0.04880210293562875, -0.024658352282112266]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
18.png,"[-0.2254564154008752, -0.05178019318743865, 1.163957058949748]","[-1.0577312534107117, 2.9119349952011704, 0.09618472670715462]",aruco,"[-0.22629384427779942, -0.05453988478490815, 1.1924143048678992]","[-1.008850015544806, 2.8930622143481997, 0.19629241742900094]",True,"[-0.0008374288769242288, -0.002759691597469499, 0.02845724591815113]","[0.07216911636098139, -0.004264033511102798, -0.025233915458117435]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
