imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2806682067123864, -0.1000874700283782, 1.1393707851882897]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2788108985016601, -0.09624485529755401, 1.1661337697045098]","[-3.0799660870511882, 0.05016420876064307, -0.012454364364015109]",True,"[0.0018573082107263272, 0.003842614730824187, 0.026762984516220056]","[-0.011198588345117565, 0.011307746536807542, -0.03098049497634724]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2808967758651647, -0.10099511652592136, 1.151835693289752]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2825889123544515, -0.09920610688237282, 1.1867240767842295]","[-3.055292182512619, 0.04416344593607773, -0.06462618049406148]",True,"[-0.0016921364892867885, 0.001789009643548542, 0.03488838349447754]","[0.012864659153986198, -0.02300068303886091, -0.028324916733520365]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28112534501794295, -0.1019027630234644, 1.164300601391214]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.27846193212903864, -0.09983641744799096, 1.1924592788711652]","[-3.0483529847003927, 0.0486398571333398, 0.020888310698184247]",True,"[0.002663412888904315, 0.002066345575473444, 0.028158677479951155]","[0.020397975669759785, 0.03300900871777122, -0.029222358223994736]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28135391417072125, -0.10281040952100756, 1.176765509492676]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.27983607994846627, -0.10181653366623594, 1.2055465549186124]","[-3.0280561358767737, 0.033353167421784895, -0.010084928660632866]",True,"[0.0015178342222549879, 0.0009938758547716198, 0.02878104542593629]","[0.04084296359350785, 0.012303096327377154, -0.019900035683588606]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.28158248332349956, -0.10371805601855072, 1.1892304175941382]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2802840906358374, -0.10085373750369643, 1.219590876847702]","[-3.0760061371710306, 0.05278482258322161, -0.012695605658529488]",True,"[0.001298392687662131, 0.002864318514854289, 0.030360459253563787]","[-0.007267175556429007, 0.011200727057223072, -0.0326919955942813]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.25435682222855116, -0.10013882098231647, 1.1398495181478778]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25524650253749687, -0.09719540627940715, 1.1714292078232555]","[-3.0702174294273097, 0.043986461321929606, -0.08283774505163055]",True,"[-0.0008896803089457062, 0.0029434147029093194, 0.03157968967537772]","[-0.0024903934338561945, -0.034642214894350466, -0.028638018123625528]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.25458539138132946, -0.10104646747985963, 1.1523144262493399]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2515154669499129, -0.09879334682575007, 1.1793292183179802]","[-3.0553204327728714, 0.050469949356726294, 0.02488460551743141]",True,"[0.003069924431416571, 0.0022531206541095555, 0.027014792068640325]","[0.013385152290799727, 0.035639291446768334, -0.030320047226033413]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.25481396053410776, -0.10195411397740267, 1.1647793343508022]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25497562649879213, -0.1014021294078199, 1.1979255555924824]","[-3.025959943949797, 0.0402952464040183, -0.043910243155278146]",True,"[-0.00016166596468436545, 0.0005519845695827752, 0.03314622124168021]","[0.04258988983515896, -0.009839771270316487, -0.025284537015348888]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.255042529686886, -0.10286176047494583, 1.1772442424522642]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25327270556000375, -0.100219672510629, 1.2059362345641242]","[-3.0729568942837444, 0.0525008411085623, -0.012841028113535977]",True,"[0.0017698241268822579, 0.002642087964316836, 0.02869199211186002]","[-0.004215658102225241, 0.011090007887252075, -0.03251559682237047]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2552710988396643, -0.10376940697248899, 1.1897091505537263]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2689942479416557, -0.10354519056550707, 1.2246581827735799]","[-2.982072235518638, 0.0738370090578589, -0.4947985773705133]",True,"[-0.013723149101991405, 0.0002242164069819197, 0.03494903221985357]","[0.04657762432133612, -0.30810232581786823, -0.058491555595327725]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
