imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28094017988658493, 0.04806405199485392, 1.1702099251372617]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2784446679739321, 0.05123252615558199, 1.1974567691029876]","[-3.0565337367776775, 0.04608152985973306, -0.04030174179566636]",True,"[0.002495511912652848, 0.003168474160728074, 0.027246843965725853]","[0.012024747808411415, -0.007052247109195168, -0.028999157611259454]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28101048298926995, -0.06413876531962198, 1.1620384598972873]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.27964320150381905, -0.062163836866383375, 1.1955504744343914]","[-3.048829857761325, 0.023643834656390826, -0.044998090372900146]",True,"[0.0013672814854508997, 0.001974928453238607, 0.03351201453710417]","[0.01977741848098817, -0.010729379779300002, -0.014422450806533264]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.28103391735683164, -0.10153970442444721, 1.1593146381506292]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2774925459404157, -0.09960433399110032, 1.1852913133854024]","[-3.054151409452143, 0.040140485662780945, 0.029057042330746678]",True,"[0.003541371416415917, 0.0019353704333468918, 0.025976675234773206]","[0.01460774874570661, 0.038127430706988354, -0.0234688697695351]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.25462879540274974, 0.048012701040915706, 1.1706886580968496]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25018426684706263, 0.05208172587074085, 1.1999214780603225]","[-3.0730839972058246, 0.05238350622842439, 0.02604677458854104]",True,"[0.004444528555687111, 0.004069024829825144, 0.029232819963472823]","[-0.004406980267156502, 0.03636209255920045, -0.031521557560986437]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.25465222977031143, 0.010611761936090425, 1.1679648363501915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2531832864853101, 0.013456657898599164, 1.1993964033068139]","[-3.060555528783427, 0.04895527338821964, -0.05111073892475814]",True,"[0.0014689432850013562, 0.0028448959625087394, 0.0314315669566223]","[0.007814963462534307, -0.013999658168272611, -0.03112881598596685]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2546756641378731, -0.026789177168734912, 1.1652410146035335]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.20266180640815357, -0.024551678132611963, 1.1761208624881672]","[-2.336398282101091, 0.11120264233222422, 2.0128790187704095]",True,"[0.05201385772971956, 0.002237499036122949, 0.010879847884633698]","[0.0023350166477664343, 1.441070329936634, -0.025252937559414303]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.25469909850543476, -0.06419011627356025, 1.1625171928568754]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.251639724000653, -0.061421795574302954, 1.190911253858783]","[-3.0742351062479036, 0.05131219874667613, -0.0006753328474076572]",True,"[0.0030593745047817755, 0.0027683206992572956, 0.028394061001907556]","[-0.005450098101646709, 0.018970142659838873, -0.03145429056869271]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.25472253287299645, -0.10159105537838548, 1.1597933711102173]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.253217082318093, -0.09945596722620656, 1.1924423500801138]","[-3.0741364772363844, 0.051852318429098626, -0.012844776526498927]",True,"[0.0015054505549034758, 0.0021350881521789156, 0.03264897896989649]","[-0.005388298437438248, 0.011075983650372339, -0.032092540983523335]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.22831741091891464, 0.047961350086977494, 1.1711673910564377]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.22763039128893242, 0.04954922591731715, 1.2031745435771146]","[-3.017814786180983, 0.04219854379489345, -0.08639800447147063]",True,"[0.0006870196299822162, 0.0015878758303396537, 0.032007152520676874]","[0.04981004844501931, -0.037946769269555924, -0.027560503934711912]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.2283408452864763, 0.010560410982152213, 1.1684435693097797]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.23078211860634265, 0.012890738614865921, 1.2030974831445902]","[-3.0347798201995095, 0.046152951492858765, -0.1730481329197218]",True,"[-0.0024412733198663494, 0.002330327632713708, 0.034653913834810535]","[0.02917960973708012, -0.0944283885457619, -0.0322374796283346]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
