imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28098230128795915, -0.1469178490920639, 1.190621815008059]","[2.165344254880805, -0.010715239602186339, 0.02376149769525966]",apriltag,"[-0.2794269160866025, -0.13223600748108788, 1.2203219304060071]","[2.1801065822365837, -0.0024388518480877013, 0.006321445458429583]",True,"[0.0015553852013566738, 0.01468184161097602, 0.029700115397948146]","[0.01466804689830642, 0.01575725251736176, -0.0005544007480203262]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2806050839766534, -0.13070467442601713, 1.1718013679408]","[2.398039622069438, -0.008277302595930614, 0.026083393948314777]",apriltag,"[-0.28009437742149224, -0.11813220264856736, 1.206651571147076]","[2.4145606709841676, -0.011643079520637359, 0.017948094367347314]",True,"[0.0005107065551611667, 0.012572471777449773, 0.034850203206276076]","[0.016522864299036596, 0.005010055045245103, -0.0045452601311282165]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28032331007777384, -0.11058736957540033, 1.1572262795197832]","[2.630732945506091, -0.005485971538175021, 0.02838246684760733]",apriltag,"[-0.27944831577340856, -0.09986138416121594, 1.1922388727437498]","[2.6441348258371464, -0.014763009860137875, 0.017506026469168094]",True,"[0.000874994304365273, 0.010725985414184389, 0.03501259322396666]","[0.013439752702558495, 0.006076607671310409, -0.008457008334031771]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2801521700951434, -0.08765046365188095, 1.1476822965344067]","[2.8634236321679967, -0.0022904548117260452, 0.030655432914277053]",apriltag,"[-0.2791437769426737, -0.0797106923323114, 1.1832559037396435]","[2.8775187571003116, -0.015323262530909147, 0.01864297879252719]",True,"[0.0010083931524696998, 0.00793977131956955, 0.035573607205236835]","[0.01413851161817715, 0.007044755873439901, -0.009895442971004928]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2801008902295237, -0.06313049119079239, 1.14368393757778]","[3.0961108723096653, 0.0013752054331713428, 0.03289802780958858]",apriltag,"[-0.2811703625080471, -0.05993085514936898, 1.1831611002034992]","[-3.132360172388461, 0.015616781966122487, -0.051111306684612806]",True,"[-0.0010694722785233868, 0.003199636041423412, 0.0394771626257191]","[0.0541971617813965, -0.01160131373618888, -0.010023512758398604]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.28017223499174365, -0.03834933025427045, 1.1454467552161915]","[-2.954033534875059, -0.004967716598123227, -0.031152504591940824]",apriltag,"[-0.2803906489004083, -0.036816277403821325, 1.182582766461216]","[-2.93590927221196, 0.02193941479255629, -0.052404695909710884]",True,"[-0.00021841390866467192, 0.0015330528504491278, 0.037136011245024525]","[0.017982200268500465, -0.01273053359542407, -0.019300940935337664]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.280362358167205, -0.014642939642767305, 1.1528757154944662]","[-2.721344079135883, -0.008018877648725326, -0.028476505474020617]",apriltag,"[-0.2790702094130192, -0.01639001686267101, 1.187111895951634]","[-2.7040977826586903, 0.01953580095868962, -0.03338706746872879]",True,"[0.0012921487541858179, -0.001747077219903706, 0.03423618045716781]","[0.01736110067821295, 0.0005961785749358451, -0.02000612119121169]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.28066101016630707, 0.006710662989680316, 1.1655703212410877]","[-2.488651701862669, -0.010642236945127235, -0.025828077718669712]",apriltag,"[-0.2785645497584696, 0.0017985513890464572, 1.1982242882345036]","[-2.4711691339805864, 0.017160848578844343, -0.022160955554206965]",True,"[0.0020964604078374527, -0.004912111600633859, 0.03265396699341583]","[0.017677955535409656, 0.00939282497917901, -0.019036593335780984]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.28105209058247504, 0.0245602993979831, 1.1828462029743791]","[-2.255957070700126, -0.01289394004238511, -0.02320360583341837]",apriltag,"[-0.2793398589495096, 0.017062865850155602, 1.2166422847257135]","[-2.239841390068582, 0.014906705517029061, -0.023815150860109043]",True,"[0.0017122316329654663, -0.0074974335478274964, 0.033796081751334306]","[0.01631232306413058, 0.009067963856731654, -0.020222380934150536]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.28151451616924605, 0.037943691063163365, 1.2037720134384036]","[-2.023260681478425, -0.014817543183639755, -0.020600284778838334]",apriltag,"[-0.27933116893318505, 0.028136298147942773, 1.2376470993660549]","[-2.0102898317650086, 0.01255039582784109, -0.02759883923824665]",True,"[0.0021833472360610062, -0.009807392915220592, 0.033875085927651316]","[0.01316694275276614, 0.0071679711837143445, -0.022462490538311196]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
