imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.003310691528130176, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.2811799624816166, -0.05036040611664104, 1.178347680639528]","[-0.02782699923743019, -3.1367588372496296, -0.10790332844834871]",True,"[-0.001058641803362459, 0.0003281359094518127, 0.03450384307804932]","[-0.0020892127783540726, 0.024700382434354205, -0.01901165664584522]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.0691166255636158, -2.9471050274895143, -0.11604416471643803]",apriltag,"[-0.2824163659308594, -0.04952126795814156, 1.180856872082136]","[-1.082884150394611, -2.908226265884628, -0.11728394850305311]",True,"[-0.0022950452526052656, 0.0011672740679512933, 0.037013034520657184]","[0.012435452676966226, 0.02982413211714567, -0.015692104277448667]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9967594275480554, -2.3847823261347636, -0.10583885760270367]",apriltag,"[-0.28265425292348595, -0.048792536886062665, 1.1812927275696958]","[-1.9902682823290818, -2.340791990324632, -0.12836813350599605]",True,"[-0.0025329322452318226, 0.001896005140030188, 0.03744889000821705]","[0.035722127280479354, 0.018908770946814885, -0.014084038525749193]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.673973211651046, -1.5476065425991443, -0.08322122513551965]",apriltag,"[-0.28133541692840675, -0.0480328696550527, 1.1811035666004768]","[-2.6464674712464724, -1.5049503979428478, -0.09644241592964393]",True,"[-0.0012140962501526187, 0.0026556723710401547, 0.03725972903899799]","[0.04356366695235169, 0.014725437898540557, -0.014205688571857954]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0276000065986053, -0.5371623481705091, -0.05103084541226613]",apriltag,"[-0.28115295709617893, -0.0477550164417721, 1.1835165083973234]","[-3.0007537348392854, -0.5082821018411365, -0.07064225057226749]",True,"[-0.0010316364179248083, 0.002933525584320751, 0.03967267083584458]","[0.032990834077651555, -0.007031667954494281, -0.01549553714979779]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0218815660513467, 0.5295319716958208, -0.013050441458740347]",apriltag,"[-0.27926505441599675, -0.04755405523832056, 1.1825001010980782]","[-3.013584190218019, 0.5563437828252643, -0.011946293802679957]",True,"[0.0008562662622573769, 0.0031344867877722907, 0.038656263536599456]","[0.003688474715515135, 0.000752783922272971, -0.018103773954526073]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.6597834448111115, 1.5318640124554077, 0.026401036483152954]",apriltag,"[-0.27832850546980237, -0.048956688738334, 1.1810462074273798]","[-2.650273802219383, 1.5563831884320165, 0.03586946681366381]",True,"[0.001792815208451759, 0.00173185328775885, 0.037202369865900975]","[-0.00039907465164256827, 0.00800801698496248, -0.016635066918797643]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9816964689878476, 2.3566084190492136, 0.06287247917516989]",apriltag,"[-0.27872117976163574, -0.050861499310599516, 1.1793943814498968]","[-1.9628716184159847, 2.3711236817586734, 0.08609915069406225]",True,"[0.0014001409166183865, -0.00017295728450666265, 0.03555054388841805]","[0.011940499110161226, 0.00997422232537482, -0.01494805239848909]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.061997242592377, 2.908203231938114, 0.09218221367391113]",apriltag,"[-0.2800491252383621, -0.051829144744177526, 1.179534975990595]","[-1.0433347793531724, 2.923786694199558, 0.12752873179659252]",True,"[7.219543989200883e-05, -0.0011406027180846726, 0.03569113842911631]","[0.01808854606236373, 0.017232556963683095, -0.013930295649011264]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.0033106915281305577, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.2812634318398384, -0.05076000819147756, 1.1790107235117229]","[-0.026251383224236938, -3.136197417633403, -0.1214718729059134]",True,"[-0.0011421111615842472, -7.146616538470513e-05, 0.03516688595024409]","[0.006553212760861322, 0.024749413836268136, -0.017914136001635397]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
