imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2795563931804707, -0.09914229454045903, 1.1203509721721991]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27825600189976285, -0.09555052449573402, 1.1571423414486994]","[-3.0425838819985525, 0.021876949822320284, -0.08323809822273806]",True,"[0.0013003912807078577, 0.0035917700447250095, 0.036791369276500285]","[0.026984006030461017, -0.032856672520419704, -0.017373638330435523]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2798197315099914, -0.10002980318259863, 1.1328166442894312]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2778551768369955, -0.09468797131332549, 1.1686035679385354]","[-3.0834569494740407, 0.03027275278313066, -0.07092998480723742]",True,"[0.0019645546729958885, 0.005341831869273145, 0.035786923649104185]","[-0.013595883768930365, -0.024044125207222978, -0.022757437105203705]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28008306983951203, -0.10091731182473823, 1.145282316406663]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.28051213963506644, -0.09697800295308732, 1.1845795837112887]","[-3.0593809761693898, 0.027790390457841794, -0.12202565190764711]",True,"[-0.0004290697955544043, 0.003939308871650907, 0.03929726730462568]","[0.008943577123954296, -0.05774512567701802, -0.02223324625143824]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2803464081690327, -0.10180482046687772, 1.1577479885238948]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27871618535288945, -0.09885161823679739, 1.1942691307045992]","[-3.0377992510023573, 0.022470184257421803, -0.07823380400627483]",True,"[0.0016302228161432786, 0.0029532022300803318, 0.03652114218070435]","[0.03189313190970617, -0.029633022491113055, -0.01761881735724983]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2806097464985534, -0.10269232910901732, 1.1702136606411266]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27838000222658055, -0.09892572942566223, 1.2063045797749272]","[-3.058716942923624, 0.02743711155494627, -0.06167446617233109]",True,"[0.0022297442719728666, 0.00376659968335509, 0.03609091913380058]","[0.011334259530200976, -0.01839868572119334, -0.020590774099190468]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.25324655264340984, -0.09910626805498074, 1.1209093346262038]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.25262571857949695, -0.09461393998264381, 1.1589689525090845]","[-3.0708175037514565, 0.028884473015109522, -0.11264111748175466]",True,"[0.0006208340639128895, 0.004492328072336932, 0.0380596178828807]","[-0.0021446577282487685, -0.05135373272495662, -0.02277354628402732]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.25350989097293053, -0.09999377669712034, 1.1333750067434356]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2522029134218326, -0.09668151257826782, 1.1704803306900278]","[-3.046614356411474, 0.025596438335708443, -0.08797062345917063]",True,"[0.001306977551097932, 0.0033122641188525204, 0.03710532394659216]","[0.022826040296648697, -0.035804778866155906, -0.01994398980733438]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.25377322930245116, -0.10088128533925983, 1.1458406788606674]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2522175916981603, -0.0966719365461424, 1.1822157730850829]","[-3.068615821250995, 0.027153227335658784, -0.0868130387306602]",True,"[0.0015556376042908382, 0.0042093487931174345, 0.03637509422441543]","[0.000861135537922885, -0.034645744770411276, -0.021036751037813183]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.25403656763197185, -0.10176879398139943, 1.1583063509778992]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2541299933999899, -0.09738317637658675, 1.1970352713874233]","[-3.0774040590128293, 0.03115749969799165, -0.12366087585116625]",True,"[-9.342576801801838e-05, 0.0043856176048126805, 0.038728920409524026]","[-0.009139622205578896, -0.05830256518030411, -0.02453088436195501]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.25429990596149255, -0.10265630262353903, 1.1707720230951313]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2520526697218042, -0.09968283703666564, 1.2064293944171236]","[-3.0446099390373433, 0.024596895924907037, -0.06633093322433577]",True,"[0.002247236239688366, 0.0029734655868733917, 0.035657371321992315]","[0.025350345048291784, -0.021680227591685013, -0.018771864492555884]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
