imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2804084930193548, 0.04905899065748587, 1.1509394175648962]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27722554856510173, 0.05203679451139523, 1.1866578356244155]","[-3.04029107332712, 0.01820228600148902, -0.09054310489611923]",True,"[0.003182944454253045, 0.002977803853909361, 0.03571841805951936]","[0.02907579589815843, -0.03777219302169771, -0.01512045977916843]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2801931137635293, -0.0257516588551982, 1.1456177325623331]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27636869250823537, -0.02240534534403368, 1.1828814101246725]","[-3.0712483858330755, -0.021525301662884837, -0.08792204680488823]",True,"[0.0038244212552939194, 0.0033463135111645205, 0.03726367756233939]","[-0.002092038217402168, -0.036447787607180995, 0.010572895540489841]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.28008542413561655, -0.06315698361154026, 1.1429568900610516]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27824016556235653, -0.05922026842403122, 1.1803953340969136]","[-3.0619916842645725, 0.024811701375172794, -0.08439132959114663]",True,"[0.0018452585732600113, 0.003936715187509043, 0.03743844403586194]","[0.0075506991339305595, -0.033231181105127926, -0.019423363406854133]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2799777345077038, -0.10056230836788232, 1.14029604755977]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27770028540351693, -0.09789715750975628, 1.1765112371691082]","[-3.032439478103637, 0.020123421151241917, -0.06373365938969883]",True,"[0.0022774491041868683, 0.0026651508581260475, 0.036215189609338116]","[0.0375715649866872, -0.020229290994929847, -0.015703744349775513]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2540986524822939, 0.04909501714296416, 1.1514977800189006]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.25192839456797017, 0.04877274266352436, 1.1852691225718548]","[-3.031365128138132, 0.01718097745881891, -0.08564021268655679]",True,"[0.0021702579143237366, -0.00032227447943979776, 0.03377134255295422]","[0.038132422228719653, -0.034726713382813766, -0.014276320603492338]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.25399096285438116, 0.011689692386622152, 1.148836937517619]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.25031803463688357, 0.015039565415428387, 1.184479831675174]","[-3.0525463322501185, 0.022419913992185715, -0.067618678431088]",True,"[0.0036729282174975952, 0.003349873028806235, 0.03564289415755484]","[0.017390228804341375, -0.022473409330254962, -0.017419465577775496]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2538832732264684, -0.02571563236971991, 1.1461760950163375]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2520987223211071, -0.023648831149796046, 1.182435325283362]","[-3.0215051187724313, 0.017250247799752805, -0.11533293569621046]",True,"[0.0017845509053613373, 0.002066801219923864, 0.03625923026702438]","[0.04704965213471863, -0.05447815877377821, -0.014960735696036651]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2537755835985557, -0.06312095712606197, 1.1435152525150563]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2542572763175762, -0.05971692572312621, 1.182914655427506]","[-3.0540384434418733, 0.025116842479199028, -0.15774322031545224]",True,"[-0.00048169271902054334, 0.003404031402935763, 0.03939940291244981]","[0.01271685267101846, -0.08124335036885771, -0.02130239737278266]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.25366789397064293, -0.10052628188240403, 1.1408544100137747]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2510266222090487, -0.09591548409222264, 1.1763566361747098]","[-3.0793411724241535, 0.02803402701268452, -0.06607328435441934]",True,"[0.0026412717615942327, 0.004610797790181392, 0.03550222616093501]","[-0.009373463972394797, -0.021000876324258788, -0.021176202286857265]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.22778881194523304, 0.04913104362844245, 1.152056142472905]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.22584874387858642, 0.052164154885711314, 1.1889422141435506]","[-3.0447817595998687, 0.020473070507873226, -0.13779801182647924]",True,"[0.001940068066646622, 0.003033111257268864, 0.036886071670645615]","[0.022894993861894475, -0.06858676740049874, -0.017748908346242695]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
