imageName,realT,realR
0.png,"[-0.28094017988658493, 0.04806405199485392, 1.1702099251372617]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
2.png,"[-0.28098704862170826, -0.0267378262147967, 1.1647622816439454]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
3.png,"[-0.28101048298926995, -0.06413876531962198, 1.1620384598972873]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
4.png,"[-0.28103391735683164, -0.10153970442444721, 1.1593146381506292]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
5.png,"[-0.25462879540274974, 0.048012701040915706, 1.1706886580968496]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
6.png,"[-0.25465222977031143, 0.010611761936090425, 1.1679648363501915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
7.png,"[-0.2546756641378731, -0.026789177168734912, 1.1652410146035335]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
8.png,"[-0.25469909850543476, -0.06419011627356025, 1.1625171928568754]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
9.png,"[-0.25472253287299645, -0.10159105537838548, 1.1597933711102173]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
10.png,"[-0.22831741091891464, 0.047961350086977494, 1.1711673910564377]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
11.png,"[-0.2283408452864763, 0.010560410982152213, 1.1684435693097797]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
12.png,"[-0.22836427965403797, -0.026840528122673124, 1.1657197475631216]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
13.png,"[-0.22838771402159963, -0.06424146722749852, 1.1629959258164635]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
14.png,"[-0.2284111483891613, -0.10164240633232374, 1.1602721040698052]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
15.png,"[-0.20200602643507945, 0.04790999913303923, 1.1716461240160259]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
16.png,"[-0.20202946080264111, 0.010509060028213946, 1.1689223022693678]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
17.png,"[-0.20205289517020278, -0.02689187907661139, 1.1661984805227097]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
18.png,"[-0.20207632953776444, -0.06429281818143667, 1.1634746587760514]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
19.png,"[-0.2020997639053261, -0.1016937572862619, 1.1607508370293935]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
20.png,"[-0.17569464195124426, 0.047858648179101015, 1.172124856975614]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
21.png,"[-0.17571807631880595, 0.010457709074275734, 1.1694010352289559]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
22.png,"[-0.17574151068636762, -0.026943230030549603, 1.1666772134822976]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
23.png,"[-0.17576494505392928, -0.06434416913537494, 1.1639533917356397]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
24.png,"[-0.17578837942149095, -0.10174510824020017, 1.1612295699889814]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
25.png,"[-0.1493832574674091, 0.04780729722516275, 1.172603589935202]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
26.png,"[-0.14940669183497077, 0.010406358120337467, 1.1698797681885438]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
27.png,"[-0.14943012620253243, -0.02699458098448787, 1.167155946441886]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
28.png,"[-0.1494535605700941, -0.06439552008931321, 1.1644321246952276]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
29.png,"[-0.14947699493765576, -0.10179645919413843, 1.1617083029485695]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
30.png,"[-0.12307187298357392, 0.047755946271224536, 1.17308232289479]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
31.png,"[-0.12309530735113558, 0.010355007166399255, 1.1703585011481321]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
32.png,"[-0.12311874171869727, -0.027045931938426082, 1.1676346794014738]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
33.png,"[-0.12314217608625894, -0.06444687104325147, 1.1649108576548157]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
34.png,"[-0.1231656104538206, -0.1018478101480767, 1.1621870359081576]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
35.png,"[-0.09676048849973876, 0.047704595317286325, 1.173561055854378]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
36.png,"[-0.09678392286730042, 0.010303656212461043, 1.17083723410772]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
37.png,"[-0.09680735723486208, -0.027097282892364294, 1.168113412361062]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
38.png,"[-0.09683079160242375, -0.06449822199718963, 1.1653895906144038]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
39.png,"[-0.09685422596998541, -0.10189916110201486, 1.1626657688677458]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
40.png,"[-0.07044910401590357, 0.04765324436334806, 1.1740397888139662]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
41.png,"[-0.07047253838346523, 0.010252305258522776, 1.1713159670673081]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
42.png,"[-0.0704959727510269, -0.02714863384630256, 1.16859214532065]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
43.png,"[-0.07051940711858858, -0.0645495729511279, 1.165868323573992]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
44.png,"[-0.07054284148615025, -0.10195051205595312, 1.1631445018273339]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
45.png,"[-0.044137719532068395, 0.047601893409409846, 1.1745185217735543]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
46.png,"[-0.044161153899630066, 0.010200954304584564, 1.1717947000268962]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
47.png,"[-0.04418458826719174, -0.027199984800240773, 1.1690708782802381]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
48.png,"[-0.0442080226347534, -0.06460092390506617, 1.16634705653358]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]"
