imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2820388552157448, -0.14797644550079309, 1.2095654824979098]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]",aruco,"[-0.28450980862364106, -0.13595954361911364, 1.2502621542963217]","[2.171175629295216, -0.031210250080637412, 0.02216008374559228]",True,"[-0.0024709534078962703, 0.012016901881679448, 0.040696671798411854]","[0.004395815063477757, -0.009673291938965522, -0.01202580692347207]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.281665192679071, -0.13173290154345568, 1.1907711692761418]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]",aruco,"[-0.28117790532628684, -0.11964204968381434, 1.2212900544046625]","[2.3926657634508417, -0.03830636770802199, 0.02790429197721347]",True,"[0.00048728735278413815, 0.012090851859641344, 0.030518885128520745]","[-0.00664555574445282, -0.012833530883325296, -0.018014550896670117]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28136129167788726, -0.11159209538074105, 1.176229019340158]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]",aruco,"[-0.28103469067041337, -0.10227601523351007, 1.2100934505896601]","[2.631854613172433, -0.037347992748185704, 0.01608159867847493]",True,"[0.0003266010074738923, 0.009316080147230982, 0.033864431249502]","[-0.00020246527136426294, -0.0001673894710206609, -0.021651951623530046]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2811435355938293, -0.08863982308613455, 1.166723003757103]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]",aruco,"[-0.28108894253128824, -0.08171741361265775, 1.197756807399038]","[2.862194930268419, -0.04182269628610036, 0.04145719430064104]",True,"[5.45930625410751e-05, 0.006922409473476804, 0.031033803641934865]","[-0.002284251302462609, -0.014201820587417572, -0.022779157688061193]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.28100813836173993, -0.03933519217324777, 1.1645701359004854]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]",aruco,"[-0.2801125028588031, -0.03871720708799162, 1.1938237693761937]","[-2.941529589987602, 0.03809670381488943, -0.028635333227924307]",True,"[0.000895635502936809, 0.0006179850852561508, 0.029253633475708307]","[0.01088621175991561, 0.0013289182115196153, -0.025435093734929817]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.28109779651353684, -0.015640858969509286, 1.172039345290322]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]",aruco,"[-0.2796527999534567, -0.01842707278644715, 1.1984104433129368]","[-2.700282438413223, 0.039462181819850894, -0.03473772846618305]",True,"[0.0014449965600801251, -0.0027862138169378638, 0.026371098022614836]","[0.019399762219838752, -0.00040621987823339875, -0.031013854698076253]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.28128780467497266, 0.005692184375139797, 1.1847705554455707]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]",aruco,"[-0.2805985284156695, 0.0010026961754386159, 1.216951445527576]","[-2.486432119218225, 0.028265553827726556, -0.00764630828659836]",True,"[0.000689276259303151, -0.004689488199701181, 0.03218089008200531]","[0.0007641559999263637, 0.019596401828234557, -0.020298737992430878]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2815679194568828, 0.023513867972136948, 1.202077423531411]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]",aruco,"[-0.2841088212589816, 0.017510412473765002, 1.2498811336684228]","[-2.2639612984266284, 0.03464464483416324, 0.00408134071674544]",True,"[-0.002540901802098816, -0.006003455498371946, 0.0478037101370119]","[-0.009496562212442114, 0.03303979475652632, -0.021759848082469647]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.2264925990832039, -0.1480848530702183, 1.2105761409681515]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]",aruco,"[-0.22623273518784928, -0.13469331809063007, 1.242515242382303]","[2.16792996391466, -0.03634761829033768, 0.028034445015726644]",True,"[0.00025986389535462284, 0.013391534979588227, 0.03193910141415146]","[0.0012493022199765974, -0.01588095817151743, -0.013521835211800165]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.22611893654653012, -0.1318413091128809, 1.1917818277463832]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]",aruco,"[-0.22631290993759287, -0.12062829462176586, 1.2288576509305704]","[2.3975236413077514, -0.04535201431046242, 0.03910467022799506]",True,"[-0.0001939733910627517, 0.011213014491115031, 0.03707582318418723]","[-0.0015799540081340682, -0.022900177246375195, -0.019894259847107652]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2258150355453464, -0.11170050295016626, 1.1772396778103995]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]",aruco,"[-0.22547416498330844, -0.10261080829704369, 1.2131053539215089]","[2.635168966117226, -0.046678631204431456, 0.0386341697584083]",True,"[0.00034087056203796484, 0.009089694653122565, 0.03586567611110936]","[0.0034284933553460945, -0.017916484877119925, -0.024059751792502932]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.22559727946128838, -0.08874823065555976, 1.1677336622273446]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]",aruco,"[-0.22382411889333959, -0.08257994969251041, 1.2004196098502578]","[2.885299495450765, -0.04530144502543902, 0.01734018935122025]",True,"[0.001773160567948795, 0.006168280963049347, 0.0326859476229131]","[0.020697944083753892, 0.002074326815860068, -0.02706478557205706]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.2254774075812117, -0.06422185516943779, 1.1637762527578408]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]",aruco,"[-0.22005939349462036, -0.06183816435297823, 1.1899213833785365]","[-3.1375583114779713, 0.048293922581995725, 0.053335676774243904]",True,"[0.005418014086591344, 0.0023836908164595605, 0.026145130620695678]","[0.04718381948070428, 0.051457304503832624, -0.029139938468219717]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.22546188222919905, -0.03944359974267292, 1.1655807943707268]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]",aruco,"[-0.22092083860268416, -0.037524123860358735, 1.1928917100166778]","[-2.97132558028172, 0.04942240356704127, 0.01941339228293645]",True,"[0.00454104362651489, 0.0019194758823141839, 0.027310915645951006]","[-0.018922338681166773, 0.03429834216728418, -0.029990074678447297]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
