imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.003310691528130176, 3.1184649344748974, 0.11082388387490734]",aruco,"[-0.283547191280694, -0.050249140597602694, 1.189031776100041]","[0.05034446202684023, 3.117301837538204, 0.14748453610765044]",True,"[-0.0034258706024398733, 0.000439401428490159, 0.04518793853856229]","[0.023865127181763857, 0.0019919965237437725, -0.03408213517055535]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.0691166255636158, -2.9471050274895143, -0.11604416471643803]",aruco,"[-0.2861393763881585, -0.04922607854692064, 1.2019050060112304]","[-1.0964067927215053, -2.926268851085535, -0.13809403710372686]",True,"[-0.00601805570990438, 0.001462463479172213, 0.05806116844975162]","[0.016831653195207234, 0.0045065194290635656, -0.020623175937181566]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9967594275480554, -2.3847823261347636, -0.10583885760270367]",aruco,"[-0.28178530161186555, -0.047886515285676765, 1.191411021782456]","[-2.0184535446860457, -2.3291437245495543, -0.116344115635686]",True,"[-0.0016639809336114197, 0.0028020267404160887, 0.04756718422097728]","[0.023963452002673098, 0.01781140553365941, -0.033074179170474824]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.673973211651046, -1.5476065425991443, -0.08322122513551965]",aruco,"[-0.2860430953887825, -0.04796112900299536, 1.2037753433683243]","[-2.6985969683257522, -1.5163150838825505, -0.17135498036308994]",True,"[-0.005921774710528349, 0.002727413023097494, 0.059931505806845475]","[0.02050756496954498, -0.052914953033775976, -0.027110032026256607]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0276000065986053, -0.5371623481705091, -0.05103084541226613]",aruco,"[-0.27766478226912106, -0.04753013247022816, 1.1909668788811567]","[-3.0445269344662096, -0.4740460023816651, 0.00804011365619434]",True,"[0.002456538409133069, 0.0031584095558646955, 0.04712304131967793]","[-0.012075542187321006, 0.038243126965599096, -0.041041235261155766]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0218815660513467, 0.5295319716958208, -0.013050441458740347]",aruco,"[-0.27761138578668126, -0.050574554222087446, 1.1882380174611078]","[-2.9949045052411263, 0.5735418674939201, 0.02157844118709563]",True,"[0.0025099348915728625, 0.00011398780400540681, 0.044394179899629016]","[0.02251818873827036, 0.020195347607338363, -0.030520429170806256]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.6597834448111115, 1.5318640124554077, 0.026401036483152954]",aruco,"[-0.2997862301876313, -0.04808417491241928, 1.1911731941736534]","[-2.4353389157174354, 1.486291386668241, -0.5666666198300495]",True,"[-0.01966490950937716, 0.002604367113673574, 0.04732935661217463]","[-0.06102698389580564, -0.43217156973252796, -0.06597419220834405]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9816964689878476, 2.3566084190492136, 0.06287247917516989]",aruco,"[-0.2830574327401538, -0.05285621690706354, 1.1941883403218672]","[-1.9356339978898005, 2.3605726078631846, 0.07245361881474871]",True,"[-0.0029361120618996983, -0.0021676748809706867, 0.05034450276038838]","[0.022167381255880053, -0.014885250796725426, -0.02505152019888149]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.061997242592377, 2.908203231938114, 0.09218221367391113]",aruco,"[-0.2836458282672822, -0.050749248726804475, 1.196329374864467]","[-1.0048683221011783, 2.951834734908456, 0.08913614128955841]",True,"[-0.0035245075890280586, -6.070670071162132e-05, 0.05248553730298822]","[-0.009308721838159449, 0.021445325007076747, -0.043368522866345786]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.0033106915281305577, 3.1184649344748974, 0.11082388387490734]",aruco,"[-0.2860944990428383, -0.049427282128726796, 1.1954390384901405]","[0.05920590278307021, 3.096121145624706, 0.11637633209974259]",True,"[-0.005973178364584164, 0.0012612598973660571, 0.051595200928661766]","[0.00454209833464851, -0.020118915079990175, -0.04102197832979712]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.22457832398890343, -0.050612486112305344, 1.1450226027421548]","[-0.003310691528130176, 3.1184649344748974, 0.11082388387490734]",aruco,"[-0.22693819315411284, -0.05137668827100647, 1.1881397377530503]","[0.03279431327121157, 3.119701327122292, 0.17773493399430595]",True,"[-0.002359869165209416, -0.0007642021587011272, 0.043117135010895424]","[0.04300894792283399, 0.005338619889372168, -0.022482464804009592]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.22457832398890343, -0.050612486112305344, 1.1450226027421548]","[-1.0691166255636158, -2.9471050274895143, -0.11604416471643803]",aruco,"[-0.22769747588597078, -0.046087177583386534, 1.1934113106501227]","[1.1245383355269027, 2.923978121916768, 0.04073138480996183]",True,"[-0.0031191518970673515, 0.00452530852891881, 0.0483887079079679]","[-0.04912577385271587, 0.00553477872518856, -0.03864645184430887]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.22457832398890343, -0.050612486112305344, 1.1450226027421548]","[-1.9967594275480554, -2.3847823261347636, -0.10583885760270367]",aruco,"[-0.227920752939255, -0.05045015543681228, 1.1933574022819735]","[-2.0136340525779555, -2.3395858473817905, -0.22234873195004387]",True,"[-0.0033424289503515836, 0.00016233067549306646, 0.048334799539818674]","[0.06954429310150627, -0.03434030550673142, -0.02761808440987166]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
