imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2806682067123864, -0.1000874700283782, 1.1393707851882897]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2809258236249665, -0.09670496892370624, 1.1667927586132436]","[-3.0805876971829456, -0.0024729709594960908, -0.01179108238361983]",True,"[-0.0002576169125800831, 0.0033825011046719616, 0.027421973424953894]","[-0.011730759266824691, 0.010499294044956432, 0.003170471748527079]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2808967758651647, -0.10099511652592136, 1.151835693289752]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.280217772447779, -0.09868037072196727, 1.179916777288391]","[-3.0512178217713677, -0.004727419361724029, 0.02143606263922534]",True,"[0.0006790034173856929, 0.002314745803954091, 0.028081083998638956]","[0.017585021789327592, 0.03208990167252718, 0.005715082780388025]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28112534501794295, -0.1019027630234644, 1.164300601391214]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2776211165839356, -0.09809295620840262, 1.1857449845030061]","[-3.079418767871828, -0.014177188147089037, 0.06192837353044111]",True,"[0.003504228434007328, 0.003809806815061781, 0.021444383111792087]","[-0.011218741355019546, 0.05803884104563896, 0.012506806187201947]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28135391417072125, -0.10281040952100756, 1.176765509492676]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.282086506133337, -0.09972058433425501, 1.2064757972957723]","[-3.0777346396705134, -0.0023448806042424782, -0.011720623564047182]",True,"[-0.0007325919626157695, 0.0030898251867525484, 0.029710287803096147]","[-0.008876695640539266, 0.01053857421923473, 0.0031161305866774167]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.28158248332349956, -0.10371805601855072, 1.1892304175941382]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2833592675025064, -0.10238693962368749, 1.2200263405733007]","[-3.0425279941556362, -0.02034120098736486, -0.05132409283192319]",True,"[-0.0017767841790068406, 0.0013311163948632326, 0.03079592297916256]","[0.025738023131364387, -0.015990728973390187, 0.014306220130865186]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.25435682222855116, -0.10013882098231647, 1.1398495181478778]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2585311167346354, -0.09791178065321074, 1.1740931119439257]","[-3.0679687859704394, 0.010262452090501318, -0.12069655451614657]",True,"[-0.004174294506084253, 0.0022270403291057284, 0.03424359379604791]","[-0.001393369368844105, -0.060102044240604835, -0.007594993004778261]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.25458539138132946, -0.10104646747985963, 1.1523144262493399]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2561762578540046, -0.09872605676902806, 1.187240282161461]","[-3.0674788935876425, -0.029492450073200994, -0.022772692924171344]",True,"[-0.0015908664726751454, 0.002320410710831569, 0.03492585591212105]","[0.001014306424315875, 0.0026657650742066934, 0.020624514729315473]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.25481396053410776, -0.10195411397740267, 1.1647793343508022]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25451932640199193, -0.09910396677045366, 1.193128744261145]","[-3.0747107830411586, -0.0019246648141925126, -0.011664459940206913]",True,"[0.0002946341321158341, 0.002850147206949011, 0.028349409910342738]","[-0.005849979487651051, 0.010574962713506978, 0.002873144130973066]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.255042529686886, -0.10286176047494583, 1.1772442424522642]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2550569028448114, -0.10055012105133201, 1.2067212189540217]","[-3.0581502929749025, -0.0044313851405645074, -0.012463657662482199]",True,"[-1.4373157925406943e-05, 0.002311639423613815, 0.029476976501757512]","[0.01068879482602755, 0.009938378693077298, 0.004646509443672897]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2552710988396643, -0.10376940697248899, 1.1897091505537263]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2517035831754323, -0.10096345042882698, 1.212937788772976]","[-3.0641765494921693, -0.01573258445844938, 0.07145061575076309]",True,"[0.003567515664232024, 0.0028059565436620026, 0.023228638219249698]","[0.0038068588576174694, 0.06437849601272826, 0.013932564572768884]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.22804543774471603, -0.10019017193625473, 1.140328251107466]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.22582328176024957, -0.09606750194964805, 1.1665298782000635]","[-3.101009194306265, -0.020916933749204645, 0.032113597465385106]",True,"[0.0022221559844664562, 0.004122669986606681, 0.026201627092597546]","[-0.032452106043806835, 0.03842615811788186, 0.015888235161656775]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.22827400689749433, -0.10109781843379789, 1.1527931592089282]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2275943102140433, -0.09853612312841262, 1.180060792256599]","[-3.071044240589734, -0.0014814775700705213, -0.012097118664775178]",True,"[0.0006796966834510254, 0.0025616953053852753, 0.02726763304767088]","[-0.002182559145126718, 0.010291899598575476, 0.0026091144760484295]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2285025760502726, -0.10200546493134094, 1.1652580673103903]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2267222228413894, -0.10079038098640337, 1.1930611020220256]","[-3.0350893558056233, -0.0039909554484444075, 0.030667908378257856]",True,"[0.0017803532088832008, 0.0012150839449375644, 0.027803034711635366]","[0.033645661241661344, 0.038230136577286924, 0.005615224428717509]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.22873114520305088, -0.1029131114288841, 1.1777229754118523]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.22713554675161218, -0.09966647237611126, 1.2063911206496427]","[-3.0855857620815295, -0.023544475504209735, 0.034514519074286376]",True,"[0.0015955984514386956, 0.0032466390527728373, 0.028668145237790377]","[-0.01708831697141111, 0.04000127079608289, 0.017853953372144953]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
