imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28094017988658493, 0.04806405199485392, 1.1702099251372617]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2803097276336364, 0.05136270513214167, 1.1988962898622708]","[-3.0683245083902118, -0.005485415077953898, -0.03808300859738656]",True,"[0.0006304522529485546, 0.0032986531372877492, 0.028686364725009073]","[0.00029045077425582036, -0.006726400808125726, 0.004623360519226179]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28098704862170826, -0.0267378262147967, 1.1647622816439454]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2801415172451712, -0.023409333405774637, 1.1963059571684074]","[-3.0858541332387457, 0.007433902815556166, 0.0156069039257903]",True,"[0.0008455313765370343, 0.0033284928090220635, 0.03154367552446202]","[-0.016951725585515096, 0.028488524056996242, -0.0026487803992743843]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28101048298926995, -0.06413876531962198, 1.1620384598972873]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2828469728710492, -0.06419317767191277, 1.1951974047917973]","[-3.012602143591433, -0.030533191954704962, -0.06987385255499413]",True,"[-0.0018364898817792574, -5.441235229078356e-05, 0.03315894489450999]","[0.05514143299917264, -0.02885954819938554, 0.02098378901387334]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.28103391735683164, -0.10153970442444721, 1.1593146381506292]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2798484362104869, -0.09880339628687676, 1.1855477218795072]","[-3.073031690017489, 0.005022783159244817, -0.003070094070821009]",True,"[0.0011854811463447579, 0.002736308137570448, 0.026233083728878004]","[-0.004109455387037047, 0.016319979193440273, -0.0014235331604696973]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.25462879540274974, 0.048012701040915706, 1.1706886580968496]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25308102592979936, 0.05069410686187073, 1.1980259307636458]","[-3.0625262429292657, -0.022963298033998925, -0.03414178245966373]",True,"[0.0015477694729503777, 0.002681405820955024, 0.027337272666796197]","[0.005951728757219258, -0.004621107202579862, 0.016170271453970916]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.25465222977031143, 0.010611761936090425, 1.1679648363501915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25297371396346346, 0.014717679137101952, 1.1958783933187964]","[-3.096658474315266, -0.012250953278138008, -0.01617151896810042]",True,"[0.0016785158068479689, 0.0041059172010115275, 0.02791355696860487]","[-0.02790221184958817, 0.007496151497891584, 0.009223683496949025]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2546756641378731, -0.026789177168734912, 1.1652410146035335]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.254449694943922, -0.02471665877776533, 1.1942958045627718]","[-3.053595354973582, 0.0036115078981781234, -0.05423352949915925]",True,"[0.00022596919395112547, 0.002072518390969582, 0.02905478995923838]","[0.014829781774456059, -0.01719630686734837, -0.0015644826259286313]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.25469909850543476, -0.06419011627356025, 1.1625171928568754]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2504938613407123, -0.06019868442759771, 1.184452077553041]","[-3.0992628373080673, -0.012826448004842407, 0.04520430475183133]",True,"[0.004205237164722486, 0.00399143184596254, 0.021934884696165557]","[-0.03077001707049618, 0.04706486419817507, 0.01100126794417923]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.25472253287299645, -0.10159105537838548, 1.1597933711102173]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25740459571153784, -0.09952254511454839, 1.1925134035036526]","[-3.081187817165242, 0.0032568764371130898, -0.10264419189343342]",True,"[-0.002682062838541388, 0.0020685102638370867, 0.03272003239343535]","[-0.013983765514025717, -0.048246625275002175, -0.002706082518975623]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.22831741091891464, 0.047961350086977494, 1.1711673910564377]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.22324173701255642, 0.052649707392781235, 1.1969019057825834]","[-3.111611818414805, -0.007541859422451258, 0.0625180207113164]",True,"[0.0050756739063582135, 0.004688357305803741, 0.02573451472614563]","[-0.043357735269356386, 0.0582066579846323, 0.007860498239596505]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
