imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.2689280275926285, 0.0, 0.0]",apriltag,"[-0.1994313777794309, -0.0005308307724450472, 0.7980210673883487]","[2.264306398616301, -0.0009675276692498406, -0.004468344776652446]",True,"[0.0005686222205691094, -0.0005308307724450472, -0.001978932611651385]","[-0.004618575792616222, 0.0029113757324494786, -0.0022112648379664064]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.462853500036443, 0.0, 0.0]",apriltag,"[-0.19951351414379978, -0.0005210811010213417, 0.7984968322914965]","[2.472655328049904, 0.001124471213301967, -0.002874157060175823]",True,"[0.00048648585620023055, -0.0005210811010213417, -0.001503167708503561]","[0.009803266505322771, 0.0023566866081543734, 7.911566738700774e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[2.6567789724802573, 0.0, 0.0]",apriltag,"[-0.19917897788946234, -0.0007155054842783248, 0.7971887254578853]","[2.660925437751274, -9.083332182298747e-06, -0.006776503491796683]",True,"[0.0008210221105376669, -0.0007155054842783248, -0.0028112745421147167]","[0.004153586229785484, 0.004800725994382622, -0.001193902299857926]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[2.8507044449240717, 0.0, 0.0]",apriltag,"[-0.1993617421081411, -0.0007292650128385026, 0.797642662339902]","[2.8495736164469228, -0.00076856851715548, -0.009524868477182764]",True,"[0.0006382578918589232, -0.0007292650128385026, -0.0023573376600980467]","[-0.0011164206754016763, 0.00646678792046798, -0.0014866258402609967]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.0446299173678857, 0.0, 0.0]",apriltag,"[-0.198962958959668, -0.0005629465018219487, 0.7959910250667135]","[3.045940077925413, -0.0017640553468050823, -0.022830115292818413]",True,"[0.001037041040332004, -0.0005629465018219487, -0.004008974933286558]","[0.0013935065184804806, 0.014899468108341174, -0.0018812297182028248]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[-3.044629917367886, -0.0, -0.0]",apriltag,"[-0.19900262914753897, -0.0007964540699026126, 0.7962161481932142]","[-3.046446909260617, -0.00038438113160285355, 0.016303234276027322]",True,"[0.0009973708524610436, -0.0007964540699026126, -0.003783851806785865]","[-0.0018592614379498757, 0.010666138028738061, 0.0007698705673494097]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[-2.850704444924072, -0.0, -0.0]",apriltag,"[-0.19919953447101044, -0.0005450441848085347, 0.7969720047795871]","[-2.8504418517650376, -0.0008595941847253886, 0.013629733618242608]",True,"[0.0008004655289895746, -0.0005450441848085347, -0.003027995220412971]","[0.00023317014524997778, 0.009275646641864978, 0.001961797833742136]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[-2.6567789724802573, -0.0, -0.0]",apriltag,"[-0.19934793377416823, -0.0005335547108580399, 0.7977179204069687]","[-2.6605203899963956, -0.0009875614449520616, 0.006077245880988335]",True,"[0.0006520662258317766, -0.0005335547108580399, -0.002282079593031394]","[-0.003747296347300912, 0.0041341447153158154, 0.0017649705975504913]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[-2.462853500036443, -0.0, -0.0]",apriltag,"[-0.1995516213212695, -0.0007648666466719956, 0.7986025119204585]","[-2.4681516097532454, 0.00012397279452378403, 0.0003861637648403299]",True,"[0.0004483786787305155, -0.0007648666466719956, -0.0013974880795415423]","[-0.005298134576792141, 0.00031006399225473385, 8.909468886612463e-06]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[-2.268928027592629, -0.0, -0.0]",apriltag,"[-0.19965634551297046, -0.000749060272622481, 0.7988854596287096]","[-2.2622491788195815, 0.0003073669693888837, 0.0008144052668086876]",True,"[0.00034365448702955437, -0.000749060272622481, -0.00111454037129044]","[0.006678738056653158, 0.0006943955431610961, 5.249038729079704e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
