imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",apriltag,"[-0.19883634880747908, -0.0021595318715972875, 1.996389004216602]","[2.2696648815882217, -0.0010133048580034231, -0.006562524342084384]",True,"[0.0011636511925209314, -0.0021595318715972875, -0.0036109957833980744]","[0.0007432894578809848, 0.004408715617964028, -0.0029488818935174493]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.462853500036443, 0.0, 0.0]",apriltag,"[-0.19903048592160436, -0.001069558005356484, 1.9964776759423932]","[2.4672543346011833, 0.003564389166901425, -0.00926322455757389]",True,"[0.0009695140783956557, -0.001069558005356484, -0.003522324057606774]","[0.004415725142438459, 0.00758966105397874, 0.00021222959538886002]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[2.6567789724802573, 0.0, 0.0]",apriltag,"[-0.19898515684092435, -0.0022156102685664757, 1.9970603937714726]","[2.6477617806489255, -0.0006541465849414456, -0.0021666354253985208]",True,"[0.0010148431590756568, -0.0022156102685664757, -0.0029396062285274027]","[-0.009016395654752525, 0.001425540684070333, -0.0008460508896492668]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[2.8507044449240717, 0.0, 0.0]",apriltag,"[-0.19877887883222753, -0.0018113948715134968, 1.9947022505097471]","[2.851265867426511, -0.006613101327631412, 0.013983970442876683]",True,"[0.001221121167772482, -0.0018113948715134968, -0.005297749490252857]","[0.0005991652987874137, -0.010268466819791, -0.0031347624593727965]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.0446299173678857, 0.0, 0.0]",apriltag,"[-0.19925587477752352, -0.0017437492690308858, 1.9972629959680086]","[3.114162511993798, -0.002861270709561867, 0.00429916889206788]",True,"[0.0007441252224764938, -0.0017437492690308858, -0.002737004031991397]","[0.0695367751818122, -0.0028471562837135782, -0.0017018014191728956]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[-3.044629917367886, -0.0, -0.0]",apriltag,"[-0.19925587477752352, -0.0017437492690308858, 1.9972629959680086]","[3.114162511993798, -0.002861270709561867, 0.00429916889206788]",True,"[0.0007441252224764938, -0.0017437492690308858, -0.002737004031991397]","[-0.1243885194602637, -0.0026702131477769077, -0.0019703166167600607]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[-2.850704444924072, -0.0, -0.0]",apriltag,"[-0.19876839410023076, -0.0010995288193048323, 1.9947133529434438]","[-2.8498309477027317, -0.006509985649906099, -0.01262168254432736]",True,"[0.0012316058997692558, -0.0010995288193048323, -0.005286647056556237]","[0.0008416759957025391, -0.009326290583429292, 0.0032022626448963854]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[-2.6567789724802573, -0.0, -0.0]",apriltag,"[-0.19906399516562717, -0.001171398781423982, 1.9977894134507541]","[-2.646754870031151, 0.0007324692094926341, -0.002791025760752162]",True,"[0.0009360048343728389, -0.001171398781423982, -0.0022105865492458854]","[0.010022808003368909, -0.001856204259157663, -0.0010117761569510253]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[-2.462853500036443, -0.0, -0.0]",apriltag,"[-0.19900977700541958, -0.0018588608735431037, 1.9962223228188722]","[-2.465307081335832, 0.0031150744120183424, 0.011226882174951323]",True,"[0.0009902229945804308, -0.0018588608735431037, -0.0037776771811277587]","[-0.002474106654886107, 0.008895683561490475, 0.0006122084372950313]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[-2.268928027592629, -0.0, -0.0]",apriltag,"[-0.19896479725145622, -0.0010096536156649792, 1.9973197754667131]","[-2.2619856898407953, -0.0023720492718724458, 0.00369043089449714]",True,"[0.0010352027485437953, -0.0010096536156649792, -0.002680224533286868]","[0.006939525508373144, 0.0018738440690248123, 0.002967699757068906]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",apriltag,"[-0.17048935239540128, -0.0020875057434609602, 1.9973483233393905]","[2.2720114799805726, -0.0004341523116631092, 0.0012332905563297147]",True,"[0.0009392190331701522, -0.0020875057434609602, -0.0026516766606095032]","[0.003083701799718998, -0.001038862760031929, 0.00010198082413211644]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 2.0]","[2.462853500036443, 0.0, 0.0]",apriltag,"[-0.17056059261338033, -0.0010668274743111808, 1.999959846072017]","[2.469545338862955, 0.0038519772403001434, 0.013531049407357219]",True,"[0.0008679788151911005, -0.0010668274743111808, -4.0153927983066495e-05]","[0.0067217450508174756, -0.008774982227305834, 0.006221055687276886]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 2.0]","[2.6567789724802573, 0.0, 0.0]",apriltag,"[-0.17030097401490335, -0.0021338127701331817, 1.9951829673749468]","[2.6420224096241203, -0.0008261141892580064, 0.01631934622341069]",True,"[0.00112759741366808, -0.0021338127701331817, -0.004817032625053175]","[-0.01471501815856766, -0.011765794425474914, 0.0022851099123536805]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 2.0]","[2.8507044449240717, 0.0, 0.0]",apriltag,"[-0.17118359436695788, -0.0020206528570767333, 2.0065685383339193]","[2.885470033151164, 0.004995411194611728, -0.018778981083324854]",True,"[0.0002449770616135549, -0.0020206528570767333, 0.006568538333919349]","[0.03482475846581063, 0.013271582656596306, 0.001526888333893944]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
