imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",apriltag,"[-0.19975972047841528, -0.0006018239202063309, 0.7993147660181921]","[2.849597497702936, -0.0017941875184850087, 1.3184013228194709]",True,"[0.00024027952158472976, -0.0006018239202063309, -0.0006852339818079756]","[-0.0011349008315119696, 0.005996907730694717, -0.0017902262027680038]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",apriltag,"[-0.20002118407614922, -0.0005954703617684989, 0.7995760118822476]","[2.962207873020701, -0.0009020682915005273, 1.0458251984457563]",True,"[-2.1184076149205477e-05, -0.0005954703617684989, -0.0004239881177524607]","[1.4422848959072141e-05, -5.023857968066192e-05, -0.0006039542239355958]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",apriltag,"[-0.1993086595734775, -0.0006036043673394219, 0.798555726808349]","[3.043589343918184, -0.0011072651035657311, 0.7693580746461425]",True,"[0.0006913404265225243, -0.0006036043673394219, -0.0014442731916510798]","[-0.002033935436429424, -0.010372877210649577, -0.0012295943808230715]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",apriltag,"[-0.19992172012883508, -0.0006125665595874215, 0.798209695559257]","[3.113337513921432, -0.0009803519828582227, 0.3888847326223692]",True,"[7.82798711649324e-05, -0.0006125665595874215, -0.001790304440743018]","[-0.00392817756909264, 0.042356819838003164, -0.0012070275093517965]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",apriltag,"[-0.20084575657351691, -0.0006113841794384492, 0.8045163105045612]","[3.1222859646875754, -0.0009591340808379803, 0.32496094435483996]",True,"[-0.0008457565735169037, -0.0006113841794384492, 0.0045163105045611385]","[-0.0024102075437645756, -0.11044624313973206, -0.0007290500393065174]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",apriltag,"[-0.19937943082184306, -0.0006128057661045471, 0.7980318013959098]","[3.132114905825457, -0.0002889274988098883, -0.17861562653762686]",True,"[0.0006205691781569489, -0.0006128057661045471, -0.0019681986040902544]","[-0.004392719512405994, 0.016968164129368073, 2.871918157907374e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",apriltag,"[-0.19954066080029928, -0.0006120363112909584, 0.798480431846287]","[3.104748330652419, 0.0009026520925543505, -0.47145534712649506]",True,"[0.0004593391997007312, -0.0006120363112909584, -0.0015195681537130135]","[-0.0011564554488542038, 0.01050884855718574, 0.0007504083528756436]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",apriltag,"[-0.2000170632954912, -0.0005961417774557631, 0.798916331877238]","[-3.0482019056663203, -0.00015280467108295682, 0.7554685796938132]",True,"[-1.706329549119867e-05, -0.0005961417774557631, -0.0010836681227620604]","[0.001157110052982469, 0.001077072730061657, -0.00018587214469162631]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",apriltag,"[-0.19976705869857742, -0.0005900486710319819, 0.7995009304261012]","[-2.9582919180206697, -0.00015799333865136817, 1.055182731011976]",True,"[0.00023294130142259561, -0.0005900486710319819, -0.0004990695738988915]","[0.0007393469303527268, 0.006499108427840786, -0.0001543189899311188]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",apriltag,"[-0.19958663987125053, -0.0005966628368107049, 0.7992855670683847]","[-2.8504420410983764, -0.0006773134018388923, 1.318776642051281]",True,"[0.0004133601287494848, -0.0005966628368107049, -0.0007144329316153275]","[0.0009630733491229772, -0.006005820797614943, 2.6809457957639465e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
