imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",apriltag,"[-0.1999091690511735, -0.0017087323950686528, 1.9984746497580244]","[-2.9649094595851166, -3.6554039497257776e-07, 1.0341544581160553]",True,"[9.083094882650355e-05, -0.0017087323950686528, -0.0015253502419756426]","[0.0015073076393509626, 1.5438714797059594, 0.0007031533907774657]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",apriltag,"[-0.19986553879096092, -0.0017119893122732577, 1.9989487797980057]","[3.0503022310493875, 0.0008637598840384845, -0.7476661975708393]",True,"[0.00013446120903909398, -0.0017119893122732577, -0.0010512202019943295]","[-0.0011874339934788993, 1.159485198341147, 0.0001981390251190392]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",apriltag,"[-0.19988112743254505, -0.001705568518270938, 1.9991595716755581]","[-3.0545707827562865, -0.0012392913495205605, -0.7138312574819706]",True,"[0.000118872567454964, -0.001705568518270938, -0.0008404283244418664]","[0.004394124181768556, 0.02566797105753381, 0.0019004944993857794]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",apriltag,"[-0.20012212934933812, -0.0017066386462549963, 1.9997936787562565]","[-3.100000358562557, 0.0005175589225292445, -0.48577438819190916]",True,"[-0.0001221293493381126, -0.0017066386462549963, -0.00020632124374353467]","[0.0037704623224993324, -0.019986469931367254, 0.00021888274941802633]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",apriltag,"[-0.19925587477752352, -0.0017437492690308858, 1.9972629959680086]","[3.114162511993798, -0.002861270709561867, 0.00429916889206788]",True,"[0.0007441252224764938, -0.0017437492690308858, -0.002737004031991397]","[-0.027314688134457345, 0.09419576155978127, -0.003165602388695809]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",apriltag,"[-0.19925587477752352, -0.0017437492690308858, 1.9972629959680086]","[3.114162511993798, -0.002861270709561867, 0.00429916889206788]",True,"[0.0007441252224764938, -0.0017437492690308858, -0.002737004031991397]","[-0.02749407707045791, -0.09971749679158244, -0.0005063967637245094]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",apriltag,"[-0.20094160062943234, -0.0017207225377107338, 2.0109348487883225]","[-3.109951762406892, 0.00024155306192038674, 0.44156869469485377]",True,"[-0.0009416006294323265, -0.0017207225377107338, 0.010934848788322515]","[0.00042205172604527794, -0.008802324730205466, -0.00021726261318050073]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",apriltag,"[-0.19986553879096092, -0.0017119893122732577, 1.9989487797980057]","[3.0503022310493875, 0.0008637598840384845, -0.7476661975708393]",True,"[0.00013446120903909398, -0.0017119893122732577, -0.0010512202019943295]","[-0.0008345582694193166, -0.0040675049675875175, 0.0007729883131171832]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",apriltag,"[-0.1999091690511735, -0.0017087323950686528, 1.9984746497580244]","[-2.9649094595851166, -3.6554039497257776e-07, 1.0341544581160553]",True,"[9.083094882650355e-05, -0.0017087323950686528, -0.0015253502419756426]","[0.0014172796168132305, -0.00753198260031283, -0.0005000920988799812]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",apriltag,"[-0.19989899039400116, -0.0017088068624319646, 1.9982652533514293]","[-2.8416740756804693, -0.0001935849488072878, 1.3366134333510995]",True,"[0.00010100960599884745, -0.0017088068624319646, -0.0017347466485706509]","[0.0012001317722178085, 0.006648878249909423, -0.00042359525226931007]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 2.0]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",apriltag,"[-0.17190511806245787, -0.0017114684429304743, 1.9984761429133924]","[2.9577394132561943, 0.0015013706115345202, -1.0555098173675284]",True,"[-0.0004765466338864377, -0.0017114684429304743, -0.0015238570866076273]","[-0.0016124392708972003, 1.5582169795413805, 0.0004179143464994523]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 2.0]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",apriltag,"[-0.17185575126006336, -0.0017129039882933872, 1.999121830204208]","[3.045514480340282, 0.0009953152908938564, -0.7644155205374963]",True,"[-0.0004271798314919306, -0.0017129039882933872, -0.0008781697957920276]","[-0.00183211993874511, 1.1705727616800041, 6.549404928774281e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 2.0]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",apriltag,"[-0.17087082106501258, -0.0017074554114803366, 1.9990502312343454]","[-3.0432709004890905, -0.0006209932457537104, -0.7675609525459958]",True,"[0.0005577503635588454, -0.0017074554114803366, -0.0009497687656545573]","[0.002835230974515594, -0.009312343849283183, 0.001108701211223363]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 2.0]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",apriltag,"[-0.17012583855950697, -0.001701268863709651, 1.9999630642723474]","[-3.1001301801314907, -0.0001365335503318435, -0.4552106546719235]",True,"[0.0013027328690644602, -0.001701268863709651, -3.693572765262054e-05]","[0.008120626366487067, -0.0007000372710199997, 0.0012775740601599205]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.17142857142857143, 0.0, 2.0]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",apriltag,"[-0.17123563129128913, -0.0017555997582264532, 1.997149585424302]","[3.1046253887063338, -0.0024612827807974236, 0.002900197556798204]",True,"[0.0001929401372822992, -0.0017555997582264532, -0.0028504145756980126]","[-0.03685855897279253, 0.09508357762145839, -0.0033761949359315396]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 2.0]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",apriltag,"[-0.17012583855950697, -0.001701268863709651, 1.9999630642723474]","[-3.1001301801314907, -0.0001365335503318435, -0.4552106546719235]",True,"[0.0013027328690644602, -0.001701268863709651, -3.693572765262054e-05]","[0.008266513947445901, -0.38854878694255507, -0.0003132849190487513]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 2.0]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",apriltag,"[-0.16990970103842612, -0.0017086933241058835, 1.9991572800006545]","[-3.064358124432502, -0.00012691794915412193, -0.6833711074339223]",True,"[0.0015188703901453104, -0.0017086933241058835, -0.000842719999345487]","[0.001996023583270475, -0.7297199364046438, -0.00020882123997334828]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 2.0]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",apriltag,"[-0.17092910891925134, -0.0017149835844247345, 2.00010465779408]","[3.0586119855292897, 0.0011431116569736346, -0.7057997067302229]",True,"[0.0004994625093200922, -0.0017149835844247345, 0.00010465779407997644]","[-0.0023512721000764404, -0.031236967708202622, 0.0013316934734211023]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 2.0]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",apriltag,"[-0.17090226800267666, -0.0017116101238942637, 1.9985052979813598]","[2.9724740319688214, 0.0014711656411876693, -1.0130495644540698]",True,"[0.0005263034258947696, -0.0017116101238942637, -0.001494702018640215]","[-0.0008485846658710543, -0.02180994518987935, 0.0012932045735852386]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, 0.0, 2.0]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",apriltag,"[-0.17090440641677215, -0.001710175624082566, 1.9982873358278581]","[2.8492492806803233, 0.0012874038697020368, -1.3228183515500367]",True,"[0.0005241650117992769, -0.001710175624082566, -0.0017126641721418867]","[0.0001252816368981988, -0.003351559185709701, 0.0008459648239286299]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.14285714285714285, 0.0, 2.0]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",apriltag,"[-0.14294966587521776, -0.0017094746861977268, 1.9984596682027043]","[-2.9363389605488, -0.0005242692389471323, 1.1148987800515617]",True,"[-9.25230180749137e-05, -0.0017094746861977268, -0.0015403317972957353]","[0.0005694442406219954, 1.598416872874895, 0.0006762295109344718]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
21.png,"[-0.14285714285714285, 0.0, 2.0]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",apriltag,"[-0.14290785892842411, -0.0017117869315896805, 1.9988470709549542]","[3.026580402952347, 0.0010819413295079649, -0.8385678559007878]",True,"[-5.0716071281264874e-05, -0.0017117869315896805, -0.0011529290450458252]","[-0.0012380078178421368, 1.2193141456237016, 0.0003409314548438728]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
22.png,"[-0.14285714285714285, 0.0, 2.0]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",apriltag,"[-0.14283444936803666, -0.0017097674360070534, 1.9990334162531258]","[-3.051435990980616, 0.00012086459154318549, -0.743027247187702]",True,"[2.269348910619029e-05, -0.0017097674360070534, -0.0009665837468741945]","[0.0009847748954084868, 0.007108638063313357, 0.0001642170338224807]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
23.png,"[-0.14285714285714285, 0.0, 2.0]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",apriltag,"[-0.14228539778351929, -0.0016902793652082268, 2.0023333076847885]","[-3.0972116779286516, -0.00037074715926712173, -0.40175625231534234]",True,"[0.0005717450736235641, -0.0016902793652082268, 0.002333307684788455]","[0.018204444911699164, 0.03289690224994379, 0.0029065140321742618]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
24.png,"[-0.14285714285714285, 0.0, 2.0]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",apriltag,"[-0.14096858828187347, -0.001694693687415325, 1.9792827537293232]","[3.1408030373201665, -4.6646719747560515e-05, 0.04124101394941409]",True,"[0.0018885545752693744, -0.001694693687415325, -0.020717246270676837]","[-0.0005169240448395779, 0.07070279823646378, -5.482310138478781e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
