imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",apriltag,"[-0.1995798209034511, -0.0005613181795814499, 0.7987606197129724]","[-2.846022803217832, 1.3239373120496853, 0.0015505840769806138]",True,"[0.0004201790965489005, -0.0005613181795814499, -0.001239380287027636]","[0.0028629652978097624, -0.00024490665128229576, 0.001839191061620781]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",apriltag,"[-0.1997475121515598, -0.0005988709700384616, 0.7995337081564321]","[-2.960878779031381, 1.0432213393566379, -0.0007484423947855487]",True,"[0.00025248784844020267, -0.0005988709700384616, -0.0004662918435679453]","[0.0020166809394505086, -0.0012176081733738654, 0.0012321216963841817]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",apriltag,"[-0.19943986900645913, -0.000602111640429601, 0.7982670623687741]","[3.0482055492456, -0.7506050058083669, 0.0013103562994209062]",True,"[0.0005601309935408805, -0.000602111640429601, -0.0017329376312259503]","[-0.0024627851589058294, -0.0002509895325189934, 0.001931038854750123]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",apriltag,"[-0.19993143230666868, -0.0005689276928060909, 0.800221290158313]","[-3.1018370057990188, 0.4511857594277877, -0.005890623344470078]",True,"[6.85676933313284e-05, -0.0005689276928060909, 0.00022129015831295895]","[0.006487894306556558, -0.004749022382003109, 0.0019990630680090248]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",apriltag,"[-0.1995605397695152, -0.0006054214911280518, 0.7987869840687428]","[3.136373854523387, -0.1531929503879274, 0.0028889202231063902]",True,"[0.00043946023048480054, -0.0006054214911280518, -0.001213015931257222]","[-0.0015658573258064117, -0.0017661996931684072, -0.0006476286516058228]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",apriltag,"[-0.19950562034179725, -0.0005984843928991337, 0.7985227822444418]","[-3.1369933558348686, -0.15325974400415354, 0.001206719334314131]",True,"[0.0004943796582027593, -0.0005984843928991337, -0.0014772177555582022]","[0.0008192501194988221, 0.0008090845939668936, 0.0006708662480403955]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",apriltag,"[-0.19991381108015582, -0.00059669641335401, 0.8002478957574082]","[-3.1050427813317296, -0.45372091157554006, -0.0077564557569494335]",True,"[8.618891984418786e-05, -0.00059669641335401, 0.0002478957574081342]","[0.004244476104456186, -0.004374552084394117, -0.0006942332194443205]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",apriltag,"[-0.19937067569230446, -0.0005919085373125191, 0.7979521489316481]","[-3.0492889618048586, -0.750700385190728, 0.0035851832005266973]",True,"[0.0006293243076955501, -0.0005919085373125191, -0.0020478510683519247]","[0.0006692156106914195, 0.002517554475424614, -0.0020370360435414386]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",apriltag,"[-0.19975424807721504, -0.0005833644103145739, 0.7994937247926172]","[-2.9607754922031417, -1.0442546302710503, -0.0021550944683969876]",True,"[0.0002457519227849758, -0.0005833644103145739, -0.0005062752073828891]","[0.0023997365981408363, -0.0006087406283337943, -0.0005894197173632786]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",apriltag,"[-0.19958924805381567, -0.0006294785703038955, 0.7989693524647845]","[2.8469808675328068, 1.3247286020474258, 0.002526491813878631]",True,"[0.0004107519461843401, -0.0006294785703038955, -0.0010306475352155342]","[-0.0006750001466322531, -0.002090292015266256, -0.0016396037295996813]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 0.8]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",apriltag,"[-0.1711295888213242, -0.0005603427625230158, 0.7991467708686719]","[-2.846289929038322, 1.3281849701415944, 0.0021382872197836184]",True,"[0.0002989826072472279, -0.0005603427625230158, -0.0008532291313281259]","[0.0011752706513182534, 0.0009542806731138301, -0.0005414184171224923]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 0.8]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",apriltag,"[-0.17119484936039264, -0.000620284794390596, 0.7996442036206386]","[2.961721987193956, -1.0472247624962898, 0.014813209797729049]",True,"[0.0002337220681787877, -0.000620284794390596, -0.0003557963793614505]","[-0.00327575614247123, -0.008844844393161026, -0.0009934291523074948]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 0.8]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",apriltag,"[-0.17081473826629717, -0.0005821766176151112, 0.7978885049438404]","[3.0458086353065443, -0.7527442135264892, -0.01770553974445659]",True,"[0.0006138331622742577, -0.0005821766176151112, -0.0021114950561595958]","[-0.0012667080675974655, 0.011939592302962643, 0.00024159534036798357]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 0.8]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",apriltag,"[-0.1711177534882411, -0.0006561318049241989, 0.7994200316936179]","[3.0959313465940563, -0.45546413967704963, 0.011827567853055092]",True,"[0.0003108179403303324, -0.0006561318049241989, -0.0005799683063821837]","[-0.01328061579821388, -0.005694559822636414, -0.0012501788798495016]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.17142857142857143, 0.0, 0.8]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",apriltag,"[-0.1709426738651209, -0.0006053144724274568, 0.7984812841894044]","[3.134368159568385, -0.15231296009170317, -0.0038029592959591143]",True,"[0.0004858975634505214, -0.0006053144724274568, -0.0015187158105955945]","[-0.0034019877779913367, 0.0025916692458150562, -0.0001498107520608428]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 0.8]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",apriltag,"[-0.17097215149050246, -0.0005769881914957304, 0.7986435219890696]","[-3.1318589618994572, -0.1527337479098155, 0.0013028835421126771]",True,"[0.0004564199380689693, -0.0005769881914957304, -0.0013564780109304175]","[0.005964054543792379, 0.0011213789982557401, 0.0004955707646794967]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 0.8]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",apriltag,"[-0.1711650732126084, -0.0005257133267621907, 0.7994781268410517]","[-3.0924955888227625, -0.4559099658586389, -0.012036862757488347]",True,"[0.00026349821596302614, -0.0005257133267621907, -0.0005218731589483605]","[0.016599314550001014, -0.0053518654223429964, 0.0018523148790556998]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 0.8]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",apriltag,"[-0.17077233720123225, -0.0006099654254730583, 0.7977175204651229]","[-3.0456022559815845, -0.7531398895550193, 0.012605002169905746]",True,"[0.0006562342273391808, -0.0006099654254730583, -0.0022824795348771465]","[0.002173302732826805, 0.00881480869311221, 3.483566693129491e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 0.8]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",apriltag,"[-0.17115794820011618, -0.000550003589738793, 0.7993844294008863]","[-2.9583511298044844, -1.046620323787826, -0.010381727610116277]",True,"[0.00027062322845525233, -0.000550003589738793, -0.0006155705991137683]","[0.005542423084769322, -0.005060259443208899, 0.0013464207742619903]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, 0.0, 0.8]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",apriltag,"[-0.1711415150701962, -0.0006155962395446327, 0.799142518549748]","[-2.8453312203861163, -1.32887547244347, -0.002072156151746519]",True,"[0.00028705635837522614, -0.0006155962395446327, -0.0008574814502519956]","[0.0016802102811847223, -0.0006726283420166486, 0.0011981159903733927]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
