imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",apriltag,"[-0.19909133654163305, -0.0014101352531253701, 1.9982203888494463]","[-2.810940909242571, 1.3142202432280208, -0.022995954564692472]",True,"[0.0009086634583669595, -0.0014101352531253701, -0.001779611150553695]","[0.02864347439452345, -0.029708390121131457, -0.002019105801566295]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",apriltag,"[-0.19881651790871827, -0.0014977647199558794, 1.9945283683819397]","[2.9422339674542313, -1.0292319367165867, -0.03400937252580506]",True,"[0.0011834820912817456, -0.0014977647199558794, -0.005471631618060302]","[-0.01569600097634942, 0.02868041216569659, 0.005722060396361181]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",apriltag,"[-0.19916062523113878, -0.001321254283886012, 1.9992706515672765]","[-2.9601888553594184, 0.7267297336625553, -0.09312099726209308]",True,"[0.0008393747688612285, -0.001321254283886012, -0.0007293484327235422]","[0.07475026482274526, -0.08136084793841342, 0.003330331431821005]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",apriltag,"[-0.19851587536863566, -0.0014848131568880444, 1.9945996866806488]","[-3.066103831265765, 0.45936540072731613, -0.28920667798346056]",True,"[0.001484124631364353, -0.0014848131568880444, -0.005400313319351202]","[0.0005953995751587522, -0.18808763324849084, -0.0065214053156405155]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",apriltag,"[-0.1992876271070767, -0.0014786139388495096, 2.000105470474062]","[3.132868195829882, -0.15090141559439665, 0.03464460938749813]",True,"[0.0007123728929233075, -0.0014786139388495096, 0.00010547047406195276]","[-0.005965875786719913, -0.02182683550884035, 0.0007027505721450218]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",apriltag,"[-0.19904733288254942, -0.0014429266120081757, 1.9973062028661692]","[-3.118745156986795, -0.15121859265025486, 0.009509088984872531]",True,"[0.0009526671174505952, -0.0014429266120081757, -0.0026937971338307776]","[0.018851439448484865, 0.007012486728643797, -6.462438226946594e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",apriltag,"[-0.19859297567294942, -0.0013776044666322321, 1.9927413801748295]","[-3.053009061284844, -0.4615993713069796, -0.02298130815229492]",True,"[0.0014070243270505878, -0.0013776044666322321, -0.007258619825170509]","[0.0553890196125757, -0.00692737187649987, 0.009226073998140159]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",apriltag,"[-0.1991305663796313, -0.0014148859733823724, 1.9998836414191195]","[-3.0010163864917683, -0.74800250712764, -0.15887266732065433]",True,"[0.0008694336203687036, -0.0014148859733823724, -0.00011635858088054896]","[0.0680309545332855, -0.08889778037519364, 0.0037272154224042226]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",apriltag,"[-0.19892999734943054, -0.0015051839486511225, 1.9967142234446513]","[2.962824774615796, 1.0360531372048853, -0.0004933593154444054]",True,"[0.0010700026505694737, -0.0015051839486511225, -0.003285776555348674]","[-0.0027873653079147744, -0.0006506354850414371, -0.005952162838710918]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",apriltag,"[-0.19912963688838545, -0.0014163747891422843, 1.9989416100493835]","[-2.8280930670810798, -1.3283013858068358, -0.08700400328390229]",True,"[0.0008703631116145638, -0.0014163747891422843, -0.0010583899506164673]","[0.037925904414297336, -0.043746530346986764, 0.005532860574576518]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 2.0]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",apriltag,"[-0.1705520833064841, -0.001516351633144558, 1.9994467355861678]","[-2.8388172919353503, 1.324917849921532, -0.03267418393243152]",True,"[0.0008764881220873211, -0.001516351633144558, -0.0005532644138321885]","[-0.0009797288710930567, -0.022558152702579937, -0.0006686022118910604]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 2.0]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",apriltag,"[-0.16941826465036086, -0.0016384181947885757, 1.9866732808826866]","[2.82696287790148, -1.011546273878697, 0.19342301604581658]",True,"[0.002010306778210569, -0.0016384181947885757, -0.013326719117313424]","[-0.16815536223704003, -0.07688217222099814, -0.008486810242778604]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
