imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, -0.2, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19813712520465135, -0.19909986700390417, 0.7926149429650526]","[3.1414146879935982, 3.255638412962318e-05, 0.0016426379844447943]",True,"[0.0018628747953486624, 0.0009001329960958426, -0.0073850570349474065]","[-0.0001775359699438727, -0.0010457949640578005, 2.072721006886931e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, -0.17142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1987893553911942, -0.1715975091508264, 0.795501282852977]","[3.123515601269648, -0.0052793327187033905, 0.020702875730295583]",True,"[0.001210644608805822, -0.00016893772225495818, -0.00449871714702299]","[-0.018004121986999015, -0.013255572423529042, -0.0033802346163085487]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, -0.14285714285714285, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19887687191999004, -0.14298309967585765, 0.7958934233275329]","[3.1233092581730038, -0.005058045635148675, 0.02345545779423879]",True,"[0.0011231280800099719, -0.0001259568187148008, -0.004106576672467166]","[-0.018191407068727225, -0.015018909499565036, -0.00323874853798961]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, -0.1142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19900413012416265, -0.11438223194181651, 0.7964368935496476]","[3.123265835167869, -0.004513145850241856, 0.02595683447213409]",True,"[0.0009958698758373574, -9.651765610221852e-05, -0.0035631064503524046]","[-0.01821591463206524, -0.01662074409856903, -0.002889868652393551]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, -0.08571428571428572, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19917327782531066, -0.08653923944928371, 0.7971657217884874]","[3.1244807452638605, -0.004053192560496035, 0.03127144755975575]",True,"[0.0008267221746893483, -0.0008249537349979963, -0.0028342782115126086]","[-0.0169530806112085, -0.02001589354554497, -0.0025943241244415585]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, -0.057142857142857134, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1992436268330746, -0.05783255216199037, 0.7974697042896395]","[3.1253152799309976, -0.003566792233075605, 0.03211016778103181]",True,"[0.0007563731669254226, -0.0006896950191332338, -0.002530295710360564]","[-0.0161106762956861, -0.02054725792617862, -0.002282386080380052]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, -0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.199412541436146, -0.029098076598743177, 0.7982112902395659]","[3.1271386175235776, -0.0024013572625404857, 0.03807318606583877]",True,"[0.0005874585638540042, -0.0005266480273145961, -0.001788709760434104]","[-0.014221703235968969, -0.024348556627183725, -0.001535715534496016]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19815175960280146, -0.0007002851491840791, 0.7927809122812643]","[3.139037703589898, -0.0005006238427867853, 0.0012281392379307865]",True,"[0.0018482403971985528, -0.0007002851491840791, -0.007219087718735695]","[-0.0025546699024351065, -0.0007824936256805953, -0.0003189662488956815]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19943194309963866, 0.02765136758028048, 0.7982941182617723]","[3.1345030054259793, -4.264557039246736e-05, 0.034830191748093944]",True,"[0.0005680569003613523, -0.0009200609911481014, -0.0017058817382277214]","[-0.0068962814606452205, -0.022222738484391876, -2.720919153140585e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.05714285714285716, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19945037937851748, 0.05643632149841085, 0.7983786328143287]","[3.136287732235068, 0.000895944936846809, 0.03585486111144637]",True,"[0.0005496206214825328, -0.00070653564444631, -0.0016213671856712963]","[-0.005099960164777669, -0.022863476552404602, 0.0005713148906691263]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
