imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, -0.2, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1993606059500955, -0.20179310835271655, 1.9988127274590792]","[3.127566709940017, -0.006227682967603094, 0.0759156791186827]",True,"[0.0006393940499045125, -0.0017931083527165381, -0.0011872725409207696]","[-0.013099821553430457, -0.04853587244015249, -0.003981602083026177]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, -0.17142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19922568901297122, -0.17365753490401376, 1.9973505945201175]","[3.123845577110157, -0.005695974010607885, 0.05684149583969355]",True,"[0.0007743109870287923, -0.002228963475442325, -0.0026494054798824607]","[-0.017225743073953324, -0.03638704547075225, -0.003646273945864009]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, -0.14285714285714285, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19908048926614333, -0.14358578193166663, 1.9955079495372403]","[3.1193732956448184, -0.002626126929350955, 0.004648648593473847]",True,"[0.0009195107338566821, -0.0007286390745237792, -0.004492050462759689]","[-0.02221479953131126, -0.002980376144463359, -0.0016836820196644599]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, -0.1142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1993290158098592, -0.11575838561813408, 1.9983286751508642]","[3.1163836914257477, -0.0033621258286491897, 0.045569678961963546]",True,"[0.0006709841901408053, -0.001472671332419781, -0.0016713248491357913]","[-0.024874883720433727, -0.02924162671857147, -0.0021574439561948375]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, -0.08571428571428572, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19915883442816443, -0.08767330914868893, 1.9962983549185669]","[3.116337476653882, -0.002808390680089986, 0.005290381371495383]",True,"[0.0008411655718355837, -0.001959023434403212, -0.0037016450814331137]","[-0.02524943649950127, -0.0033950711871484416, -0.001802268231852375]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, -0.057142857142857134, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19961002777590317, -0.05981837813587725, 2.0018132399354234]","[3.1095183019869697, -0.0033118967133183718, 0.12854513517251698]",True,"[0.0003899722240968406, -0.002675520993020118, 0.001813239935423372]","[-0.029425119968366848, -0.08262544712513264, -0.0021288004902163963]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, -0.02857142857142858, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19939297301715264, -0.029744778765269486, 1.9988857745046296]","[3.113406687820076, -0.0027233999304663308, 0.03514181305305752]",True,"[0.0006070269828473696, -0.0011733501938409052, -0.0011142254953704356]","[-0.027987051498979995, -0.022572070832007476, -0.001749277307962395]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19925587477752352, -0.0017437492690308858, 1.9972629959680086]","[3.114162511993798, -0.002861270709561867, 0.00429916889206788]",True,"[0.0007441252224764938, -0.0017437492690308858, -0.002737004031991397]","[-0.02742587216287333, -0.002760867779429656, -0.0018374691268422164]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.02857142857142858, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1994713099011316, 0.02629190240149806, 1.9998183105312037]","[3.1092847952989606, -0.003575102026885857, 0.05345813788369491]",True,"[0.0005286900988684118, -0.0022795261699305215, -0.00018168946879626446]","[-0.031847858180746674, -0.034379822694207696, -0.00229920791602296]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.05714285714285716, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19933022439383458, 0.05625974795992627, 1.9980009331218296]","[3.114013291737277, -0.0028231902221656892, 0.003394205139501732]",True,"[0.0006697756061654347, -0.0008831091829308926, -0.001999066878170419]","[-0.027576241523784763, -0.0021798158527811524, -0.001813100431106212]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
