imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.6000000000000001]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.2004812836820773, -0.0004826392266460701, 0.6012172657534091]","[3.1402519666525417, -0.0010287157039820085, 0.025419375677048658]",True,"[-0.00048128368207728256, -0.0004826392266460701, 0.0012172657534089693]","[-0.0012376526454982032, -0.016189029811251723, -0.0006551659415500298]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.6285714285714286]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19894318611548942, -0.0005636014843974409, 0.6245870209767473]","[3.1386554723442295, -0.0007404048316201176, -0.022912459124829306]",True,"[0.0010568138845105934, -0.0005636014843974409, -0.003984407594681216]","[-0.0028534889250531057, 0.014599905186745442, -0.00047178874526601]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.6571428571428573]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19955961169704978, -0.0005027641351221053, 0.6564142246871942]","[3.1380093275125045, 0.0003407012944773331, -0.006258927311322287]",True,"[0.00044038830295023423, -0.0005027641351221053, -0.0007286324556630142]","[-0.0035770680843979336, 0.003989097328833818, 0.00021714433738049358]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.6857142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19957674950650497, -0.000577525081052305, 0.6837632817423098]","[3.1327654296562586, -0.00291492248128658, 0.003738019456315397]",True,"[0.0004232504934950365, -0.000577525081052305, -0.0019510039719758954]","[-0.008823641084029115, -0.002386385086953212, -0.0018609126090059656]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.7142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19971263952803892, -0.0005934814491214956, 0.7133656495872646]","[3.1330685019075672, -0.0016958664281595984, 0.001929123774673059]",True,"[0.0002873604719610956, -0.0005934814491214956, -0.0009200646984497407]","[-0.008523099758549228, -0.0012314519539855617, -0.0010825526355920754]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.7428571428571429]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20067213582697555, -0.0006653367299740852, 0.7450624062141266]","[3.133992747613198, -0.0005651959435070233, 0.03591143467262816]",True,"[-0.000672135826975534, -0.0006653367299740852, 0.0022052633569836777]","[-0.007394274702844462, -0.022916261744552264, -0.000360670028820605]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.7714285714285715]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1990631190122844, -0.0006763233978964293, 0.768847931438814]","[3.1347829454573737, -0.0007377403143821761, 0.004538815565761023]",True,"[0.0009368809877156048, -0.0006763233978964293, -0.0025806399897574384]","[-0.006806337916213342, -0.0028957633539976567, -0.0004706781617808297]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19815175960280146, -0.0007002851491840791, 0.7927809122812643]","[3.139037703589898, -0.0005006238427867853, 0.0012281392379307865]",True,"[0.0018482403971985528, -0.0007002851491840791, -0.007219087718735695]","[-0.0025546699024351065, -0.0007824936256805953, -0.0003189662488956815]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8285714285714286]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.2006540488669049, -0.0007554604821675675, 0.831509442869683]","[3.129170204935837, -0.0013234757872508387, 0.03922827470262117]",True,"[-0.0006540488669048994, -0.0007554604821675675, 0.0029380142982543545]","[-0.0121766086486439, -0.025071012633792224, -0.0008458408745788337]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8571428571428572]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.2006219411495164, -0.000680890984114063, 0.8599398270286344]","[3.1352667380399915, -0.002580779269500138, 0.05577542979738312]",True,"[-0.0006219411495163862, -0.000680890984114063, 0.0027969698857771563]","[-0.005829086971137205, -0.03557552276753327, -0.001646111414893796]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
