imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 1.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19756677106014944, -0.0015512397243975134, 1.7834461786366873]","[3.1238877529592424, -0.00209927310309324, 0.002895642906611101]",True,"[0.002433228939850568, -0.0015512397243975134, -0.016553821363312737]","[-0.017702857098655836, -0.0018538220625352268, -0.0013439774583101614]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 1.8285714285714285]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.20028807650596386, -0.0016588732049763767, 1.8336039791819776]","[3.074064278530603, -0.0060054216226591815, 0.06147865987174586]",True,"[-0.00028807650596385237, -0.0016588732049763767, 0.00503255061054908]","[-0.06691231168085185, -0.039977988023309374, -0.0039051709033093122]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 1.8571428571428572]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19937430030323428, -0.0015997456155017146, 1.8498964604756338]","[3.1294324909147013, -0.0007081815344249789, -0.00039413890154155055]",True,"[0.0006256996967657358, -0.0015997456155017146, -0.007246396667223376]","[-0.01216005786123807, 0.0002518885051418686, -0.00045258863658901585]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 1.8857142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19638994758935346, -0.0015696697068390123, 1.8519753563532855]","[-3.0909732441026434, -0.0015433999639243674, -0.4932128390052119]",True,"[0.003610052410646547, -0.0015696697068390123, -0.0337389293610002]","[0.011564672809247644, -0.31645971621780955, 0.0009902903492521027]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 1.9142857142857144]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1985743962459998, -0.0016632747745232638, 1.9048668881689217]","[3.1154900503278196, -0.002504701045593965, 0.057237963762903785]",True,"[0.0014256037540002209, -0.0016632747745232638, -0.009418826116792678]","[-0.025577292574637523, -0.03673797190173462, -0.0016076329517318254]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 1.9428571428571428]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.197324245546044, -0.001700974510944996, 1.9203809363325404]","[3.0975411657241607, -0.003181779168747653, 0.003089772533782483]",True,"[0.002675754453956014, -0.001700974510944996, -0.02247620652460247]","[-0.04404832775030763, -0.0019946600626082178, -0.00205405665515781]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 1.9714285714285715]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.2003450644381434, -0.0017607002918913848, 1.9791591003654598]","[3.087084713949488, -0.004545841523315447, 0.05929265945539099]",True,"[-0.0003450644381433887, -0.0017607002918913848, 0.0077305289368883034]","[-0.05393857238338182, -0.03839930520891071, -0.002943992691312116]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19925587477752352, -0.0017437492690308858, 1.9972629959680086]","[3.114162511993798, -0.002861270709561867, 0.00429916889206788]",True,"[0.0007441252224764938, -0.0017437492690308858, -0.002737004031991397]","[-0.02742587216287333, -0.002760867779429656, -0.0018374691268422164]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0285714285714285]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19612152190428772, -0.001709721637978737, 1.9995300670925464]","[-3.102085860331966, 0.00010587664103072464, -0.4881919095380104]",True,"[0.00387847809571229, -0.001709721637978737, -0.029041361478882033]","[0.0013324583498638238, -0.3121901593664264, -6.770625401767533e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.057142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1996474262998864, -0.0016030421618848196, 2.0544634138882283]","[-3.005923226421232, -0.007890596562649328, -0.17579142172997222]",True,"[0.0003525737001136009, -0.0016030421618848196, -0.002679443254628655]","[0.13059751328040758, -0.1166640254182312, 0.005236596580713459]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.2, 0.0, 2.085714285714286]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19928240054261834, -0.0018057484067235674, 2.081035325131527]","[3.121110381843443, -0.0010735752679737428, -0.00024631486666640864]",True,"[0.0007175994573816735, -0.0018057484067235674, -0.004678960582758851]","[-0.02048207781200727, 0.00015783244754062118, -0.0006879203616761729]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.2, 0.0, 2.1142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19595864148255726, -0.0017749309472954707, 2.082760345197909]","[-3.0970529486546283, -0.0006147792610110776, -0.4873825750861223]",True,"[0.00404135851744275, -0.0017749309472954707, -0.031525369087805455]","[0.006450699206649604, -0.31217823605473743, 0.0003937783480083781]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.2, 0.0, 2.142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1992668807696442, -0.0016520995215613206, 2.1387165856077903]","[-2.980121487107844, -0.010434885935425185, -0.17159449703934693]",True,"[0.000733119230355822, -0.0016520995215613206, -0.004140557249352472]","[0.15660334223029096, -0.11479688081688501, 0.006980948560326599]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.2, 0.0, 2.1714285714285713]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1991686460351653, -0.0019011241939235692, 2.1708384540702976]","[3.1041322896245616, -0.002773990745639522, 0.0034347415303176716]",True,"[0.000831353964834719, -0.0019011241939235692, -0.0005901173582736341]","[-0.03745723683254649, -0.002212752095287387, -0.0017870788181706262]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.2, 0.0, 2.2]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.19708694154847722, -0.0018585300503222092, 2.1714519210623564]","[3.14158990518413, -3.890315413279072e-07, 0.0004538161332484442]",True,"[0.0029130584515227875, -0.0018585300503222092, -0.028548078937643773]","[-2.7156278049687824e-06, -0.00028890857418576067, -2.476653862298797e-07]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 1.8]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.16903632689984388, -0.0015266523366144413, 1.7836943714574287]","[3.1415899455834895, -4.0004524197983515e-07, 0.0004666768752941328]",True,"[0.0023922445287275496, -0.0015266523366144413, -0.016305628542571338]","[-2.6733443321888983e-06, -0.0002970959800258297, -2.546769285402281e-07]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 1.8285714285714285]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17076402663325546, -0.0016853206518821849, 1.8320604910800051]","[3.053588415063895, -0.005871163415321477, 0.052405308144858984]",True,"[0.0006645447953159689, -0.0016853206518821849, 0.0034890625085766125]","[-0.0875532901135068, -0.03429841683344786, -0.0038425804034841844]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 1.8571428571428572]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.16964280428605735, -0.0016224750492262329, 1.8490448423139174]","[3.1120547619348162, -0.0029195704137049195, 0.005259766915171746]",True,"[0.0017857671425140775, -0.0016224750492262329, -0.008098014828939792]","[-0.029532095719111445, -0.0033800035592387962, -0.0018761588771750142]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 1.8857142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1668330052734143, -0.0015670738072935564, 1.852772383248146]","[-3.096016710330357, -0.0007423366561048767, -0.44561077726667986]",True,"[0.0045955661551571325, -0.0015670738072935564, -0.032941902466139705]","[0.013718453817994105, -0.2858928130065562, 0.00047626477104861705]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, 0.0, 1.9142857142857144]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.16985533745487313, -0.0017015951843033605, 1.903705391448253]","[3.0852051657693123, -0.0030270469081915452, 0.04779249106042721]",True,"[0.0015732339736982959, -0.0017015951843033605, -0.010580322837461464]","[-0.05601810028476274, -0.03097113737789133, -0.0019616279369992617]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.17142857142857143, 0.0, 1.9428571428571428]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.1685304308795067, -0.001665026006123705, 1.920563142166942]","[3.1252720076626734, -0.0015423068383255112, 0.0022302871283838926]",True,"[0.0028981405490647316, -0.001665026006123705, -0.02229400069020082]","[-0.01631947161469071, -0.001427227495459908, -0.0009869683136668845]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
21.png,"[-0.17142857142857143, 0.0, 1.9714285714285715]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17319547704460667, -0.0017724320892609244, 1.9968772932835004]","[3.091000561309498, -0.003055529655660924, 0.0033509997671911347]",True,"[-0.0017669056160352359, -0.0017724320892609244, 0.025448721854928857]","[-0.050588783760276965, -0.002167765811236592, -0.0019766258379401032]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
22.png,"[-0.17142857142857143, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17123563129128913, -0.0017555997582264532, 1.997149585424302]","[3.1046253887063338, -0.0024612827807974236, 0.002900197556798204]",True,"[0.0001929401372822992, -0.0017555997582264532, -0.0028504145756980126]","[-0.03696494388945766, -0.001868093890715394, -0.001585377284162227]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
23.png,"[-0.17142857142857143, 0.0, 2.0285714285714285]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.16820319247251325, -0.0016921907812649693, 2.000825758200206]","[-3.0937001417705248, -0.0011284158408118724, -0.444747478849272]",True,"[0.003225378956058178, -0.0016921907812649693, -0.02774567037122244]","[0.01614233953864234, -0.28555548962328847, 0.0007245130174890123]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
24.png,"[-0.17142857142857143, 0.0, 2.057142857142857]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17141880674216936, -0.0018170092916295639, 2.0598726510563834]","[3.095695555029812, -0.0035294690098183834, 0.051794279697086595]",True,"[9.764686402069511e-06, -0.0018170092916295639, 0.002729793913526457]","[-0.04546396068696622, -0.033453228098999005, -0.00227963652635648]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
25.png,"[-0.17142857142857143, 0.0, 2.085714285714286]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.17004600009234486, -0.0018196735523753978, 2.0802618123481538]","[3.1089519599781696, -0.0028338195151527247, 0.004511162180068966]",True,"[0.0013825713362265735, -0.0018196735523753978, -0.005452473366132082]","[-0.03263614516667695, -0.0029017864581278464, -0.00182284271006255]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
26.png,"[-0.17142857142857143, 0.0, 2.1142857142857143]","[3.141592653589793, 0.0, 0.0]",apriltag,"[-0.16803946793049582, -0.0017810871417108284, 2.0809695092745013]","[3.1415898532071616, -3.530560650350042e-07, 0.00041183548876513887]",True,"[0.003389103498075613, -0.0017810871417108284, -0.03331620501121302]","[-2.77338856941568e-06, -0.0002621828473155502, -2.2476267081898534e-07]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
