imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.20235259399206904, -0.0006069934161972521, 0.807493383090418]","[2.2561137522107604, -0.00027690648331694636, 0.013064468047730529]",True,"[-0.002352593992069024, -0.0006069934161972521, 0.0074933830904179155]","[-0.01278930164297574, -0.009578039056636558, 0.0042215784225279026]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.462853500036443, 0.0, 0.0]",aruco,"[-0.20148210802578007, -0.00040791769782527883, 0.8049181781959593]","[2.4650855956315194, 2.458697824521368e-06, 0.0006790422530016633]",True,"[-0.0014821080257800545, -0.00040791769782527883, 0.0049181781959593]","[0.002232165318245691, -0.0004894418191613835, 0.00017478213598375494]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[2.6567789724802573, 0.0, 0.0]",aruco,"[-0.20149326752181682, -0.0005770678850722491, 0.8044352466184819]","[2.655552931401868, -0.00032625316299968974, 0.0022528486729783484]",True,"[-0.0014932675218168046, -0.0005770678850722491, 0.004435246618481825]","[-0.0012252367701537403, -0.0016559502289652409, 0.0001637888554931052]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[2.8507044449240717, 0.0, 0.0]",aruco,"[-0.2018582195600399, -0.000537120675276914, 0.806206649901339]","[2.854371143765472, 0.001162882601604839, -0.005177955983729136]",True,"[-0.0018582195600398976, -0.000537120675276914, 0.006206649901338901]","[0.003671138478026545, 0.0036697028827152598, 0.0002774931877482045]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.0446299173678857, 0.0, 0.0]",aruco,"[-0.20137509965396944, -0.0003510751384906425, 0.8039238542615628]","[3.0595878270464754, 0.002772627616977504, -0.02066338398612105]",True,"[-0.001375099653969425, -0.0003510751384906425, 0.00392385426156272]","[0.015026809517092827, 0.013567786432131492, 0.001154716945403229]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[-3.044629917367886, -0.0, -0.0]",aruco,"[-0.20136379591799075, -0.0006414054441128381, 0.8038758407136831]","[-3.0577255827780196, 0.0024012587162558817, 0.02103227860732908]",True,"[-0.00136379591799074, -0.0006414054441128381, 0.0038758407136830764]","[-0.013166725977612337, 0.013804518253904666, -0.0009012847100140001]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[-2.850704444924072, -0.0, -0.0]",aruco,"[-0.20183902559633324, -0.00045917804406943997, 0.8061254228286558]","[-2.852863919311557, 0.0008819283476986584, 0.005804789942270596]",True,"[-0.001839025596333227, -0.00045917804406943997, 0.006125422828655802]","[-0.0021649102725570706, 0.004073268009650093, -2.172681662149653e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[-2.6567789724802573, -0.0, -0.0]",aruco,"[-0.20147818984992988, -0.00041752926493940503, 0.8043714685553479]","[-2.6542369479007393, -0.0005592895794808639, -0.001734494011740707]",True,"[-0.0014781898499298673, -0.00041752926493940503, 0.004371468555347868]","[0.0025415089334123843, -0.0013294403874847956, 9.256918166144075e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[-2.462853500036443, -0.0, -0.0]",aruco,"[-0.20147095978470655, -0.0005872932109558173, 0.8048709255110322]","[-2.463846452498357, -0.00021198292274250252, -0.00027026255557111196]",True,"[-0.0014709597847065436, -0.0005872932109558173, 0.004870925511032187]","[-0.0009929703050182723, -0.0002491301385020212, 8.415508187066011e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[-2.268928027592629, -0.0, -0.0]",aruco,"[-0.20215959393512128, -0.0005866327212383182, 0.8066675711826541]","[-2.2590584121394017, -0.0031105238030948224, -0.006352917867005729]",True,"[-0.0021595939351212734, -0.0005866327212383182, 0.006667571182654042]","[0.009862300989720891, -0.005661508747378565, 0.00010745646470480146]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 0.8]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.17328894978672077, -0.00020176346180768182, 0.8071350059523238]","[2.255289365297983, -0.009007646934766324, 0.007975371469692521]",True,"[-0.0018603783581493394, -0.00020176346180768182, 0.0071350059523237475]","[-0.013617490329199707, -0.008840608041887833, -0.0038400285742848494]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 0.8]","[2.462853500036443, 0.0, 0.0]",aruco,"[-0.17295891278599115, -0.0002080858406753526, 0.8049242526552937]","[2.4585896988517915, -0.004707666728912275, -0.0020303276348801803]",True,"[-0.0015303413574197233, -0.0002080858406753526, 0.004924252655293615]","[-0.004259822463351745, 0.00026626595505508906, -0.003920675815598429]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 0.8]","[2.6567789724802573, 0.0, 0.0]",aruco,"[-0.17344617275150798, -0.0005534778894626984, 0.8076289576764597]","[2.662121599125341, -0.001558818516316088, 0.0062516218431563]",True,"[-0.0020176013229365464, -0.0005534778894626984, 0.007628957676459658]","[0.005349062617891042, -0.004702082421624554, -9.199362797914928e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 0.8]","[2.8507044449240717, 0.0, 0.0]",aruco,"[-0.17311824092990602, -0.000541941365334948, 0.8055342615729341]","[2.8515551102674697, 0.00214890431704008, -0.011707433553881425]",True,"[-0.0016896695013345897, -0.000541941365334948, 0.005534261572934018]","[0.0008730118437973535, 0.008255395259105085, 0.0002980309836485794]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.17142857142857143, 0.0, 0.8]","[3.0446299173678857, 0.0, 0.0]",aruco,"[-0.17280548008569377, -0.00034002318282596135, 0.8044952895572024]","[3.061743069862981, 0.0023358764073229525, -0.04219528458671794]",True,"[-0.0013769086571223388, -0.00034002318282596135, 0.004495289557202353]","[0.017396113044857442, 0.027581234402816804, 0.00018813154950117193]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 0.8]","[-3.044629917367886, -0.0, -0.0]",aruco,"[-0.17279736587568006, -0.0006465108327647062, 0.8044544074788367]","[-3.0599543048465194, 0.0020151473423160003, 0.04251779952705149]",True,"[-0.0013687944471086344, -0.0006465108327647062, 0.004454407478836631]","[-0.015611561114076963, 0.02779648513657305, 3.1171741428914395e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 0.8]","[-2.850704444924072, -0.0, -0.0]",aruco,"[-0.17310498245934167, -0.00044686004760176887, 0.805467487365225]","[-2.8501023773335334, 0.0019121686646813628, 0.012289852712925563]",True,"[-0.0016764110307702362, -0.00044686004760176887, 0.0054674873652249545]","[0.0005776614895764269, 0.008634996476444622, -7.691866143182894e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 0.8]","[-2.6567789724802573, -0.0, -0.0]",aruco,"[-0.17343646104222601, -0.0004382295137752596, 0.8075797985069516]","[-2.6608315033644927, -0.0017513635974352978, -0.0057798679867896025]",True,"[-0.0020078896136545843, -0.0004382295137752596, 0.007579798506951563]","[-0.004058187007152965, -0.004403031985721739, 0.0002283256313437955]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 0.8]","[-2.462853500036443, -0.0, -0.0]",aruco,"[-0.17316372436325742, -0.0005946133769294962, 0.8067670780925994]","[-2.466259565726364, 0.0018794184682728522, 0.005959568711564807]",True,"[-0.001735152934685985, -0.0005946133769294962, 0.0067670780925993546]","[-0.00341196905308002, 0.004778600529269715, 0.00016196061217874276]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, 0.0, 0.8]","[-2.268928027592629, -0.0, -0.0]",aruco,"[-0.17353159386285155, -0.0005935620326872092, 0.8091753544530946]","[-2.2613348356873555, -0.002700596970786421, -0.0054672423563533875]",True,"[-0.002103022434280122, -0.0005935620326872092, 0.009175354453094586]","[0.0075877579800999, -0.004877946843366866, 0.00010963239787746589]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
20.png,"[-0.14285714285714285, 0.0, 0.8]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.14456923440037378, -0.00020116325407218817, 0.8063473559737335]","[2.254488435561762, -0.006903405123288494, 0.003433082111234546]",True,"[-0.0017120915432309314, -0.00020116325407218817, 0.006347355973733482]","[-0.014430896137949123, -0.0048308726211439505, -0.0038507392358279684]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
21.png,"[-0.14285714285714285, 0.0, 0.8]","[2.462853500036443, 0.0, 0.0]",aruco,"[-0.14467559161240537, -0.0003907020778480903, 0.807379783340384]","[2.468379455922377, 0.0007918075948147286, -0.0020010074824402943]",True,"[-0.0018184487552625195, -0.0003907020778480903, 0.007379783340383916]","[0.005526655751111065, 0.001644630872228748, 6.158445919396665e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
22.png,"[-0.14285714285714285, 0.0, 0.8]","[2.6567789724802573, 0.0, 0.0]",aruco,"[-0.14428808734186888, -0.0007714952862809051, 0.8069491168833963]","[2.65190283697388, -0.005392543114705616, 0.00018861940333020095]",True,"[-0.0014309444847260266, -0.0007714952862809051, 0.006949116883396278]","[-0.004871613335063104, -0.0010810823021826454, -0.0037971424217955805]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
23.png,"[-0.14285714285714285, 0.0, 0.8]","[2.8507044449240717, 0.0, 0.0]",aruco,"[-0.14449165600758454, -0.0005114514330375317, 0.807734583484919]","[2.8609440890542377, -0.0008035854862505393, 0.007294551966826677]",True,"[-0.001634513150441691, -0.0005114514330375317, 0.007734583484918955]","[0.010248123185252617, -0.00507659762689059, 0.0001814340893993505]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
