imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.2054562401846933, -0.0018336925034693565, 2.045770202110559]","[2.2578500826107173, -0.011246654988181382, 0.023911719779380492]",True,"[-0.0054562401846932895, -0.0018336925034693565, 0.045770202110559044]","[-0.010975849719455678, -0.021158390882735887, -6.998360192347505e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.462853500036443, 0.0, 0.0]",aruco,"[-0.20510656785758133, -0.0008116547576391619, 2.0419698864060765]","[2.4583316612891286, -0.0015005133152088915, 0.004370027252152743]",True,"[-0.005106567857581318, -0.0008116547576391619, 0.04196988640607646]","[-0.004518607012000817, -0.0035416579015515536, 3.052304255430075e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[2.6567789724802573, 0.0, 0.0]",aruco,"[-0.20550729584952868, -0.001746093474434239, 2.0458579265195675]","[2.6468652220493847, -0.00478706713394885, 0.019566773144367024]",True,"[-0.005507295849528665, -0.001746093474434239, 0.04585792651956755]","[-0.00985066839866704, -0.014757468842796802, 3.640779640118043e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[2.8507044449240717, 0.0, 0.0]",aruco,"[-0.20435881045133347, -0.0015727282605653896, 2.0337143798631145]","[2.843585439198455, 0.008175279705685755, -0.051480481295778334]",True,"[-0.004358810451333461, -0.0015727282605653896, 0.03371437986311454]","[-0.006689807725602292, 0.036250263747665115, 0.00043662977538258036]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.0446299173678857, 0.0, 0.0]",aruco,"[-0.2051292218094115, -0.0012319533959956855, 2.0417021441887515]","[-3.140608704380289, -7.66405407113077e-05, -0.002900294507101984]",True,"[-0.005129221809411499, -0.0012319533959956855, 0.04170214418875151]","[0.09794531785994258, -0.0018431637855194597, 0.0001383122804504339]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[-3.044629917367886, -0.0, -0.0]",aruco,"[-0.2051292218094115, -0.0012319533959956855, 2.0417021441887515]","[-3.140608704380289, -7.66405407113077e-05, -0.002900294507101984]",True,"[-0.005129221809411499, -0.0012319533959956855, 0.04170214418875151]","[-0.09598009940038471, -0.0018478668532560018, -4.077504390941777e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[-2.850704444924072, -0.0, -0.0]",aruco,"[-0.2043526412694127, -0.0008822957174323684, 2.033650658993028]","[-2.8422826568771264, 0.008046817256141797, 0.051815145158725796]",True,"[-0.004352641269412677, -0.0008822957174323684, 0.03365065899302788]","[0.007987349601005429, 0.03648075055871847, -0.0003146081143006114]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[-2.6567789724802573, -0.0, -0.0]",aruco,"[-0.20550481147068445, -0.000723631030261353, 2.0458319206297646]","[-2.6456456366826604, -0.004859067830151721, -0.01932404944607984]",True,"[-0.005504811470684434, -0.000723631030261353, 0.0458319206297646]","[0.01107159978483193, -0.014602004813624132, 5.749999467662622e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[-2.462853500036443, -0.0, -0.0]",aruco,"[-0.20510466100827315, -0.0016533129389849387, 2.0419493005589975]","[-2.457124064363643, -0.0015793226944024877, -0.00419597173451325]",True,"[-0.0051046610082731425, -0.0016533129389849387, 0.04194930055899748]","[0.005726392283872156, -0.003436908562269065, 7.087687526533095e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[-2.268928027592629, -0.0, -0.0]",aruco,"[-0.2054552171021443, -0.0006357954567351483, 2.04575985780846]","[-2.2566492918077015, -0.011308982554078667, -0.023777505094437944]",True,"[-0.0054552171021442775, -0.0006357954567351483, 0.04575985780846015]","[0.012177352195289492, -0.021087333494901585, 0.00016067201141239866]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 2.0]","[2.2689280275926285, 0.0, 0.0]",aruco,"[-0.17661292618536537, -0.0018313667823929237, 2.043151875603372]","[2.2568893522937215, -0.0038759058412573687, 0.008305107660008734]",True,"[-0.005184354756793935, -0.0018313667823929237, 0.04315187560337197]","[-0.012026391871111349, -0.0073400972963469065, -2.3013219591742495e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 2.0]","[2.462853500036443, 0.0, 0.0]",aruco,"[-0.17791818465382012, -0.0008027569743475179, 2.0639305674725503]","[2.4721146639834046, -0.0013277238380959753, 0.004040475606123905]",True,"[-0.006489613225248686, -0.0008027569743475179, 0.06393056747255033]","[0.009263895874451306, -0.0032490602473396824, 7.110011160588673e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 2.0]","[2.6567789724802573, 0.0, 0.0]",aruco,"[-0.17438725362973143, -0.0012573388420633429, 2.0228383925406277]","[2.6054928774713813, -0.016543313307689902, 0.00778737309549864]",True,"[-0.0029586822011599956, -0.0012573388420633429, 0.022838392540627694]","[-0.05123373213379848, -0.008535890358105232, -0.010504725610969358]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
