imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",aruco,"[-0.20090094910116477, -0.0004963817815489219, 0.8021493297511793]","[-2.844203616935495, 0.00032813937987133184, -1.3332284832703145]",True,"[-0.0009009491011647552, -0.0004963817815489219, 0.0021493297511792075]","[0.00046506971962936134, -0.004013127531571071, -1.3660751554065832e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",aruco,"[-0.20250410995228535, -0.000500277650605561, 0.807790017279665]","[-2.9615913024628013, 0.0002497467459243279, -1.0470830791007877]",True,"[-0.0025041099522853383, -0.000500277650605561, 0.007790017279664996]","[0.000382870692368487, -0.0009361255570870135, -3.346527700585118e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",aruco,"[-0.2022444126795569, -0.0005012579338110693, 0.8084267081289838]","[-3.0513175946680984, 0.0001876848975016187, -0.7469113843359904]",True,"[-0.002244412679556884, -0.0005012579338110693, 0.008426708128983718]","[0.00021234244276211543, 0.004688141571257652, -7.058425448037988e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",aruco,"[-0.20174371964807228, -0.0005012358312479017, 0.8048608517458833]","[3.0980019477517438, -0.0002502422453097824, 0.518603742182574]",True,"[-0.0017437196480722672, -0.0005012358312479017, 0.004860851745883243]","[-0.00045545108616605915, -0.04083488215095473, -0.00022775889046018963]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",aruco,"[-0.2023782877660529, -0.0004981548934304596, 0.8075882789588669]","[-3.1373778204395877, -0.0001693776767584056, -0.14042560234369844]",True,"[-0.0023782877660528945, -0.0004981548934304596, 0.007588278958866823]","[0.0010672661385041481, 0.007504628374438293, 0.00015977627896960125]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",aruco,"[-0.20192718885757732, -0.0004980185544663068, 0.8066045580565478]","[-3.136220101401586, -0.0002208814973642793, 0.16808480426699426]",True,"[-0.001927188857577311, -0.0004980185544663068, 0.006604558056547805]","[0.0008773423998635812, 0.010124227960048733, 9.825449065489348e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",aruco,"[-0.2019895592110051, -0.0004981245661782332, 0.8064693778379493]","[-3.104116218298013, -0.000289079810987883, 0.4788495219014964]",True,"[-0.0019895592110050764, -0.0004981245661782332, 0.006469377837949208]","[0.0007779237168234494, 0.015224335263374652, 7.209545958060066e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",aruco,"[-0.20263654396257427, -0.0004990596501182344, 0.8079011251375192]","[-3.0486703805397855, -0.00035515029774493655, 0.755555326464957]",True,"[-0.0026365439625742615, -0.0004990596501182344, 0.007901125137519172]","[0.0007263377367317695, 0.0010589263059026582, 5.3355532394045116e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",aruco,"[-0.20233826550052617, -0.000498992505169445, 0.8079364771933403]","[-2.956592858997205, -0.00042808625601616356, 1.0602753930826088]",True,"[-0.0023382655005261543, -0.000498992505169445, 0.00793647719334023]","[0.0006879585182693286, 0.009916839066985891, 4.6203078561769474e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",aruco,"[-0.20076574750050535, -0.0004953556814816453, 0.8021503950931411]","[-2.844609114043058, -0.0004916817258111234, 1.3319673695182443]",True,"[-0.0007657475005053427, -0.0004953556814816453, 0.0021503950931410776]","[0.0006611664044576495, 0.0031764581006612637, 3.713041774702276e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
