imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, -8.129783647422282e-17, 1.3276944263574697]",aruco,"[-0.2058887385583325, -0.0012334883131037127, 2.043771356367238]","[-2.9620439083511703, -0.0003570005106989956, 1.0450368207045189]",True,"[-0.005888738558332496, -0.0012334883131037127, 0.043771356367237946]","[0.0005005336225176459, 1.5510153591044014, 0.0005112434933946025]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, -6.403759147459284e-17, 1.0458132339737192]",aruco,"[-0.20576787679983488, -0.001233222216500432, 2.0432799154068637]","[-3.049151355136931, -0.000274822530828999, 0.7538146897758826]",True,"[-0.00576787679983487, -0.001233222216500432, 0.04327991540686371]","[0.0005808982347113934, 1.163462238613122, 0.00040154642345148066]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[3.0497420651933687, -4.6175751186822903e-17, 0.7541072449456]",aruco,"[-0.20655786588029232, -0.0012329597270921283, 2.042774091933695]","[-3.114061351343946, -0.0001782464532009316, 0.4096259588280296]",True,"[-0.006557865880292307, -0.0012329597270921283, 0.04277409193369497]","[0.0006732332649432352, 0.7463933415554667, 0.000286147658156759]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, -2.788011703359603e-17, 0.45531686447075603]",aruco,"[-0.20637048544792752, -0.0012326800756911162, 2.042427734594046]","[-3.1350444227345906, -0.00011901370390280671, 0.19022157805929846]",True,"[-0.00637048544792751, -0.0012326800756911162, 0.04242773459404603]","[0.0007687810961405166, 0.41209135333320535, 0.00018974856998452594]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, -9.322565674334657e-18, 0.15224905141344247]",aruco,"[-0.2051292218094115, -0.0012319533959956855, 2.0417021441887515]","[-3.140608704380289, -7.66405407113077e-05, -0.002900294507101984]",True,"[-0.005129221809411499, -0.0012319533959956855, 0.04170214418875151]","[0.0009794584450052066, 0.09511576577351219, 9.640470803991562e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, 9.322565674334657e-18, -0.15224905141344247]",aruco,"[-0.2051292218094115, -0.0012319533959956855, 2.0417021441887515]","[-3.140608704380289, -7.66405407113077e-05, -0.002900294507101984]",True,"[-0.005129221809411499, -0.0012319533959956855, 0.04170214418875151]","[0.000984220133334653, -0.0988096910236446, 1.129684284543312e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, 2.7880117033596e-17, -0.45531686447075553]",aruco,"[-0.20560023854870607, -0.0012329884492327085, 2.04289284638982]","[-3.1019364738671955, -0.0002012978499065761, 0.493233454201861]",True,"[-0.00560023854870606, -0.0012329884492327085, 0.04289284638982016]","[0.0006982080171070046, 0.024488003468925275, 2.7276826015063123e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.049742065193369, 4.6175751186822903e-17, -0.7541072449455999]",aruco,"[-0.20576787679983488, -0.001233222216500432, 2.0432799154068637]","[-3.049151355136931, -0.000274822530828999, 0.7538146897758826]",True,"[-0.00576787679983487, -0.001233222216500432, 0.04327991540686371]","[0.0006668361547947794, -9.055086548451178e-05, 1.5375628933588258e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, 6.403759147459284e-17, -1.0458132339737192]",aruco,"[-0.2058887385583325, -0.0012334883131037127, 2.043771356367238]","[-2.9620439083511703, -0.0003570005106989956, 1.0450368207045189]",True,"[-0.005888738558332496, -0.0012334883131037127, 0.043771356367237946]","[0.0006457517789670665, -0.00038836178584711735, 1.3098343269847176e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, 8.129783647422282e-17, -1.3276944263574697]",aruco,"[-0.20591928847608465, -0.0012337742433874994, 2.0443245942986557]","[-2.835804887318562, -0.00044231302057469565, 1.3506554380930293]",True,"[-0.005919288476084639, -0.0012337742433874994, 0.04432459429865565]","[0.0006303817172858738, 0.016330252269170144, 1.6802340461517268e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
