imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",aruco,"[-0.2017260778938738, -0.0004970824852071926, 0.8054829869829511]","[-2.847313044818204, 1.3244612299273266, -0.000775661088426964]",True,"[-0.0017260778938738008, -0.0004970824852071926, 0.005482986982951021]","[0.0009763828524793974, -0.0010003710206005515, 0.001883245240660134]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",aruco,"[-0.2012828840497482, -0.0004960085218729462, 0.8037133590642709]","[-2.9620741891318323, 1.0430131365855395, -0.000973058056146502]",True,"[-0.0012828840497481897, -0.0004960085218729462, 0.003713359064270838]","[0.0009710759809059246, -0.0010000145002141037, 0.001610182062562079]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.8]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",aruco,"[-0.20222499383490167, -0.0004983383934581393, 0.8074751634300009]","[-3.0511604787698237, 0.7433819975049497, -0.0011717249408318248]",True,"[-0.0022249938349016563, -0.0004983383934581393, 0.007475163430000875]","[0.0009653281097216091, -0.0010073949980059242, 0.0068476134211203086]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",aruco,"[-0.20151735699937556, -0.0004965968128667249, 0.8046497011742592]","[-3.106697556746121, 0.45944254663029493, -0.0013438963070253188]",True,"[-0.001517356999375552, -0.0004965968128667249, 0.004649701174259113]","[0.0009698812618455892, -0.0010070518765922971, -0.002758893095511263]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",aruco,"[-0.20272773063993577, -0.0004995633848042936, 0.809482652775028]","[-3.1368683664482138, 0.15246456948542478, -0.0015149509713381006]",True,"[-0.002727730639935755, -0.0004995633848042936, 0.009482652775027911]","[0.0009729539790206056, -0.001013103262376864, -0.0001689652206096923]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.8]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",aruco,"[-0.20272773081090076, -0.0004995468851989205, 0.80948265368062]","[-3.136942901624883, -0.15285127485630226, -0.0016639282271339539]",True,"[-0.002727730810900747, -0.0004995468851989205, 0.009482653680619957]","[0.0009778498361515842, -0.0010134042619072635, 0.0004126275995205938]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.8]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",aruco,"[-0.20151735741372398, -0.0004965560082182354, 0.8046497033784084]","[-3.1069208968503528, -0.45986215000921377, -0.001792176674942851]",True,"[-0.0015173574137239687, -0.0004965560082182354, 0.00464970337840831]","[0.0009797354832394493, -0.001009902540405359, 0.003002409754074211]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",aruco,"[-0.20222499425894375, -0.0004982971247749298, 0.8074751656800819]","[-3.051519329934951, -0.743863197818633, -0.0018971855126225724]",True,"[-0.0022249942589437355, -0.0004982971247749298, 0.0074751656800818855]","[0.000985031716429398, -0.0010008791954775839, -0.006604000602478941]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",aruco,"[-0.20128288423783572, -0.0004959899242318422, 0.803713360065645]","[-2.9625677615630663, -1.0435923679036758, -0.00199032956148501]",True,"[-0.0012828842378357075, -0.0004959899242318422, 0.003713360065644933]","[0.0009783718194430295, -0.000998583002384224, -0.0013666815370295211]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",aruco,"[-0.20172607774315274, -0.0004970972744297708, 0.8054829861817483]","[-2.8479195174147605, -1.325165218882645, -0.0020676475978124308]",True,"[-0.0017260777431527263, -0.0004970972744297708, 0.005482986181748251]","[0.0009735141401488274, -0.0009986382064219787, -0.0016396885903510873]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 0.8]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",aruco,"[-0.17273383922749994, -0.0004936701342305627, 0.8054888943500416]","[-2.8472893579417367, 1.324483971586289, -0.0008811251369601956]",True,"[-0.0013052677989285055, -0.0004936701342305627, 0.005488894350041518]","[0.0009587418125738401, -0.0010662593986430244, 0.0018637499349092462]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 0.8]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",aruco,"[-0.17371433508303288, -0.00031693772600024044, 0.8092940941921717]","[2.9613977622789927, -1.0431197218545045, 0.02300894713166426]",True,"[-0.0022857636544614535, -0.00031693772600024044, 0.009294094192171642]","[-0.006545255926760375, -0.01323215471420067, 0.001403006884910436]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 0.8]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",aruco,"[-0.17326231331616088, -0.00044365888201182657, 0.8068005885237735]","[-3.0386194278303957, 0.7418997706392609, 0.02729347743389098]",True,"[-0.0018337418875894462, -0.00044365888201182657, 0.00680058852377341]","[0.017386829066139475, 0.01367741951321474, 0.005870003264426167]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 0.8]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",aruco,"[-0.17294812112813926, -0.0005038792019956986, 0.8053316519525584]","[3.1036300883915424, -0.4574376568742715, -0.021206665297857887]",True,"[-0.0015195496995678293, -0.0005038792019956986, 0.005331651952558358]","[-0.0023561892172993854, 0.014008832427117961, -0.0017805527367340977]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
