imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",aruco,"[-0.20495855046314176, -0.001230928325223917, 2.040003421368676]","[-2.836511499629868, 1.346571345926296, -0.001955853992010711]",True,"[-0.004958550463141753, -0.001230928325223917, 0.04000342136867596]","[0.000995496259693281, -0.0018388077873571203, -0.013788090790369504]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",aruco,"[-0.2049585504607769, -0.0012309288489251642, 2.0400034213190357]","[-2.958064408477418, 1.0534475715582292, -0.0022122843055778067]",True,"[-0.004958550460776895, -0.0012309288489251642, 0.04000342131903567]","[0.0009874414776624963, -0.0018429007594992315, -0.005506844243357092]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 2.0]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",aruco,"[-0.20244868035933652, -0.0012158588169857096, 2.0150224200687226]","[-3.0495918352015052, 0.7488965351636052, -0.002440672446603114]",True,"[-0.0024486803593365136, -0.0012158588169857096, 0.015022420068722564]","[0.0009778292494356216, -0.001843073269024701, 0.0031987157348062796]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",aruco,"[-0.20495855679389807, -0.001230929244502533, 2.0400034930385673]","[-3.1075218417566193, 0.4529103536181454, -0.00264634418452965]",True,"[-0.004958556793898061, -0.001230929244502533, 0.04000349303856732]","[0.0009807523341814495, -0.0018470231595943028, 0.0014333133886701014]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",aruco,"[-0.2044491173771353, -0.001227869936223027, 2.0349329916661696]","[-3.1379339651801255, 0.12778960722382673, -0.00283314416865617]",True,"[-0.004449117377135298, -0.001227869936223027, 0.03493299166616959]","[0.0009677593690132554, -0.001853338165347581, 0.01555946684437224]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 2.0]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",aruco,"[-0.2044491173800496, -0.0012278695078853422, 2.0349329917183208]","[-3.1380774385543977, -0.12794880903920822, -0.0029588870687676265]",True,"[-0.004449117380049578, -0.0012278695078853422, 0.03493299171832076]","[0.000996735696078308, -0.0018381041819736648, -0.01546188817420726]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 2.0]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",aruco,"[-0.20495855680256428, -0.001230928026927791, 2.040003493191066]","[-3.1080254496802393, -0.45313865410662585, -0.003091946313891148]",True,"[-0.004958556802564268, -0.001230928026927791, 0.04000349319106622]","[0.000984298770915377, -0.001845668229495569, -0.001335709107256032]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",aruco,"[-0.20244868036556243, -0.0012158575281498282, 2.015022420196959]","[-3.050406808466415, -0.7492543133233632, -0.0031764937327352087]",True,"[-0.0024486803655624223, -0.0012158575281498282, 0.015022420196959096]","[0.0009846652563106472, -0.0018399876575189824, -0.003101236912131764]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",aruco,"[-0.2049585504630719, -0.0012309283251713396, 2.0400034213682434]","[-2.959178432893547, -1.054007040247851, -0.0032486822350855094]",True,"[-0.004958550463071892, -0.0012309283251713396, 0.04000342136824342]","[0.0009776137364892429, -0.0018483615915540735, 0.0056044493904508245]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.0]","[2.8472498856455624, 1.3276944263574697, 8.129783647422282e-17]",aruco,"[-0.20495855045922245, -0.0012309288479787643, 2.0400034213014124]","[-2.8378752313792472, -1.3473884594954426, -0.0032806190659063466]",True,"[-0.004958550459222444, -0.0012309288479787643, 0.040003421301412434]","[0.0009695333914661511, -0.001852400852174944, 0.013885695975010126]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.17142857142857143, 0.0, 2.0]","[2.8472498856455624, -1.3276944263574697, -8.129783647422282e-17]",aruco,"[-0.1752540545352651, -0.0013020216769686897, 2.0368146658694943]","[2.743907030027465, -1.2961078982356617, -0.12159699403436394]",True,"[-0.0038254831066936723, -0.0013020216769686897, 0.036814665869494334]","[-0.06094860958364648, 0.11671789727613285, -0.009902903023218113]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.17142857142857143, 0.0, 2.0]","[2.9624110249482243, -1.0458132339737192, -6.403759147459284e-17]",aruco,"[-0.17524819650708814, -0.0006484832811880479, 2.034901235613001]","[-2.8549707462385445, 0.9898721919858803, -0.21629298422086182]",True,"[-0.003819625078516714, -0.0006484832811880479, 0.03490123561300118]","[0.058323559360351156, -0.1719916683420979, 0.011210705828583172]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.17142857142857143, 0.0, 2.0]","[3.0497420651933687, -0.7541072449456, -4.6175751186822903e-17]",aruco,"[-0.1757540209574273, -0.0017260846529650027, 2.0377187059535755]","[3.0515403428173835, -0.7417318938448839, -0.07036403010116396]",True,"[-0.004325449528855857, -0.0017260846529650027, 0.037718705953575515]","[0.010354942464406637, 0.04359382497091793, 0.007924577824884562]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.17142857142857143, 0.0, 2.0]","[3.108422582921743, -0.45531686447075603, -2.788011703359603e-17]",aruco,"[-0.17640539231303703, -0.0012295720548206638, 2.0400044906451225]","[-3.107511910007006, 0.45292093660282345, -0.002899834529352273]",True,"[-0.004976820884465605, -0.0012295720548206638, 0.04000449064512246]","[0.0009653462336932168, -0.0020079346773953575, 0.0014257315264733807]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.17142857142857143, 0.0, 2.0]","[3.1379013093838792, -0.15224905141344247, -9.322565674334657e-18]",aruco,"[-0.17521862856059428, -0.0011323546255129647, 2.0310061024010557]","[-3.0634309310601737, 0.12815566763313951, 0.12771548213654405]",True,"[-0.0037900571320228504, -0.0011323546255129647, 0.031006102401055724]","[0.07679267583072147, 0.0795954640812582, 0.013329825117544353]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 2.0]","[3.1379013093838792, 0.15224905141344247, 9.322565674334657e-18]",aruco,"[-0.17522290944138932, -0.0013164267716686167, 2.03105776325768]","[3.0649494866938185, 0.12839403819831402, -0.12743667976993797]",True,"[-0.003794338012817894, -0.0013164267716686167, 0.031057763257679838]","[-0.07526887599056516, 0.07944787648835006, -0.013216330174255412]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 2.0]","[3.108422582921743, 0.45531686447075553, 2.7880117033596e-17]",aruco,"[-0.1764053922933113, -0.0012295710140345128, 2.0400044904351993]","[-3.108065006318286, -0.4531323675771115, -0.0033385595501756724]",True,"[-0.004976820864739856, -0.0012295710140345128, 0.04000449043519927]","[0.0009689723528037792, -0.0020065968798421547, -0.0013433040275548434]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 2.0]","[3.049742065193369, 0.7541072449455999, 4.6175751186822903e-17]",aruco,"[-0.17575454268119342, -0.0007302856747685257, 2.0377251593446584]","[-3.0497089458197544, -0.7414616967227163, 0.06962378872250943]",True,"[-0.004325971252621991, -0.0007302856747685257, 0.037725159344658366]","[-0.008442855623373947, 0.04360802633688027, -0.007816283898907957]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 2.0]","[2.9624110249482243, 1.0458132339737192, 6.403759147459284e-17]",aruco,"[-0.1752440797502066, -0.0018057880728352498, 2.0348561157331826]","[2.855602135867018, 0.9899812429647997, 0.21706861828516724]",True,"[-0.003815508321635158, -0.0018057880728352498, 0.03485611573318259]","[-0.05751610513766337, -0.1722179684156123, -0.011279221250985171]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
