imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, -0.2, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20042076895666244, -0.2004898190547807, 0.8001401547135718]","[-3.140857059609144, -1.0931963141773768e-05, -0.0010674442354840503]",True,"[-0.00042076895666243175, -0.0004898190547806824, 0.00014015471357176068]","[0.0007354125862545644, -0.0006797152025796838, 6.961133232533594e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, -0.17142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20123483304344125, -0.1728821209772067, 0.8036207384993196]","[3.1266754944945685, -0.005837063884426252, 0.027372847339109482]",True,"[-0.0012348330434412413, -0.0014535495486352745, 0.0036207384993195424]","[-0.014792091244545455, -0.017508447688382965, -0.0037335512235224877]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, -0.14285714285714285, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20135262213459967, -0.14404603986780262, 0.804142930159215]","[3.127152817664617, -0.005599985257804133, 0.0313659826166375]",True,"[-0.0013526221345996625, -0.001188897010659773, 0.004142930159214964]","[-0.014277769418304454, -0.020059374333188388, -0.0035813384812323724]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, -0.1142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20148124282027163, -0.11517863268659366, 0.8047107024785107]","[3.1282572691822303, -0.005123731141397319, 0.035756666724792996]",True,"[-0.0014812428202716221, -0.0008929184008793639, 0.004710702478510687]","[-0.013127133722564488, -0.022859094481946066, -0.0032755808913272986]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, -0.08571428571428572, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20160941262289556, -0.087074330138251, 0.8052753548999608]","[3.1301659749464834, -0.004353098949769872, 0.040169756305149504]",True,"[-0.0016094126228955452, -0.0013600444239652842, 0.0052753548999607824]","[-0.011166221245655117, -0.025664522867479316, -0.0027812020240323737]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, -0.057142857142857134, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20173009143524098, -0.05812069928609847, 0.8058077630136269]","[3.1332046687208535, -0.0031772332063552816, 0.04436763484684686]",True,"[-0.0017300914352409713, -0.000977842143241335, 0.005807763013626843]","[-0.008072527793062435, -0.028318873654294287, -0.0020279572271903047]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, -0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20181764074167888, -0.029121851038116313, 0.8061978579764132]","[3.1373712645663567, -0.0016117635155394588, 0.047455958491636065]",True,"[-0.0018176407416788665, -0.0005504224666877319, 0.006197857976413146]","[-0.003862232990195576, -0.030249704338074404, -0.0010273814154771919]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2004311299906728, -0.0004939034094314246, 0.8003125575008359]","[-3.1406180054266892, -0.00019108504968661118, -0.001588774070955725]",True,"[-0.0004311299906727961, -0.0004939034094314246, 0.00031255750083580836]","[0.0009742405281112457, -0.0010117587080348417, 0.00012168625264597925]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2018166274739916, 0.028126356353684493, 0.8062228671443702]","[-3.1353333567820387, -0.0019814092524561254, -0.047371069525912086]",True,"[-0.0018166274739915833, -0.00044507221774408787, 0.006222867144370148]","[0.005901056487518884, -0.030215174163818918, 0.001263822545108801]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.05714285714285716, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2017283993225282, 0.05712366209021777, 0.8058596252681185]","[-3.1311792875814297, -0.0035424972557288365, -0.04424660646901471]",True,"[-0.0017283993225281902, -1.9195052639392474e-05, 0.005859625268118451]","[0.010099092323263436, -0.028259810595507168, 0.0022625532096366935]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.2, 0.08571428571428574, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2016074815023539, 0.08607484369446808, 0.8053559443678148]","[-3.1281533033539115, -0.004714694857977597, -0.040034285179787854]",True,"[-0.0016074815023539024, 0.00036055798018233554, 0.0053559443678147245]","[0.013179992264584552, -0.025594327371538383, 0.0030141525722285115]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.2, 0.11428571428571432, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20147939108923554, 0.11417592896251164, 0.804820538046553]","[-3.1262535415399544, -0.0054834380518224935, -0.035622514939113066]",True,"[-0.0014793910892355322, -0.00010978532320268797, 0.0048205380465529135]","[0.015131692392719234, -0.022787823629583776, 0.0035077708416224092]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2, 0.14285714285714285, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20135102276247982, 0.1430391299249114, 0.8042835547055163]","[-3.125154158801182, -0.0059594795542261885, -0.031241837227269902]",True,"[-0.0013510227624798088, 0.0001819870677685631, 0.004283554705516224]","[0.01627693706951448, -0.01999265787240125, 0.003813662908441771]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.2, 0.17142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20123354799724616, 0.17187003252238026, 0.8037923934224888]","[-3.1246785135569, -0.0061976618865621485, -0.02726224472425546]",True,"[-0.0012335479972461483, 0.0004414610938088259, 0.0037923934224887157]","[0.016789291107087934, -0.017448756259396476, 0.0039667126728034924]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.2, 0.2, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20042212087445704, 0.19947793107277212, 0.8003514634495904]","[-3.140329583887928, -0.000380915410017526, -0.0010641672504117113]",True,"[-0.0004221208744570326, -0.0005220689272278922, 0.00035146344959036124]","[0.0012628663192012534, -0.0006777422780639655, 0.0002425957739585278]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, -0.2, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17280681463643743, -0.20129793920258582, 0.8035940816834157]","[-3.1240248215234647, -0.005837643061871281, 0.023193857420905697]",True,"[-0.0013782432078660034, -0.0012979392025858072, 0.003594081683415684]","[0.01747645025523519, 0.014848034372795403, 0.00373708966412154]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, -0.17142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17340355344117458, -0.17347349639558854, 0.8066158662301279]","[-3.1408908357015153, 6.408405485609106e-06, -0.0011611867180867427]",True,"[-0.0019749820126031548, -0.002044924967017109, 0.006615866230127887]","[0.0007016032524809388, -0.0007393995387237645, -4.080628882684307e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, -0.14285714285714285, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17340476358713175, -0.14444285080060065, 0.806643718923986]","[-3.140888957294808, -5.087507631241966e-06, -0.001269376207434659]",True,"[-0.0019761921585603193, -0.0015857079434578036, 0.006643718923985964]","[0.0007034398036698084, -0.0008082909668177045, 3.2395332745834175e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, -0.1142857142857143, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.1734064121552404, -0.1154120858380026, 0.8066727443764564]","[-3.1408766912738537, -2.176662734742971e-05, -0.001384184642600328]",True,"[-0.0019778407266689835, -0.0011263715522882994, 0.006672744376456374]","[0.0007156572585539687, -0.0008814000866290953, 1.3860222573779414e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, -0.08571428571428572, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.173408282736552, -0.08718738330068143, 0.8067011900650679]","[-3.1408484224551474, -4.4748413098575074e-05, -0.001495073795818407]",True,"[-0.0019797113079805806, -0.0014730975863957163, 0.0067011900650678635]","[0.0007438750093215523, -0.0009520189533288803, 2.8494471323346154e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
20.png,"[-0.17142857142857143, -0.057142857142857134, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17341019141206063, -0.05815573260082006, 0.8067291090553917]","[-3.1407972929602144, -7.664372812738922e-05, -0.0015957525006729024]",True,"[-0.0019816199834891968, -0.0010128754579629279, 0.006729109055391702]","[0.0007949543498087416, -0.0010161447111460295, 4.880526206057622e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
21.png,"[-0.17142857142857143, -0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17341168035728755, -0.029123581169098498, 0.8067535569911413]","[-3.1407231435835183, -0.00011660014825453274, -0.0016660156111954888]",True,"[-0.001983108928716115, -0.0005521525976699172, 0.0067535569911412185]","[0.000869066008822763, -0.0010609119448889823, 7.425049875150599e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
22.png,"[-0.17142857142857143, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17220549583931627, -0.0004909139912389585, 0.8007156136938185]","[-3.140331501528859, -0.00016890296155329794, 0.046409571803273916]",True,"[-0.0007769244107448392, -0.0004909139912389585, 0.000715613693818451]","[0.0009182663842727467, 0.02955496272392892, 0.00010756230964226837]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
23.png,"[-0.17142857142857143, 0.02857142857142858, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.1734120780010715, 0.028134127046222722, 0.8067848831580279]","[-3.140541844204985, -0.00020629213636641594, -0.001664180435356847]",True,"[-0.001983506572500071, -0.000437301525205859, 0.006784883158027832]","[0.0010503617328734619, -0.0010598044584356659, 0.00013137357056746424]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
24.png,"[-0.17142857142857143, 0.05714285714285716, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17341094127838344, 0.05716490428490488, 0.8067919673546375]","[-3.140458906196428, -0.00024769771107007317, -0.0015924550129238304]",True,"[-0.00198236984981201, 2.204714204771807e-05, 0.006791967354637496]","[0.0011333339260040552, -0.0010141541413198544, 0.00015774615762359308]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
25.png,"[-0.17142857142857143, 0.08571428571428574, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.1734093013308762, 0.08619419961328932, 0.8067951947239749]","[-3.140395383608542, -0.000281651077451051, -0.001490904363767973]",True,"[-0.001980729902304773, 0.0004799138990035784, 0.006795194723974829]","[0.001196903493872605, -0.0009495008670279759, 0.00017937296901007394]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
