imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, -0.2, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20511680929503875, -0.20530268783777478, 2.0414407845495908]","[-3.1412910957668276, 6.821645434648592e-05, -0.0018292518693618326]",True,"[-0.005116809295038743, -0.005302687837774767, 0.04144078454959077]","[0.00030102448994050163, -0.001164649561422919, -4.343210739162903e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, -0.17142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20511853143264108, -0.17673424721217476, 2.0414802366861178]","[-3.141288717142853, 6.25271118185763e-05, -0.0019976762607474227]",True,"[-0.005118531432641071, -0.005305675783603331, 0.04148023668611778]","[0.0003033006424228763, -0.0012718830745906907, -3.980984145816089e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, -0.14285714285714285, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20512070337497712, -0.1461248763449147, 2.041524881433208]","[-3.1412621179197413, 5.257445013510189e-05, -0.002196409524907346]",True,"[-0.005120703374977109, -0.0032677334877718456, 0.041524881433208094]","[0.0003297673786466691, -0.0013984246232291474, -3.3473450550967136e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, -0.1142857142857143, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20512293719029637, -0.11755564913412521, 2.0415677144765967]","[-3.1412067138861985, 3.845381577500838e-05, -0.0023911851242271343]",True,"[-0.005122937190296356, -0.003269934848410913, 0.041567714476596684]","[0.00038502938297432397, -0.0015224624486638919, -2.4483462167828455e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, -0.08571428571428572, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20512518930442283, -0.08898580625694526, 2.0416097483065987]","[-3.14111462332308, 1.8602130331867456e-05, -0.002580796265867541]",True,"[-0.0051251893044228225, -0.0032715205426595423, 0.04160974830659869]","[0.00047697005116350985, -0.0016432355680495365, -1.1844283334989277e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, -0.057142857142857134, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20512719218678752, -0.060415282740836955, 2.0416481519053495]","[-3.1409824884800046, -7.443874590547999e-06, -0.0027445575049547598]",True,"[-0.005127192186787505, -0.003272425597979821, 0.04164815190534954]","[0.0006089660959299335, -0.0017475784928460028, 4.739836973501218e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, -0.02857142857142858, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20512869975095432, -0.029803362532131204, 2.0416814474689033]","[-3.1408010376434348, -4.14516892618776e-05, -0.0028636166147839137]",True,"[-0.005128699750954313, -0.0012319339607026226, 0.04168144746890334]","[0.0007903103353681194, -0.0018234938397917824, 2.6395607438428354e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2051292218094115, -0.0012319533959956855, 2.0417021441887515]","[-3.140608704380289, -7.66405407113077e-05, -0.002900294507101984]",True,"[-0.005129221809411499, -0.0012319533959956855, 0.04170214418875151]","[0.0009826092300417926, -0.0018469626252063578, 4.880615190035751e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.02857142857142858, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20512877555505113, 0.027339269052378722, 2.0417116224852414]","[-3.1404151381483443, -0.00011190842310691043, -0.002857037215172645]",True,"[-0.005128775555051118, -0.0012321595190498587, 0.041711622485241406]","[0.001176213995232334, -0.001819527655207978, 7.126979992153687e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.05714285714285716, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20512734584161185, 0.057950572340667125, 2.0417106329381944]","[-3.1402298504830495, -0.00014617144403201944, -0.002732257317137239]",True,"[-0.005127345841611841, 0.0008077151978099634, 0.041710632938194436]","[0.0013616112333773517, -0.0017401631941912183, 9.309597794867055e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
