imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 0.6000000000000001]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2023180258125615, -0.00038166604553603617, 0.6060708858950706]","[-3.14048181266603, -0.00025215188957258323, -0.027194211097412508]",True,"[-0.0023180258125614916, -0.00038166604553603617, 0.0060708858950705435]","[0.000993104709691525, -0.017318061851265897, 0.00016057763190442719]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 0.6285714285714286]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20079570310971256, -0.00039487918540477573, 0.6293715189546245]","[-3.1405319701743903, -0.00024691263447769674, 0.025745970294934785]",True,"[-0.0007957031097125533, -0.00039487918540477573, 0.0008000903831959505]","[0.000955153903653959, 0.01639556087041833, 0.0001572390196166292]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 0.6571428571428573]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20168812639703107, -0.000414028749697231, 0.66250046858266]","[-3.1406180671215864, -0.00023244362477255968, -0.0014049930978850278]",True,"[-0.001688126397031059, -0.000414028749697231, 0.005357611439802734]","[0.0009742636295509733, -0.0008947238157775843, 0.00014802410575734826]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 0.6857142857142857]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20175640695515976, -0.0004298732741554385, 0.6899165138193912]","[-3.1406178939335074, -0.00022329027611767287, -0.00144355770221346]",True,"[-0.001756406955159745, -0.0004298732741554385, 0.00420222810510551]","[0.0009744199943668881, -0.0009192824677516731, 0.00014219510293191865]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 0.7142857142857143]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20183059824711283, -0.0004471397217704094, 0.7196994735607289]","[-3.140617709481537, -0.00021413591612043047, -0.00148338824606909]",True,"[-0.001830598247112819, -0.0004471397217704094, 0.00541375927501464]","[0.0009745865253533025, -0.0009446472976128244, 0.00013636545592231268]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 0.7428571428571429]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20285949560834743, -0.0004658435593211918, 0.7518211058200767]","[-3.1403011018050817, -0.00020184621137118658, -0.04189706970006303]",True,"[-0.0028594956083474177, -0.0004658435593211918, 0.00896396296293378]","[0.0010120979262796055, -0.026681887534866725, 0.00012854450083741545]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 0.7714285714285715]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2011942616723019, -0.00047951338122530793, 0.7754947051601815]","[-3.1406177488202065, -0.00019803319117068762, -0.0015561836531974031]",True,"[-0.0011942616723018828, -0.00047951338122530793, 0.004066133731610022]","[0.00097451302022204, -0.0009910046526383695, 0.0001261109596054088]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 0.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2004311299906728, -0.0004939034094314246, 0.8003125575008359]","[-3.1406180054266892, -0.00019108504968661118, -0.001588774070955725]",True,"[-0.0004311299906727961, -0.0004939034094314246, 0.00031255750083580836]","[0.0009742405281112457, -0.0010117587080348417, 0.00012168625264597925]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 0.8285714285714286]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20318424981576616, -0.0005174438726478626, 0.8402070148673694]","[-3.140121739495194, -0.00017967149750298643, -0.05265163271826418]",True,"[-0.003184249815766149, -0.0005174438726478626, 0.011635586295940747]","[0.0010295730904381483, -0.033531626451802084, 0.00011442527472118172]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 0.8571428571428572]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20329065435460048, -0.0005345533216912549, 0.8694061763945562]","[-3.1400469603691734, -0.00017335032440989707, -0.05653976352515122]",True,"[-0.003290654354600464, -0.0005345533216912549, 0.01226331925169899]","[0.0010367575056197435, -0.03600815524306662, 0.0001104006278698168]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
