imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2, 0.0, 1.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20275463681365136, -0.0010986647229608766, 1.8189654331094407]","[-3.1406113128570956, -8.498078746273547e-05, -0.0026772447595443836]",True,"[-0.0027546368136513455, -0.0010986647229608766, 0.018965433109440655]","[0.000980198580297843, -0.0017049189659787789, 5.411733677786202e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2, 0.0, 1.8285714285714285]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20679144950587014, -0.0011459161179656358, 1.8812787899637082]","[3.1304921360918647, -0.0005819120247643357, 0.1523015414562035]",True,"[-0.0067914495058701285, -0.0011459161179656358, 0.05270736139227972]","[-0.007400757339293526, -0.097224875442202, -0.0003714757157746859]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2, 0.0, 1.8571428571428572]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20474452914694383, -0.0011397971367262132, 1.8876074614938125]","[-3.140609958876456, -8.276560144942204e-05, -0.0027368245997073447]",True,"[-0.0047445291469438156, -0.0011397971367262132, 0.030464604350955327]","[0.0009815012705479927, -0.0017428612418782371, 5.270668750286887e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2, 0.0, 1.8857142857142857]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20213757263618679, -0.001140315442236103, 1.8883347136859523]","[-3.135985165064216, -0.00011893174480867458, 0.17377742681971403]",True,"[-0.002137572636186774, -0.001140315442236103, 0.002620427971666617]","[0.0007967340844487847, 0.1107147273307013, 7.577218709261037e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2, 0.0, 1.9142857142857144]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.203034257051467, -0.0013705592334075738, 1.9354565958575967]","[2.979099434033131, -0.012467795080191465, 0.14958507272575042]",True,"[-0.003034257051466982, -0.0013705592334075738, 0.021170881571882294]","[-0.15878102964267085, -0.10012737453295181, -0.008345535853588704]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2, 0.0, 1.9428571428571428]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20296816656065803, -0.0011839561777913425, 1.9616335074681583]","[-3.140610229607576, -7.885666407504156e-05, -0.0028305168796649324]",True,"[-0.0029681665606580143, -0.0011839561777913425, 0.018776364611015506]","[0.0009811476048573115, -0.0018025260561996348, 5.02173976496726e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2, 0.0, 1.9714285714285715]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20505858184606288, -0.0014173329787476414, 2.012161247173302]","[2.972028537050161, -0.012635277399671439, 0.1459430882251526]",True,"[-0.005058581846062865, -0.0014173329787476414, 0.040732675744730606]","[-0.16602312353640983, -0.0979062780481179, -0.008476406778502907]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2051292218094115, -0.0012319533959956855, 2.0417021441887515]","[-3.140608704380289, -7.66405407113077e-05, -0.002900294507101984]",True,"[-0.005129221809411499, -0.0012319533959956855, 0.04170214418875151]","[0.0009826092300417926, -0.0018469626252063578, 4.880615190035751e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2, 0.0, 2.0285714285714285]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20228890457024581, -0.001232479372503546, 2.042438064037895]","[-3.1349456531568283, -0.00011805516397414048, 0.19189153711828288]",True,"[-0.0022889045702458033, -0.001232479372503546, 0.013866635466466715]","[0.0007800879580068556, 0.12226840973304949, 7.522174962303662e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2, 0.0, 2.057142857142857]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20514410054197021, -0.001467658277968424, 2.095077946298243]","[2.9644833999359976, -0.012678985923881307, 0.14070577869904796]",True,"[-0.0051441005419702035, -0.001467658277968424, 0.03793508915538624]","[-0.17381038160735335, -0.09461711048723224, -0.008525939894706375]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.2, 0.0, 2.085714285714286]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20534613067250962, -0.0012839404595769099, 2.128585282046839]","[-3.140607968680402, -7.357676414494105e-05, -0.0029927809969042462]",True,"[-0.005346130672509608, -0.0012839404595769099, 0.04287099633255309]","[0.0009832582406696067, -0.0019058601896153877, 4.6855090903616467e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.2, 0.0, 2.1142857142857143]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.2023738506955288, -0.001284467911655609, 2.129323079205853]","[-3.134332242437621, -0.0001179266344912762, 0.20179828924235513]",True,"[-0.002373850695528784, -0.001284467911655609, 0.015037364920138518]","[0.0007714502378074801, 0.1285888820766162, 7.514461174682043e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2, 0.0, 2.142857142857143]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20524741157522877, -0.0015215211186655924, 2.1852427692167105]","[2.956977059344928, -0.01267371724939277, 0.13530935204352498]",True,"[-0.005247411575228761, -0.0015215211186655924, 0.04238562635956766]","[-0.18155792776427285, -0.09120309431979252, -0.00854251544495562]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.2, 0.0, 2.1714285714285713]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20558232564347445, -0.0013405671296651451, 2.2231913403496835]","[-3.1406071439699543, -7.051203217773753e-05, -0.00309373081052896]",True,"[-0.0055823256434744395, -0.0013405671296651451, 0.0517627689211122]","[0.0009839852107981768, -0.001970147438301239, 4.4903421814075795e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.2, 0.0, 2.2]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.20335967785163003, -0.0013404628511676136, 2.223191456652818]","[-3.140608092895845, -6.966416773729746e-05, -0.003113615055979459]",True,"[-0.003359677851630022, -0.0013404628511676136, 0.023191456652817966]","[0.0009830166557940085, -0.0019828095021951066, 4.43634718064322e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.17142857142857143, 0.0, 1.8]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17365806500137393, -0.0010971358978904809, 1.818967096517062]","[-3.140627555465965, -7.136947691023038e-05, -0.002906288104613536]",True,"[-0.002229493572802499, -0.0010971358978904809, 0.018967096517061854]","[0.0009637527338250647, -0.001850768356481766, 4.5449165646870804e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.17142857142857143, 0.0, 1.8285714285714285]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17484417507277505, -0.0013351982605490152, 1.8618758041391672]","[2.9783308387095957, -0.011269474266078147, 0.13361194299303336]",True,"[-0.003415603644203624, -0.0013351982605490152, 0.03330437556773869]","[-0.16029899519766577, -0.08947015633002882, -0.0075463435510089135]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.17142857142857143, 0.0, 1.8571428571428572]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.1745499911935018, -0.0011382557459962198, 1.8876090245046684]","[-3.140626403272545, -6.915546725080524e-05, -0.0029827449753432114]",True,"[-0.003121419764930383, -0.0011382557459962198, 0.03046616736181118]","[0.0009648333011241404, -0.0018994579193300973, 4.403926618614143e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
18.png,"[-0.17142857142857143, 0.0, 1.8857142857142857]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17195028183548045, -0.0011388594204293702, 1.8884238221351108]","[-3.1352655694391434, -0.00011107699827178151, 0.18672276878334063]",True,"[-0.000521710406909015, -0.0011388594204293702, 0.002709536420825165]","[0.0007722615252083013, 0.11897076222392902, 7.077291771134857e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
19.png,"[-0.17142857142857143, 0.0, 1.9142857142857144]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17377824106525155, -0.0013785593687081917, 1.9326872346112018]","[2.971354926268561, -0.011249098333094053, 0.12851449316736047]",True,"[-0.002349669636680124, -0.0013785593687081917, 0.018401520325487475]","[-0.1674910034603053, -0.08624587881708388, -0.00754925259965849]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
20.png,"[-0.17142857142857143, 0.0, 1.9428571428571428]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17355071087499888, -0.0011825218024967973, 1.9616346184971156]","[-3.140626464436827, -6.608502298297536e-05, -0.003083068586317918]",True,"[-0.0021221394464274457, -0.0011825218024967973, 0.018777475639972785]","[0.0009646753302801466, -0.001963345460733633, 4.20839583238268e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
21.png,"[-0.17142857142857143, 0.0, 1.9714285714285715]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17859349234989524, -0.0012306850823362444, 2.04170315561759]","[-3.1406225091402074, -6.558073655261325e-05, -0.003133589644564138]",True,"[-0.007164920921323814, -0.0012306850823362444, 0.07027458418901844]","[0.0009685806397791621, -0.0019955205378243534, 4.176287310095168e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
22.png,"[-0.17142857142857143, 0.0, 2.0]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17655228204515402, -0.0012305951026160323, 2.0417031407658577]","[-3.1406238030086246, -6.472545580808515e-05, -0.003153134795817859]",True,"[-0.005123710616582594, -0.0012305951026160323, 0.04170314076585768]","[0.0009672672293538248, -0.0020079663709325186, 4.121819935458977e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
23.png,"[-0.17142857142857143, 0.0, 2.0285714285714285]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.1737175825000144, -0.0012311951279591507, 2.0425136053209987]","[-3.1341902241139015, -0.00011173167532254985, 0.20419608629493707]",True,"[-0.00228901107144297, -0.0012311951279591507, 0.013942176749570212]","[0.0007582014278657279, 0.13011839124349597, 7.11979651897454e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
24.png,"[-0.17142857142857143, 0.0, 2.057142857142857]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17561655568559742, -0.0014729482059398287, 2.0924630938443807]","[2.9583689134147084, -0.011286158181706031, 0.12070833507274989]",True,"[-0.0041879842570259895, -0.0014729482059398287, 0.03532023670152373]","[-0.18079109539363597, -0.08133682175774744, -0.0076049448930093095]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
25.png,"[-0.17142857142857143, 0.0, 2.085714285714286]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17555316792021974, -0.0012825846524887204, 2.1285859397353497]","[-3.1406236872671895, -6.165316904526756e-05, -0.003269916027071447]",True,"[-0.0041245964916483135, -0.0012825846524887204, 0.042871654021063854]","[0.0009672636272123463, -0.0020823345397301346, 3.926171874871107e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
26.png,"[-0.17142857142857143, 0.0, 2.1142857142857143]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17342509858335192, -0.0012824962835752257, 2.1285858706412024]","[-3.140625089878188, -6.07962575408022e-05, -0.0032916650156036295]",True,"[-0.001996527154780492, -0.0012824962835752257, 0.014300156355488092]","[0.0009658383161205903, -0.0020961836958016196, 3.8716006403651664e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
27.png,"[-0.17142857142857143, 0.0, 2.142857142857143]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.1789105465476637, -0.0013393931682863824, 2.223191760866175]","[-3.1406207158476382, -6.0292404528378695e-05, -0.003351544985705825]",True,"[-0.007481975119092266, -0.0013393931682863824, 0.08033461800903208]","[0.0009701490306573136, -0.002134319138400058, 3.8395197866627204e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
28.png,"[-0.17142857142857143, 0.0, 2.1714285714285713]","[3.141592653589793, 0.0, 0.0]",aruco,"[-0.17668789762533582, -0.0013393029927151329, 2.223191685586706]","[-3.1406220994072185, -5.943600558906837e-05, -0.003374964443421363]",True,"[-0.005259326196764391, -0.0013393029927151329, 0.051763114158134726]","[0.0009687404108952331, -0.002149232077670783, 3.784981202680411e-05]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
