imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2820388552157448, -0.14797644550079309, 1.2095654824979098]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]",apriltag,"[-0.2814709691275126, -0.14800139535719947, 1.205945841162425]","[2.1702382393019977, -0.013866148815753477, 0.019090493631813973]",True,"[0.0005678860882321612, -2.4949856406386584e-05, -0.003619641335484758]","[0.003234746230210515, -0.0008489920956916133, -0.0007202267361410718]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.281665192679071, -0.13173290154345568, 1.1907711692761418]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]",apriltag,"[-0.28034791105321216, -0.1315250259349205, 1.184516964935949]","[2.401583744393207, -0.00868882560808962, 0.01951490137539562]",True,"[0.0013172816258588127, 0.00020787560853519071, -0.006254204340192748]","[0.0018437719461497223, 0.0016244516468691165, 0.0011725670175482433]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28136129167788726, -0.11159209538074105, 1.176229019340158]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]",apriltag,"[-0.2797581941445106, -0.11117717186737915, 1.168741950561748]","[2.6298437763486278, -0.006753932939163285, 0.02338145892304182]",True,"[0.001603097533376674, 0.00041492351336190614, -0.0074870687784101]","[-0.0025872940603628328, 0.0002959793057265266, 0.0014505889854546888]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2811435355938293, -0.08863982308613455, 1.166723003757103]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]",apriltag,"[-0.2806192105819821, -0.08916062158988929, 1.1644064506289848]","[2.8727583311547567, -0.004123964247430283, 0.025410260796939338]",True,"[0.0005243250118472376, -0.0005207985037547352, -0.0023165531281181817]","[0.007628361908561014, 0.0004299029526266965, 0.001617642278015276]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.28102366371375265, -0.06411344760001259, 1.1627655942875994]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]",apriltag,"[-0.28063389083447554, -0.06408114547656127, 1.158974884384532]","[3.0968471453799244, -0.01180753213620921, 0.040718014462186876]",True,"[0.000389772879277106, 3.2302123451316556e-05, -0.003790709903067402]","[-0.000759372268650725, -0.00825484909401838, -0.0051030176811487134]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.28100813836173993, -0.03933519217324777, 1.1645701359004854]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]",apriltag,"[-0.28014631872966944, -0.03993648763016251, 1.162277422308482]","[-2.9411789918746347, -0.00272543296212368, -0.01629800183561509]",True,"[0.000861819632070493, -0.0006012954569147438, -0.002292713592003448]","[0.011302796642901444, 0.00702980972281134, 0.0028493074128892503]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.28109779651353684, -0.015640858969509286, 1.172039345290322]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]",apriltag,"[-0.2808739088952354, -0.015655182961843855, 1.1716727870241843]","[-2.721243002222216, -0.001187282992882741, -0.020782711410881276]",True,"[0.00022388761830144377, -1.4323992334568797e-05, -0.00036655826613762876]","[-0.0014709206179507276, 0.003408457633525842, -0.00035432543939445214]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.28128780467497266, 0.005692184375139797, 1.1847705554455707]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]",apriltag,"[-0.28036129730775866, 0.005575661372449543, 1.1802494160725787]","[-2.488679678353721, -0.004657319438702165, -0.02467624678396032]",True,"[0.0009265073672140023, -0.00011652300269025372, -0.0045211393729920335]","[-0.0016467207449720777, -0.0007314325353567118, -0.0007439918407584814]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2815679194568828, 0.023513867972136948, 1.202077423531411]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]",apriltag,"[-0.279611909792631, 0.022994416712210048, 1.193317625565537]","[-2.252425022555143, -0.007528805357669871, -0.01942852968824233]",True,"[0.001956009664251801, -0.0005194512599269001, -0.008759797965873783]","[0.0019187461580854259, 0.0015340096298221354, 0.0007358061021515486]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.28192303979886946, 0.036863420245797085, 1.2230269318096192]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]",apriltag,"[-0.28165903937882986, 0.03623555907126211, 1.2219119753903263]","[-2.0139486655132983, -0.0150213241017288, -0.019973863719679495]",True,"[0.00026400042003960067, -0.0006278611745349771, -0.001114956419292934]","[0.0076300539061913775, -0.0027163802335235672, 0.003799042815710679]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
