imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.003310691528130176, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.2797569292975629, -0.051202925762473483, 1.1420886221268254]","[-0.0006754698473924936, 3.1174883681959167, 0.12342988858473514]",True,"[0.00036439138069122023, -0.0005143837363806303, -0.001755215434653401]","[0.008115577443287201, -0.00043867436088900516, -0.0016196740058502994]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.0691166255636158, -2.9471050274895143, -0.11604416471643803]",apriltag,"[-0.27908971146366546, -0.05084055568624327, 1.1395958149736585]","[-1.0661341477701285, -2.9421700082829654, -0.11350353651944005]",True,"[0.001031609214588669, -0.0001520136601504199, -0.00424802258782031]","[0.000551648272847275, 0.005879089919285597, 0.0009310999982316213]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9967594275480554, -2.3847823261347636, -0.10583885760270367]",apriltag,"[-0.2804799897959561, -0.05113881321679447, 1.1448903519310005]","[-1.9955841171498938, -2.3847472617345518, -0.11315492385279485]",True,"[-0.00035866911770199295, -0.0004502711907016163, 0.001046514369521745]","[0.0039470936431385195, -0.0026445209273194383, 0.0005126906117464847]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.673973211651046, -1.5476065425991443, -0.08322122513551965]",apriltag,"[-0.2806912366951691, -0.05087314473063931, 1.1426441341600142]","[-2.679574908796334, -1.551852751889095, -0.10710351540600853]",True,"[-0.0005699160169149731, -0.0001846027045464549, -0.0011997034014645802]","[0.0009914209103825658, -0.017098408195519457, -3.6127107264328e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0276000065986053, -0.5371623481705091, -0.05103084541226613]",apriltag,"[-0.2804905154819599, -0.051706605724744906, 1.1441371102966866]","[-3.0106456557199497, -0.5378891763222567, -0.06475404001871019]",True,"[-0.0003691948037057857, -0.0010180636986520525, 0.00029327273520785013]","[0.017626335200569773, -0.006234406399731284, 0.0023682884171538996]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0218815660513467, 0.5295319716958208, -0.013050441458740347]",apriltag,"[-0.28095117238007206, -0.05124864404163985, 1.144149113810108]","[-3.0121223841936895, 0.5245724917304906, -0.03559261891798318]",True,"[-0.0008298517018179297, -0.0005601020155469941, 0.0003052762486293048]","[0.0075694544740956575, -0.01638022530363513, 0.0015906454333538924]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.6597834448111115, 1.5318640124554077, 0.026401036483152954]",apriltag,"[-0.2797091117153888, -0.050979104036838425, 1.142309736256286]","[-2.657479261003878, 1.5306465079605622, 0.03656378741314233]",True,"[0.0004122089628653125, -0.00029056201074557225, -0.0015341013051928254]","[0.005479235799193996, 0.00450090163481889, 0.00015588962459777239]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9816964689878476, 2.3566084190492136, 0.06287247917516989]",apriltag,"[-0.2801717598837633, -0.050320562687177314, 1.1425280701850853]","[-1.979042860918432, 2.3619919658191457, 0.03891739946726752]",True,"[-5.0439205509178464e-05, 0.0003679793389155389, -0.0013157673763934952]","[-0.01317786517155167, -0.008335633529188154, -0.004002916411424761]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.061997242592377, 2.908203231938114, 0.09218221367391113]",apriltag,"[-0.2778212564573532, -0.0518099886438162, 1.138426586439583]","[-1.0712420639332798, 2.915609508756699, 0.13951930213034494]",True,"[0.0023000642209008992, -0.0011214466177233498, -0.0054172511218957276]","[0.024285876935435848, 0.021373783029574957, 0.004970011605471273]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.0033106915281305577, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.2797569292975629, -0.051202925762473483, 1.1420886221268254]","[-0.0006754698473924936, 3.1174883681959167, 0.12342988858473514]",True,"[0.00036439138069122023, -0.0005143837363806303, -0.001755215434653401]","[0.008115577443287203, -0.00043867436088899545, -0.001619674005850544]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
