imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2806682067123864, -0.1000874700283782, 1.1393707851882897]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.28070084667265743, -0.10051138071590757, 1.138072543145144]","[-3.062334360671551, 0.0022008373283588416, -0.03322320365846443]",True,"[-3.263996027103033e-05, -0.00042391068752936634, -0.0012982420431457697]","[0.006386881376551482, -0.003427101776043777, -0.0002135244990598999]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2808967758651647, -0.10099511652592136, 1.151835693289752]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2790362964018098, -0.10075211996195915, 1.1454350586290158]","[-3.0715676132111245, 0.004138650532203475, -0.013749554487210497]",True,"[0.0018604794633548805, 0.0002429965639622056, -0.006400634660736149]","[-0.0026823829357074053, 0.009352002820932313, -0.0010895410007436444]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28112534501794295, -0.1019027630234644, 1.164300601391214]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2795218247172766, -0.10178193311161726, 1.158137641618365]","[-3.0670842506653786, -0.0002204351395502147, -0.020181728204359792]",True,"[0.00160352030066635, 0.00012082991184714231, -0.006162959772848975]","[0.0017401432191219888, 0.005043723897192774, 0.0016329703379998448]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.28135391417072125, -0.10281040952100756, 1.176765509492676]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2819472289276581, -0.10329559390974997, 1.1767444800377107]","[-3.064354250433032, 0.0044248709045891345, -0.044595152364035794]",True,"[-0.000593314756936858, -0.0004851843887424129, -2.1029454965404426e-05]","[0.004232362595125199, -0.010769392002000187, -0.0019505956729795118]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.28158248332349956, -0.10371805601855072, 1.1892304175941382]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.28245967947526207, -0.10388150822350362, 1.1893437144961547]","[-3.072629985336167, 0.0007647913982229019, -0.0530289664415674]",True,"[-0.000877196151762516, -0.00016345220495289636, 0.00011329690201655751]","[-0.004195306016629532, -0.01625555228651357, 0.00016269930506031662]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.25435682222855116, -0.10013882098231647, 1.1398495181478778]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2548031031528952, -0.10152108985649919, 1.1399227201331934]","[-3.0448123171039425, -0.002431688202690895, -0.03764018720754228]",True,"[-0.00044628092434406685, -0.0013822688741827183, 7.320198531557409e-05]","[0.023827297592235192, -0.006567593682819368, 0.0028650954282312706]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.25458539138132946, -0.10104646747985963, 1.1523144262493399]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.26163208482127587, -0.1013016618479171, 1.1529994166569084]","[-3.059965323716803, 0.011621122172638013, -0.2587079536137342]",True,"[-0.007046693439946405, -0.00025519436805747364, 0.0006849904075685309]","[-0.0017875099534125753, -0.15000331681756301, -0.01175963056241856]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.25481396053410776, -0.10195411397740267, 1.1647793343508022]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2533599570818018, -0.10202450578752, 1.1596659240221507]","[-3.061608301903506, 0.0004542749446392611, -0.0131162471055285]",True,"[0.001454003452305952, -7.039181011732343e-05, -0.005113410328651424]","[0.007260234335399316, 0.009640804117441858, 0.001410063845304639]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.255042529686886, -0.10286176047494583, 1.1772442424522642]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2555637033017799, -0.10302855210261255, 1.177755014862687]","[-3.072067941098823, 0.003017333117850427, -0.03808890880219452]",True,"[-0.0005211736148938995, -0.00016679162766672362, 0.000510772410422744]","[-0.0033987537708642162, -0.006496902983816047, -0.000941771598015936]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2552710988396643, -0.10376940697248899, 1.1897091505537263]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.256168511215104, -0.1040563585840989, 1.1909146114137823]","[-3.0694879390130465, 0.0018847664979268575, -0.04504429650096986]",True,"[-0.0008974123754396657, -0.0002869516116099091, 0.001205460860056018]","[-0.0009197606934050666, -0.011070980578835201, -0.0003490583953327709]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.22804543774471603, -0.10019017193625473, 1.140328251107466]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22851453350771395, -0.10140304885305465, 1.1402785296035314]","[-3.045467613794066, -0.0038124162588843644, -0.04057015518459838]",True,"[-0.00046909576299791755, -0.0012128769167999154, -4.9721503934563316e-05]","[0.02312450879284914, -0.008515227618321746, 0.0036937992805158373]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.22827400689749433, -0.10109781843379789, 1.1527931592089282]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2335147298200178, -0.10108356961540713, 1.155724825455235]","[-3.073160835225892, 0.010371257722966962, -0.18355337124746798]",True,"[-0.0052407229225234775, 1.4248818390766305e-05, 0.0029316662463068077]","[-0.009645396289824918, -0.10072909440420065, -0.009203869269817422]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
