imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28094017988658493, 0.04806405199485392, 1.1702099251372617]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2805326772281494, 0.04700755138563638, 1.1690285611863092]","[-3.0515081006430727, 0.0002829581183002205, -0.028280063645888844]",True,"[0.00040750265843553235, -0.0010565006092175394, -0.0011813639509525853]","[0.017252084351189013, -0.0003215556710405679, 0.001250370040883316]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2809636142541466, 0.010663112890028636, 1.1674861033906034]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2814749282649156, 0.009581552920111331, 1.167598843449422]","[-3.0498628659632865, -0.002102301385192495, -0.04513046304194854]",True,"[-0.0005113140107689818, -0.0010815599699173055, 0.0001127400588185612]","[0.018677271164318533, -0.01141887441425973, 0.0024232527499956726]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28098704862170826, -0.0267378262147967, 1.1647622816439454]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.28042387686956427, -0.027650595796115823, 1.1631788509048149]","[-3.05233432124083, -0.0008352718705661194, -0.021847395106569963]",True,"[0.0005631717521439872, -0.0009127695813191221, -0.0015834307391304758]","[0.016473442481980186, 0.0038650562573259726, 0.0021280220296373575]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.28101048298926995, -0.06413876531962198, 1.1620384598972873]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2841349307517641, -0.06384702709550025, 1.1657107528836035]","[-3.083089385871864, 0.012502888337379382, -0.10176425994044976]",True,"[-0.0031244477624941536, 0.0002917382241217348, 0.003672292986316217]","[-0.015823949317772316, -0.047418259708609724, -0.008688544677669349]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.28103391735683164, -0.10153970442444721, 1.1593146381506292]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2800569821453786, -0.10239027667344892, 1.1556102809094426]","[-3.0499649862421454, -0.0017969875741394162, -0.02092545021525235]",True,"[0.0009769352114530339, -0.0008505722490017159, -0.003704357241186562]","[0.018843163472910256, 0.004432829338614611, 0.0028011151313412103]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.25462879540274974, 0.048012701040915706, 1.1706886580968496]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2547906984857541, 0.04808882679833226, 1.1712502562367355]","[-3.074561512276158, 0.0014707100684131962, -0.03172918104415094]",True,"[-0.00016190308300434442, 7.612575741655636e-05, 0.0005615981398858771]","[-0.0058269463182853126, -0.0023807006659111716, 0.00019336802281510812]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.25465222977031143, 0.010611761936090425, 1.1679648363501915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2551198776795918, 0.009566404802435475, 1.1688443605147167]","[-3.045664136857815, -0.003248262612254705, -0.03700295961515273]",True,"[-0.0004676479092803887, -0.0010453571336549502, 0.0008795241645251917]","[0.02297784027795217, -0.006162073993389252, 0.0034076318533649975]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2546756641378731, -0.026789177168734912, 1.1652410146035335]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.25384915233693917, -0.027512671291014205, 1.1617799780690283]","[-3.0570867975763343, -0.002146351360662498, -0.023510823273245295]",True,"[0.00082651180093396, -0.0007234941222792925, -0.0034610365345051353]","[0.01170010500836002, 0.002773116211483245, 0.002901490030603585]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.25469909850543476, -0.06419011627356025, 1.1625171928568754]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2548119917234284, -0.06497999520901174, 1.162549353743303]","[-3.058822765061809, 0.0032913079051886374, -0.029388698840083854]",True,"[-0.00011289321799362595, -0.0007898789354514879, 3.2160886427545776e-05]","[0.00994359766684086, -0.0009249469771624102, -0.0008044931370352127]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.25472253287299645, -0.10159105537838548, 1.1597933711102173]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2539368002762445, -0.10249343993411775, 1.1568873958220294]","[-3.0475540612450867, -0.0003555888148301323, -0.018297921266231375]",True,"[0.0007857325967519646, -0.0009023845557322718, -0.002905975288187923]","[0.021280669037235193, 0.006175768267143912, 0.0019420581859812718]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.22831741091891464, 0.047961350086977494, 1.1711673910564377]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.228379278194213, 0.04812308305911199, 1.1710179687213769]","[-3.0733489484918044, 0.004462981420995249, -0.0321650091203682]",True,"[-6.186727529836067e-05, 0.00016173297213449567, -0.0001494223350608781]","[-0.004604164059276382, -0.0026020679227272124, -0.0017512412700882872]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.2283408452864763, 0.010560410982152213, 1.1684435693097797]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22826640315238939, 0.009964313118798303, 1.1678613681281933]","[-3.0577946401722427, -0.0033762263522724993, -0.026575321048375376]",True,"[7.444213408691613e-05, -0.0005960978633539095, -0.0005822011815863615]","[0.01095810637615006, 0.0007468108489024894, 0.003624971513326391]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.22836427965403797, -0.026840528122673124, 1.1657197475631216]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2288952884162444, -0.02730235341429928, 1.1651855329596614]","[-3.0571110248728073, 0.0016369396502619329, -0.04885689246461609]",True,"[-0.0005310087622064363, -0.0004618252916261563, -0.000534214603460148]","[0.011395323176414745, -0.013690470766701686, -0.0001744454284331075]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.22838771402159963, -0.06424146722749852, 1.1629959258164635]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2285911940568799, -0.06432525056930243, 1.1630200219939342]","[-3.0747779943578593, 0.0019741018411225243, -0.031454331533283704]",True,"[-0.00020348003528025682, -8.378334180390856e-05, 2.409617747067827e-05]","[-0.006037824748219108, -0.0021886907110307595, -0.00012897727905109024]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.2284111483891613, -0.10164240633232374, 1.1602721040698052]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.22765267312119444, -0.10224442662209918, 1.1572585993916125]","[-3.0515864545220768, 0.0013628601363279377, -0.017084392036112443]",True,"[0.0007584752679668516, -0.0006020202897754345, -0.0030135046781927244]","[0.017265895503968818, 0.007029629707741256, 0.0008102554323821568]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.20200602643507945, 0.04790999913303923, 1.1716461240160259]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.20214662852677773, 0.046972159873854225, 1.1685133626278739]","[-3.0481873869403056, -0.006721706883793857, -0.048371087509612214]",True,"[-0.00014060209169827753, -0.0009378392591850027, -0.0031327613881519945]","[0.020268532005759187, -0.0136678732519713, 0.0053861382770809445]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.20202946080264111, 0.010509060028213946, 1.1689223022693678]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.20130898036044625, 0.010828529956556535, 1.1713158478436547]","[-3.0730883447576467, 0.009518685591405266, 0.0075572349795154405]",True,"[0.0007204804421948596, 0.0003194699283425896, 0.0023935455742869483]","[-0.004152978483362165, 0.023334034006619986, -0.004095246748692714]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.20205289517020278, -0.02689187907661139, 1.1661984805227097]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2015524636335036, -0.02810829319681228, 1.1623208566752266]","[-3.043360042902223, -0.0063110575174444, -0.029835284411167246]",True,"[0.0005004315366991807, -0.00121641412020089, -0.003877623847483136]","[0.02533845047318658, -0.0015535954537737107, 0.005610028075882534]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.20207632953776444, -0.06429281818143667, 1.1634746587760514]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.20244782346609075, -0.06380906120556681, 1.1642448338642764]","[-3.0843272695876656, 0.0074528198358100725, -0.0340127391765798]",True,"[-0.00037149392832630523, 0.000483756975869859, 0.0007701750882249669]","[-0.015589583030464904, -0.0036477182384606565, -0.003818977402928736]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.2020997639053261, -0.1016937572862619, 1.1607508370293935]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.20122325865502239, -0.1019091987051427, 1.1573804415865352]","[-3.0613333194416077, -0.0002587025155398656, -0.014558803373882503]",True,"[0.0008765052503037218, -0.00021544141888080182, -0.0033703954428583316]","[0.007524001144777725, 0.008681862218149766, 0.0018433249889619587]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.17569464195124426, 0.047858648179101015, 1.172124856975614]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.1821444877624206, 0.053167585078750065, 1.1743953080105176]","[3.0949386877281295, -0.015990807237521238, 0.24769605809449746]",True,"[-0.00644984581117633, 0.00530893689964905, 0.002270451034903642]","[-0.10927332299418162, -0.14101438022587326, -0.015158818469149973]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
21.png,"[-0.17571807631880595, 0.010457709074275734, 1.1694010352289559]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.17286041114248946, 0.010789877466231411, 1.1591402449610118]","[-3.0784629648342055, -0.0027302783079064252, 0.027341076321754837]",True,"[0.0028576651763164984, 0.000332168391955677, -0.010260790267944131]","[-0.009688465968865852, 0.03587961798645125, 0.00428018551412411]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
22.png,"[-0.17574151068636762, -0.026943230030549603, 1.1666772134822976]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.1747220234239467, -0.02715829181249903, 1.1641578873432044]","[-3.062672029482414, 0.002780639884723179, -0.007304455798925288]",True,"[0.0010194872624209317, -0.00021506178194942785, -0.0025193261390932253]","[0.006230592691884618, 0.013489541352267617, 2.1631272186043913e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
23.png,"[-0.17576494505392928, -0.06434416913537494, 1.1639533917356397]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.17568940679098496, -0.06455471285197131, 1.1633476055664336]","[-3.064261096487651, 0.0037284979902990913, -0.023530270787896195]",True,"[7.553826294431909e-05, -0.00021054371659637305, -0.0006057861692061461]","[0.004559684608869678, 0.0029407605979001735, -0.000994853662869087]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
24.png,"[-0.17578837942149095, -0.10174510824020017, 1.1612295699889814]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.1749546684651757, -0.10108764375832152, 1.1570115736320348]","[-3.083590601295653, -0.004424174448586214, -0.01944897299689158]",True,"[0.0008337109563152367, 0.0006574644818786446, -0.0042179963569466405]","[-0.014788218468516176, 0.00550188596186693, 0.004225203403109806]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
25.png,"[-0.1493832574674091, 0.04780729722516275, 1.172603589935202]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.1482796340558797, 0.04525949526939939, 1.1686532263643037]","[-3.0141735970475603, -0.006051549027510259, -0.005962412377136686]",True,"[0.001103623411529392, -0.0025478019557633597, -0.003950363570898396]","[0.05467292613908105, 0.014043195311408171, 0.006310112785992198]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
