imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28098230128795915, -0.1469178490920639, 1.190621815008059]","[2.165344254880805, -0.010715239602186339, 0.02376149769525966]",aruco,"[-0.28562636749430964, -0.15030219911058873, 1.2088640261425512]","[2.1668359938172492, -0.013341356150693567, 0.023784468951755847]",True,"[-0.0046440662063504945, -0.0033843500185248288, 0.018242211134492203]","[0.0015214374440601362, -0.0010135630150422334, -0.0018671359040835864]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2806050839766534, -0.13070467442601713, 1.1718013679408]","[2.398039622069438, -0.008277302595930614, 0.026083393948314777]",aruco,"[-0.2853167169055939, -0.13390504761568214, 1.1903140016114666]","[2.4200319507267767, -0.0004959709143382439, 0.03147202128007591]",True,"[-0.004711632928940501, -0.0032003731896650123, 0.01851263367066669]","[0.021951893259729377, -0.0015789388968210037, 0.0073457657639539615]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28032331007777384, -0.11058736957540033, 1.1572262795197832]","[2.630732945506091, -0.005485971538175021, 0.02838246684760733]",aruco,"[-0.2851333523373168, -0.11252568363206805, 1.175715044635867]","[2.6350628733364547, -0.00888440798648996, 0.04022647760525584]",True,"[-0.004810042259542957, -0.0019383140566677226, 0.018488765116083883]","[0.004471126838660304, -0.009024542938326047, -0.0001718990871344912]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2801521700951434, -0.08765046365188095, 1.1476822965344067]","[2.8634236321679967, -0.0022904548117260452, 0.030655432914277053]",aruco,"[-0.2837942567425579, -0.08898882187677466, 1.1600128141221406]","[2.8634927414057287, -0.003022708915925225, 0.04007705155765639]",True,"[-0.0036420866474144997, -0.0013383582248937126, 0.012330517587733958]","[0.00017512237518861848, -0.006523068357635969, 0.0004031789830499713]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2801008902295237, -0.06313049119079239, 1.14368393757778]","[3.0961108723096653, 0.0013752054331713428, 0.03289802780958858]",aruco,"[-0.28318413273894105, -0.06531715705470577, 1.155521947697455]","[3.1175243683631066, 0.007501801518630591, 0.03171922718735633]",True,"[-0.0030832425094173277, -0.0021866658639133757, 0.011838010119674891]","[0.02136560812696459, 0.0010002229841722928, 0.004129711750252952]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.28017223499174365, -0.03834933025427045, 1.1454467552161915]","[-2.954033534875059, -0.004967716598123227, -0.031152504591940824]",aruco,"[-0.28340671591524474, -0.039964781640692, 1.15677534515407]","[-2.9499480166461214, -0.0024567875891759574, -0.043730970893063596]",True,"[-0.003234480923501093, -0.0016154513864215445, 0.011328589937878553]","[0.00397050382051161, -0.008314550589053782, -0.002437559172756777]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.280362358167205, -0.014642939642767305, 1.1528757154944662]","[-2.721344079135883, -0.008018877648725326, -0.028476505474020617]",aruco,"[-0.2830703009806253, -0.015572864586225024, 1.1614902016874795]","[-2.7296825021039326, -0.011637660165444055, -0.04026567048841227]",True,"[-0.0027079428134202943, -0.0009299249434577186, 0.008614486193013304]","[-0.008477116920124669, -0.008769450410253623, 0.000682340801106157]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.28066101016630707, 0.006710662989680316, 1.1655703212410877]","[-2.488651701862669, -0.010642236945127235, -0.025828077718669712]",aruco,"[-0.28641107386576486, 0.006087037357196824, 1.1893286116762398]","[-2.490562745405069, -0.010370227792687252, -0.028004332793664148]",True,"[-0.005750063699457797, -0.0006236256324834918, 0.023758290435152096]","[-0.001919033469006142, -0.0014938483410160243, -0.0007479544391819487]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.28105209058247504, 0.0245602993979831, 1.1828462029743791]","[-2.255957070700126, -0.01289394004238511, -0.02320360583341837]",aruco,"[-0.28714432787951916, 0.02432682297433984, 1.2087222092439929]","[-2.2482022655852014, -0.02176827504110419, -0.029054002964606956]",True,"[-0.006092237297044112, -0.00023347642364325918, 0.025876006269613727]","[0.007622690754778471, -0.0073201393316163245, 0.0045054248210677625]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.28151451616924605, 0.037943691063163365, 1.2037720134384036]","[-2.023260681478425, -0.014817543183639755, -0.020600284778838334]",aruco,"[-0.2863007357042045, 0.03812553697312574, 1.2250113440814052]","[-2.022900876746201, -0.017231191238625293, -0.020171251926384602]",True,"[-0.004786219534958447, 0.0001818459099623762, 0.021239330643001653]","[0.00033186663918587203, -0.0007692482658119859, 0.0019090130442125672]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
